Age Group	Urban-Rural Classification	Counties	Prevalence, % (SE)	State	Alpha2
Adult	Large Central Metropolitan	Jefferson	8.7% (0.72)	Alabama	AL
Adult	Large Fringe Metropolitan	Bibb, Blount, Chilton, St. Clair, Shelby, Walker	8.7% (0.83)	Alabama	AL
Adult	Medium Metropolitan	Autauga, Elmore, Limestone, Lowndes, Madison, Mobile, Montgomery, Russell	11.3% (0.69)	Alabama	AL
Adult	Small Metropolitan	Baldwin, Calhoun, Colbert, Etowah, Geneva, Hale, Henry, Houston, Lauderdale, Lawrence, Lee, Morgan, Pickens, Tuscaloosa	10.0% (0.51)	Alabama	AL
Adult	Micropolitan	Chambers, Coffee, Coosa, Cullman, Dale, Dallas, Jackson, Marshall, Pike, Talladega	11.6% (1.00)	Alabama	AL
Adult	Noncore	Barbour, Bullock, Butler, Cherokee, Choctaw, Clarke, Clay, Cleburne, Conecuh, Covington, Crenshaw, DeKalb, Escambia, Fayette, Franklin, Greene, Lamar, Macon, Marengo, Marion, Monroe, Perry, Randolph, Sumter, Tallapoosa, Washington, Wilcox, Winston	11.1% (0.73)	Alabama	AL
Adult	Medium Metropolitan	Anchorage Municipality, Matanuska-Susitna Borough	9.7% (0.78)	Alaska	AK
Adult	Small Metropolitan	Fairbanks North Star Borough	7.7% (0.97)	Alaska	AK
Adult	Micropolitan	Juneau City and Borough, Ketchikan Gateway Borough	7.4% (1.11)	Alaska	AK
Adult	Noncore	Aleutians East Borough, Aleutians West Census Area, Bethel Census Area, Bristol Bay Borough, Denali Borough, Dillingham Census Area, Haines Borough, Hoonah-Angoon Census Area, Kenai Peninsula Borough, Kodiak Island Borough, Kusilvak Census Area, Lake and Peninsula Borough, Nome Census Area, North Slope Borough, Northwest Arctic Borough, Petersburg Census Area, Prince of Wales- Hyder Census Area, Sitka City and Borough, Skagway Municipality, Southeast Fairbanks Census Area, Valdez-Cordova Census Area, Wrangell City and Borough, Yakutat City and Borough, Yukon-Koyukuk Census Area	7.8% (0.71)	Alaska	AK
Adult	Large Central Metropolitan	Maricopa	9.2% (0.34)	Arizona	AZ
Adult	Large Fringe Metropolitan	Pinal	11.8% (1.19)	Arizona	AZ
Adult	Medium Metropolitan	Pima	11.5% (0.75)	Arizona	AZ
Adult	Small Metropolitan	Cochise, Coconino, Mohave, Yavapai, Yuma	9.4% (0.50)	Arizona	AZ
Adult	Micropolitan	Gila, Graham, Navajo, Santa Cruz	8.1% (0.68)	Arizona	AZ
Adult	Noncore	Apache, Greenlee, La Paz	10.7% (1.36)	Arizona	AZ
Adult	Large Fringe Metropolitan	Crittenden	12.8% (3.81)	Arkansas	AR
Adult	Medium Metropolitan	Benton, Crawford, Faulkner, Grant, Lonoke, Madison, Perry, Pulaski, Saline, Sebastian, Washington	8.8% (0.58)	Arkansas	AR
Adult	Small Metropolitan	Cleveland, Craighead, Garland, Jefferson, Lincoln, Little River, Miller, Poinsett	9.1% (1.31)	Arkansas	AR
Adult	Micropolitan	Baxter, Boone, Calhoun, Clark, Columbia, Greene, Hot Spring, Independence, Mississippi, Newton, Ouachita, Phillips, Pope, St. Francis, Union, White, Yell	9.7% (0.78)	Arkansas	AR
Adult	Noncore	Arkansas, Ashley, Bradley, Carroll, Chicot, Clay, Cleburne, Conway, Cross, Dallas, Desha, Drew, Franklin, Fulton, Hempstead, Howard, Izard, Jackson, Johnson, Lafayette, Lawrence, Lee, Logan, Marion, Monroe, Montgomery, Nevada, Pike, Polk, Prairie, Randolph, Scott, Searcy, Sevier, Sharp, Stone, Van Buren, Woodruff	10.0% (0.81	Arkansas	AR
Child	Large Central Metropolitan	Alameda, Los Angeles, Orange, Riverside, Sacramento, San Diego, San Francisco, Santa Clara	6.4% (0.50)	California	CA
Child	Large Fringe Metropolitan	Contra Costa, El Dorado, Marin, Placer, San Benito, San Bernardino, San Mateo, Yolo	6.5% (0.92)	California	CA
Child	Medium Metropolitan	Fresno, Kern, Merced, Monterey, San Joaquin, San Luis Obispo, Santa Barbara, Santa Cruz, Solano, Sonoma, Stanislaus, Tulare, Ventura	7.0% (0.74)	California	CA
Child	Small Metropolitan	Butte, Imperial, Kings, Madera, Napa, Shasta, Sutter, Yuba	7.2% (1.75)	California	CA
Child	Micropolitan	Del Norte, Humboldt, Lake, Lassen, Mendocino, Nevada, Tehama	6.1% (2.86)	California	CA
Child	Noncore	Alpine, Amador, Calaveras, Colusa, Glenn, Inyo, Mariposa, Modoc, Mono, Plumas, Sierra, Siskiyou, Trinity	13.8% (5.99)	California	CA
Adult	Large Central Metropolitan	Alameda, Los Angeles, Orange, Riverside, Sacramento, San Diego, San Francisco, Santa Clara	7.4% (0.25)	California	CA
Adult	Large Fringe Metropolitan	Contra Costa, El Dorado, Marin, Placer, San Benito, San Bernardino, San Mateo, Yolo	8.3% (0.52)	California	CA
Adult	Medium Metropolitan	Fresno, Kern, Merced, Monterey, San Joaquin, San Luis Obispo, Santa Barbara, Santa Cruz, Solano, Sonoma, Stanislaus, Tulare, Ventura	9.9% (0.48)	California	CA
Adult	Small Metropolitan	Butte, Imperial, Kings, Madera, Napa, Shasta, Sutter, Yuba	8.8% (0.97)	California	CA
