seriescode,statvar
IC.CNST.PRMT.DFRN.DB0615,worldBank/SV1
IC.CNST.PRMT.DFRN.DB1619,worldBank/SV2
IC.DCP.BQC.XD.015.DB1619,worldBank/SV3
IC.CNST.PRMT.BQCI.015.DB1619.DFRN,worldBank/SV4
IC.CNST.PRMT.COST.WRH.VAL,worldBank/SV5
IC.CNST.PRMT.COST.WRH.VAL.DFRN,worldBank/SV6
IC.CNST.LIR.XD.02.DB1619,worldBank/SV7
IC.CNST.PRMT.PROC.NO,worldBank/SV8
IC.CNST.PRMT.PROC.NO.DFRN,worldBank/SV9
IC.CNST.PC.XD.04.DB1619,worldBank/SV10
IC.CNST.PRMT.QCAC.XD.DB1619,worldBank/SV11
IC.CNST.PRMT.QCBC.XD.01.DB1619,worldBank/SV12
IC.CNST.PRMT.QCDC.XD.03.DB1619,worldBank/SV13
IC.CNST.PRMT.QBR.XD.02.DB1619,worldBank/SV14
IC.CNST.PRMT.TM.DY,worldBank/SV15
IC.CNST.PRMT.TM.DY.DFRN,worldBank/SV16
CODE.WITHOUT.STATVAR.WILL.BE.SKIPPED,
