Reporting Area,Listeriosis  §,Listeriosis  §,Listeriosis  §,Lyme disease,Lyme disease,Lyme disease
Reporting Area,Total,Confirmed,Probable,Total,Confirmed,Probable
"U.S. Residents, excluding U.S. Territories",928,880,48,34945,23453,11492
New England,54,54,—,7152,4769,2383
Connecticut,13,13,—,1233,795,438
Maine,5,5,—,2167,1629,538
Massachusetts,28,28,—,7,6,1
New Hampshire,5,5,—,1710,1106,604
Rhode Island,2,2,—,971,527,444
Vermont,1,1,—,1064,706,358
Middle Atlantic,178,175,3,16860,12010,4850
New Jersey,34,34,—,3619,2400,1219
New York (excluding New York City),63,63,—,3487,2450,1037
New York City,38,37,1,756,397,359
Pennsylvania,43,41,2,8998,6763,2235
East North Central,125,114,11,3642,2227,1415
Illinois,30,26,4,395,242,153
Indiana,22,17,5,189,102,87
Michigan,26,25,1,413,276,137
Ohio,29,28,1,467,388,79
Wisconsin,18,18,—,2178,1219,959
West North Central,46,43,3,1941,1025,916
Iowa,7,7,—,303,70,233
Kansas,5,3,2,35,13,22
Minnesota,17,16,1,1528,915,613
Missouri,15,15,—,17,2,15
Nebraska,2,2,—,10,4,6
North Dakota,—,—,—,38,14,24
South Dakota,—,—,—,10,7,3
South Atlantic,197,182,15,4803,3160,1643
Delaware,4,3,1,641,619,22
District of Columbia,1,—,1,100,57,43
Florida,50,45,5,162,78,84
Georgia,25,25,—,18,2,16
Maryland,23,23,—,1417,804,613
North Carolina,32,32,—,334,92,242
South Carolina,22,19,3,47,17,30
Virginia,31,28,3,1199,788,411
West Virginia,9,7,2,885,703,182
East South Central,43,39,4,137,83,54
Alabama,7,6,1,66,44,22
Kentucky,9,8,1,22,12,10
Mississippi,4,4,—,4,4,—
Tennessee,23,21,2,45,23,22
West South Central,91,84,7,67,28,39
Arkansas,4,4,—,18,5,13
Louisiana,12,11,1,8,8,—
Oklahoma,10,10,—,—,—,—
Texas,65,59,6,41,15,26
Mountain,39,37,2,88,40,48
Arizona,13,12,1,10,6,4
Colorado,12,11,1,8,8,—
Idaho,5,5,—,14,5,9
Montana,—,—,—,8,6,2
Nevada,7,7,—,17,4,13
New Mexico,—,—,—,7,4,3
Utah,2,2,—,19,5,14
Wyoming,—,—,—,5,2,3
Pacific,155,152,3,255,111,144
Alaska,1,1,—,3,1,2
California,114,111,3,144,82,62
Hawaii,10,10,—,N,N,N
Oregon,12,12,—,65,10,55
Washington,18,18,—,43,18,25
Territories,3,2,1,—,—,—
American Samoa,N,—,—,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—
Guam,—,—,—,—,—,—
Puerto Rico,3,2,1,N,N,N
U.S. Virgin Islands,—,—,—,—,—,—
