Disease,<1 yr,<1 yr,1-4 yrs,1-4 yrs,5-14 yrs,5-14 yrs,15-24 yrs,15-24 yrs,25-39 yrs,25-39 yrs,40-64 yrs,40-64 yrs,≥65 yrs,≥65 yrs,Age not stated,Total
Disease,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,No.
Anthrax,—,—,—,—,—,—,—,—,—,—,—,—,1,0.00,—,1
Arboviral diseases,,,,,,,,,,,,,,,,
Chikungunya virus disease,1,0.03,2,0.01,7,0.02,24,0.06,50,0.07,90,0.09,18,0.03,—,192
Eastern equine encephalitis virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,4,0.01,—,—,2,0.00,15,0.01,17,0.03,—,38
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,1,0.03,—,—,1,0.00,2,0.00,6,0.01,3,0.00,12,0.02,—,25
Non-neuroinvasive,—,—,—,—,—,—,—,—,8,0.01,8,0.01,4,0.01,—,20
La Crosse virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,1,0.03,9,0.06,33,0.08,1,0.00,—,—,1,0.00,3,0.01,—,48
Non-neuroinvasive,1,0.03,2,0.01,4,0.01,—,—,—,—,—,—,—,—,—,7
Powassan virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,1,0.03,—,—,4,0.01,—,—,4,0.01,12,0.01,18,0.03,—,39
Non-neuroinvasive,—,—,—,—,—,—,1,0.00,—,—,1,0.00,2,0.00,—,4
St. Louis encephalitis virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,1,0.00,5,0.00,9,0.02,—,15
Non-neuroinvasive,—,—,—,—,—,—,—,—,1,0.00,—,—,1,0.00,—,2
West Nile virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,14,0.03,15,0.04,69,0.10,259,0.25,279,0.52,—,636
Non-neuroinvasive,—,—,—,—,5,0.01,18,0.04,49,0.07,170,0.16,96,0.18,—,338
Western equine encephalitis virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Babesiosis,,,,,,,,,,,,,,,,
Total,1,0.03,14,0.11,48,0.14,54,0.15,147,0.26,961,1.13,1194,2.69,1,2420
Confirmed,1,0.03,11,0.08,35,0.10,37,0.11,111,0.20,808,0.95,1062,2.39,1,2066
Probable,—,—,3,0.02,13,0.04,17,0.05,36,0.06,153,0.18,132,0.30,—,354
Botulism,,,,,,,,,,,,,,,,
Total,147,3.89,1,0.01,—,—,—,—,13,0.02,27,0.03,7,0.01,1,196
Foodborne,1,0.03,—,—,—,—,—,—,2,0.00,11,0.01,6,0.01,—,20
Infant,146,3.86,1,—,—,—,—,—,—,—,—,—,—,—,1,148
Other (wound & unspecified),—,—,—,—,—,—,—,—,11,0.02,16,0.02,1,0.00,—,28
Brucellosis,—,—,1,0.01,3,0.01,9,0.02,44,0.07,69,0.07,39,0.07,—,165
Campylobacteriosis,1844,48.74,5957,37.72,4986,12.16,7460,17.48,13200,19.50,23477,22.74,14452,26.73,133,71509
"Candida auris  , clinical  *",—,—,—,—,—,—,2,0.01,11,0.02,81,0.09,80,0.16,1,175
Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,5,0.14,4,0.03,7,0.02,23,0.06,93,0.15,581,0.61,769,1.58,1,1483
Chancroid,—,—,—,—,—,—,4,0.01,3,0.00,—,—,1,0.00,—,8
Chlamydia trachomatis  infection,425,11.23,98,0.62,11743,28.65,1103377,2584.78,588900,870.15,97469,94.41,2783,5.15,3908,1808703
Cholera,—,—,1,0.01,—,—,—,—,3,0.00,7,0.01,3,0.01,—,14
Coccidioidomycosis  †,10,0.63,50,0.75,480,2.77,1371,7.63,3378,11.93,7586,17.72,5521,24.65,11,18407
Cryptosporidiosis,,,,,,,,,,,,,,,,
Total,153,4.04,1507,9.54,1564,3.82,1946,4.56,3476,5.14,3441,3.33,1862,3.44,26,13975
Confirmed,118,3.12,1197,7.58,1163,2.84,1503,3.52,2679,3.96,2424,2.35,1085,2.01,16,10185
Probable,35,0.93,310,1.96,401,0.98,443,1.04,797,1.18,1017,0.99,777,1.44,10,3790
Cyclosporiasis,4,0.12,17,0.12,36,0.10,265,0.68,1071,1.73,2323,2.47,921,1.88,66,4703
Dengue virus infections  §,,,,,,,,,,,,,,,,
Dengue,1,0.03,15,0.09,123,0.30,182,0.43,326,0.48,577,0.56,190,0.35,—,1414
Dengue-like illness,—,—,—,—,4,0.01,4,0.01,8,0.01,23,0.02,4,0.01,—,43
Severe dengue,—,—,—,—,2,0.00,1,0.00,10,0.01,14,0.01,3,0.01,—,30
Diphtheria,—,—,—,—,1,0.00,—,—,—,—,1,0.00,—,—,—,2
Ehrlichiosis and Anaplasmosis,,,,,,,,,,,,,,,,
Anaplasma phagocytophilum  infection,2,0.05,12,0.08,106,0.27,139,0.34,454,0.70,2402,2.41,2536,4.86,4,5655
Ehrlichia chaffeensis  infection,1,0.03,7,0.05,65,0.16,128,0.31,235,0.36,873,0.88,772,1.48,12,2093
Ehrlichia ewingii  infection,—,—,—,—,—,—,4,0.01,5,0.01,23,0.02,11,0.02,—,43
Undetermined ehrlichiosis/anaplasmosis,—,—,1,0.01,7,0.02,12,0.03,25,0.04,85,0.09,53,0.10,2,185
Giardiasis,103,3.53,1177,9.68,1330,4.21,1569,4.74,3395,6.42,5147,6.34,2116,4.88,23,14860
Gonorrhea,107,2.83,111,0.70,2752,6.71,255677,598.95,277288,409.72,77308,74.88,2703,5.00,446,616392
"Haemophilus influenzae,  invasive disease",,,,,,,,,,,,,,,,
"All ages, all serotypes",407,10.76,278,1.76,140,0.34,155,0.36,407,0.60,1525,1.48,3231,5.98,—,6143
Age <5 years,,,,,,,,,,,,,,,,
Serotype b,11,0.29,7,0.04,—,—,—,—,—,—,—,—,—,—,—,18
Non-b serotype,98,2.59,115,0.73,—,—,—,—,—,—,—,—,—,—,—,213
Nontypeable,135,3.57,65,0.41,—,—,—,—,—,—,—,—,—,—,—,200
Unknown serotype,163,4.31,91,0.58,—,—,—,—,—,—,—,—,—,—,—,254
Hansen's disease,—,—,—,—,2,0.01,6,0.02,15,0.02,29,0.03,24,0.05,1,77
"Hantavirus infection, non-hantavirus pulmonary syndrome  ¶",—,—,—,—,1,0.00,—,—,2,0.00,—,—,—,—,—,3
Hantavirus pulmonary syndrome,—,—,—,—,—,—,4,0.01,6,0.01,7,0.01,1,0.00,—,18
Hemolytic uremic syndrome post-diarrheal,7,0.19,156,1.01,104,0.26,29,0.07,27,0.04,32,0.03,36,0.07,1,392
Hepatitis  **,,,,,,,,,,,,,,,,
"A, acute",4,0.11,37,0.23,133,0.32,1190,2.79,8976,13.26,7518,7.28,985,1.82,3,18846
"B, acute",—,—,1,0.01,1,0.00,96,0.23,1025,1.52,2133,2.08,287,0.53,1,3544
"B, perinatal infection",12,0.32,6,0.16,—,—,—,—,1,—,—,—,—,—,—,19
"C, acute",—,—,3,0.02,3,0.01,602,1.47,2936,4.53,1714,1.73,215,0.42,6,5479
Confirmed,—,—,3,0.02,2,0.01,499,1.22,2165,3.34,1274,1.29,190,0.37,3,4136
Probable,—,—,—,—,1,0.00,103,0.25,771,1.19,440,0.44,25,0.05,3,1343
"C, perinatal infection",80,2.36,137,1.98,—,—,—,—,—,—,—,—,—,—,—,217
