Reporting Area,Arboviral diseases,Arboviral diseases,Babesiosis,Babesiosis,Babesiosis,Botulism,Botulism,Botulism,Botulism
Reporting Area,Western equine encephalitis virus disease,Western equine encephalitis virus disease,Babesiosis,Babesiosis,Babesiosis,Botulism,Botulism,Botulism,Botulism
Reporting Area,Neuroinvasive,Non-neuroinvasive,Total,Confirmed,Probable,Total,Foodborne,Infant,Other (wound & unspecified)
"U.S. Residents, excluding U.S. Territories",—,—,2420,2066,354,196,20,148,28
New England,—,—,1355,1163,192,2,—,2,—
Connecticut,—,—,326,237,89,1,—,1,—
Maine,—,—,138,126,12,—,—,—,—
Massachusetts,—,—,636,592,44,1,—,1,—
New Hampshire,—,—,63,57,6,—,—,—,—
Rhode Island,—,—,158,128,30,—,—,—,—
Vermont,—,—,34,23,11,—,—,—,—
Middle Atlantic,—,—,899,788,111,31,—,31,—
New Jersey,—,—,236,212,24,10,—,10,—
New York (excluding New York City),—,—,580,504,76,—,—,—,—
New York City,—,—,83,72,11,4,—,4,—
Pennsylvania,—,—,N,N,N,17,—,17,—
East North Central,—,—,64,35,29,12,—,12,—
Illinois,—,—,1,1,—,4,—,4,—
Indiana,—,—,—,—,—,—,—,—,—
Michigan,—,—,1,1,—,—,—,—,—
Ohio,—,—,4,4,—,7,—,7,—
Wisconsin,—,—,58,29,29,1,—,1,—
West North Central,—,—,54,39,15,3,—,3,—
Iowa,—,—,—,—,—,2,—,2,—
Kansas,—,—,N,N,N,—,—,—,—
Minnesota,—,—,54,39,15,—,—,—,—
Missouri,—,—,—,—,—,1,—,1,—
Nebraska,—,—,—,—,—,—,—,—,—
North Dakota,—,—,—,—,—,—,—,—,—
South Dakota,—,—,—,—,—,—,—,—,—
South Atlantic,—,—,39,37,2,18,3,15,—
Delaware,—,—,5,5,—,2,—,2,—
District of Columbia,—,—,—,—,—,—,—,—,—
Florida,—,—,25,23,2,1,1,—,—
Georgia,—,—,N,N,N,—,—,—,—
Maryland,—,—,7,7,—,6,2,4,—
North Carolina,—,—,N,N,N,—,—,—,—
South Carolina,—,—,1,1,—,—,—,—,—
Virginia,—,—,1,1,—,6,—,6,—
West Virginia,—,—,—,—,—,3,—,3,—
East South Central,—,—,1,—,1,10,—,10,—
Alabama,—,—,—,—,—,1,—,1,—
Kentucky,—,—,—,—,—,6,—,6,—
Mississippi,—,—,N,N,N,—,—,—,—
Tennessee,—,—,1,—,1,3,—,3,—
West South Central,—,—,3,1,2,21,5,13,3
Arkansas,—,—,1,—,1,1,—,1,—
Louisiana,—,—,—,—,—,1,—,—,1
Oklahoma,—,—,N,N,N,1,—,1,—
Texas,—,—,2,1,1,18,5,11,2
Mountain,—,—,—,—,—,23,5,13,5
Arizona,—,—,—,—,—,3,—,1,2
Colorado,—,—,N,N,N,6,4,2,—
Idaho,—,—,N,N,N,2,—,2,—
Montana,—,—,—,—,—,1,—,1,—
Nevada,—,—,N,N,N,2,—,2,—
New Mexico,—,—,N,N,N,4,—,1,3
Utah,—,—,—,—,—,5,1,4,—
Wyoming,—,—,—,—,—,—,—,—,—
Pacific,—,—,5,3,2,76,7,49,20
Alaska,—,—,N,N,N,5,5,—,—
California,—,—,1,1,—,64,2,43,19
Hawaii,—,—,N,N,N,2,—,1,1
Oregon,—,—,3,1,2,1,—,1,—
Washington,—,—,1,1,—,4,—,4,—
Territories,—,—,—,—,—,—,—,—,—
American Samoa,—,—,U,U,U,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—,—
Puerto Rico,—,—,N,N,N,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—,—
