Disease,American Indian or  Alaska Native,American Indian or  Alaska Native,Asian or Pacific  Islander,Asian or Pacific  Islander,Black,Black,White,White,Other Race,Race not stated,Total
Disease,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,No.,No.
Anthrax,S,S,S,S,S,S,S,S,S,S,1
Arboviral diseases,,,,,,,,,,,
Chikungunya virus disease,—,—,45,0.21,15,0.03,56,0.02,8,68,192
Eastern equine encephalitis virus disease,,,,,,,,,,,
Neuroinvasive,—,—,—,—,1,0.00,27,0.01,—,10,38
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,15,0.01,1,9,25
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,20
La Crosse virus disease,,,,,,,,,,,
Neuroinvasive,—,—,1,0.00,1,0.00,42,0.02,1,3,48
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,7
Powassan virus disease,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,28,0.01,3,8,39
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,4
St. Louis encephalitis virus disease,,,,,,,,,,,
Neuroinvasive,S,S,S,S,S,S,S,S,S,S,15
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,2
West Nile virus disease,,,,,,,,,,,
Neuroinvasive,9,0.19,5,0.02,37,0.08,444,0.17,57,84,636
Non-neuroinvasive,3,0.06,4,0.02,7,0.02,235,0.09,34,55,338
Western equine encephalitis virus disease,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Babesiosis,,,,,,,,,,,
Total,9,0.26,86,0.46,52,0.14,1410,0.67,179,684,2420
Confirmed,7,0.21,82,0.44,43,0.12,1181,0.56,172,581,2066
Probable,2,0.06,4,0.02,9,0.02,229,0.11,7,103,354
Botulism,,,,,,,,,,,
Total,4,0.08,7,0.03,9,0.02,125,0.05,23,28,196
Foodborne,S,S,S,S,S,S,S,S,S,S,20
Infant,—,—,6,2.63,9,1.40,92,3.24,14,27,148
Other (wound & unspecified),—,—,—,—,—,—,20,0.01,7,1,28
Brucellosis,4,0.08,8,0.04,10,0.02,83,0.03,28,32,165
Campylobacteriosis,627,13.10,2543,11.66,3707,7.96,42951,16.84,7235,14446,71509
"Candida auris  , clinical  §",—,—,7,0.03,40,0.10,38,0.02,9,81,175
Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,13,0.28,60,0.29,309,0.74,644,0.27,75,382,1483
Chancroid,S,S,S,S,S,S,S,S,S,S,8
Chlamydia trachomatis  infection,19850,414.82,30340,139.08,508226,1090.63,529998,207.81,130263,590026,1808703
Cholera,S,S,S,S,S,S,S,S,S,S,14
Coccidioidomycosis  ¶,316,12.73,425,4.13,534,3.40,4404,4.05,4143,8585,18407
Cryptosporidiosis,,,,,,,,,,,
Total,66,1.38,365,1.67,1105,2.37,9261,3.63,889,2289,13975
Confirmed,54,1.13,279,1.28,843,1.81,6552,2.57,691,1766,10185
Probable,12,0.25,86,0.39,262,0.56,2709,1.06,198,523,3790
Cyclosporiasis,8,0.19,113,0.55,148,0.35,3138,1.36,174,1122,4703
Dengue virus infections  **,,,,,,,,,,,
Dengue,3,0.06,190,0.87,80,0.17,636,0.25,170,335,1414
Dengue-like illness,—,—,11,0.05,2,0.00,15,0.01,4,11,43
Severe dengue,—,—,7,0.03,1,0.00,15,0.01,3,4,30
Diphtheria,S,S,S,S,S,S,S,S,S,S,2
Ehrlichiosis and Anaplasmosis,,,,,,,,,,,
Anaplasma phagocytophilum  infection,23,0.54,62,0.30,58,0.13,3784,1.54,247,1481,5655
