Reporting Area,Cyclosporiasis,Dengue virus infections *,Dengue virus infections *,Dengue virus infections *,Diphtheria,Ehrlichiosis and Anaplasmosis,Ehrlichiosis and Anaplasmosis,Ehrlichiosis and Anaplasmosis,Ehrlichiosis and Anaplasmosis
Reporting Area,Cyclosporiasis,Dengue,Dengue-like illness,Severe dengue,Diphtheria,Anaplasma phagocytophilum  infection,Ehrlichia chaffeensis  infection,Ehrlichia ewingii  infection,Undetermined ehrlichiosis/anaplasmosis
United States,537,903,40,10,—,4151,1377,22,200
New England,51,24,3,—,—,1708,70,—,7
Connecticut,23,4,2,—,—,103,1,N,N
Maine,3,1,1,—,—,372,7,—,4
Massachusetts,23,8,—,—,—,838,10,—,—
New Hampshire,2,3,—,—,—,54,6,—,—
Rhode Island,—,5,—,—,—,140,43,—,—
Vermont,—,3,—,—,—,201,3,—,3
Middle Atlantic,103,203,3,4,—,942,251,2,43
New Jersey,29,43,3,4,—,109,75,1,8
New York (excluding New York City),24,46,—,—,—,733,156,—,19
New York City,50,93,—,—,—,42,13,1,—
Pennsylvania,N,21,—,—,—,58,7,—,16
East North Central,40,67,5,1,—,635,74,2,76
Illinois,23,32,3,—,—,8,31,1,—
Indiana,3,8,—,1,—,—,—,—,24
Michigan,3,15,1,—,—,6,8,—,—
Ohio,6,5,1,—,—,6,8,—,—
Wisconsin,5,7,—,—,—,615,27,1,52
West North Central,64,61,3,—,—,770,293,9,49
Iowa,14,8,3,—,—,8,4,—,2
Kansas,10,4,—,—,—,4,51,1,1
Minnesota,4,29,—,—,—,732,6,—,35
Missouri,23,13,—,—,—,13,223,8,8
Nebraska,10,3,—,—,—,2,7,—,—
North Dakota,N,2,—,—,—,10,2,—,3
South Dakota,3,2,—,—,—,1,—,—,—
South Atlantic,79,145,16,1,—,51,254,1,11
Delaware,—,2,—,—,—,4,14,1,1
District of Columbia,1,—,9,—,—,2,4,—,—
Florida,37,65,1,—,—,6,28,—,—
Georgia,14,20,—,—,—,—,12,—,2
Maryland,6,13,—,—,—,7,36,—,1
North Carolina,7,12,1,—,—,16,61,—,—
South Carolina,—,6,4,1,—,—,—,—,1
Virginia,11,27,1,—,—,16,93,—,6
West Virginia,3,—,—,—,—,—,6,—,—
East South Central,3,15,1,—,—,19,153,1,10
Alabama,N,6,—,—,—,6,12,—,3
Kentucky,2,—,1,—,—,1,43,1,1
Mississippi,N,—,—,—,—,—,9,—,—
Tennessee,1,9,—,—,—,12,89,—,6
West South Central,154,56,1,2,—,18,279,6,1
Arkansas,2,3,—,—,—,14,200,4,—
Louisiana,4,6,—,—,—,—,3,—,—
Oklahoma,N,5,—,—,—,3,61,2,—
Texas,148,42,1,2,—,1,15,—,1
Mountain,16,53,1,1,—,1,1,1,2
Arizona,4,13,—,—,—,—,—,—,2
Colorado,8,20,—,—,—,N,N,N,N
Idaho,N,3,—,—,—,N,N,N,N
Montana,—,2,—,—,—,—,1,1,—
Nevada,N,4,1,1,—,—,—,—,—
New Mexico,1,5,—,—,—,N,N,N,N
Utah,2,6,—,—,—,—,—,—,—
Wyoming,1,—,—,—,—,1,—,—,—
Pacific,27,279,7,1,—,7,2,—,1
Alaska,2,4,—,—,—,N,N,N,N
California,21,197,—,—,—,5,—,—,1
Hawaii,—,54,—,—,—,N,N,N,N
Oregon,1,4,5,—,—,2,2,—,—
Washington,3,20,2,1,—,—,—,—,—
Territories,—,131,87,—,—,—,—,—,—
American Samoa,N,2,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—,—
Guam,—,1,—,—,—,N,N,N,N
Puerto Rico,—,117,87,—,—,N,N,N,N
U.S. Virgin Islands,—,11,—,—,—,—,—,—,—
