Reporting Area,Human immunodeficiency virus diagnoses,Influenza-associated pediatric mortality,Invasive pneumococcal disease *,Invasive pneumococcal disease *,Invasive pneumococcal disease *,Invasive pneumococcal disease *,Legionellosis,Leptospirosis
Reporting Area,Human immunodeficiency virus diagnoses,Influenza-associated pediatric mortality,All ages,All ages,Age <5 years,Age <5 years,Legionellosis,Leptospirosis
Reporting Area,Human immunodeficiency virus diagnoses,Influenza-associated pediatric mortality,Confirmed,Probable,Confirmed,Probable,Legionellosis,Leptospirosis
United States,33938,126,19620,160,1220,14,7458,72
New England,900,5,1222,5,49,—,472,4
Connecticut,232,1,262,5,12,—,120,N
Maine,25,—,141,—,4,—,16,—
Massachusetts,516,2,590,—,21,—,201,N
New Hampshire,34,2,106,—,5,—,63,—
Rhode Island,75,—,64,—,5,—,50,3
Vermont,18,—,59,—,2,—,22,1
Middle Atlantic,4333,13,2849,57,127,3,1771,6
New Jersey,874,1,678,14,26,—,249,—
New York (excluding New York City),685,2,934,6,46,—,587,N
New York City,1778,6,679,4,28,—,435,5
Pennsylvania,996,4,558,33,27,3,500,1
East North Central,3201,24,3399,28,228,4,1654,13
Illinois,799,7,N,N,41,2,332,5
Indiana,476,4,773,4,37,—,198,—
Michigan,748,5,927,18,34,—,347,4
Ohio,934,7,1210,6,80,2,601,2
Wisconsin,244,1,489,—,36,—,176,2
West North Central,1098,10,1737,26,100,3,356,2
Iowa,121,—,N,N,N,N,35,N
Kansas,115,3,269,3,16,—,34,N
Minnesota,247,2,479,—,30,—,98,2
Missouri,481,3,593,18,29,3,138,—
Nebraska,86,2,182,3,11,—,29,—
North Dakota,32,—,81,—,5,—,7,N
South Dakota,16,—,133,2,9,—,15,—
South Atlantic,11333,30,3380,16,280,2,1374,11
Delaware,99,—,70,—,4,—,34,—
District of Columbia,261,—,61,—,3,—,46,1
Florida,4913,13,619,5,63,—,435,3
Georgia,2294,1,968,—,55,—,159,1
Maryland,878,5,486,6,26,2,187,2
North Carolina,1284,7,N,N,N,N,212,1
South Carolina,696,2,902,5,81,—,55,—
Virginia,835,2,35,—,35,—,197,3
West Virginia,73,—,239,—,13,—,49,—
East South Central,1775,7,2007,2,97,—,441,—
Alabama,493,1,427,—,31,—,66,—
Kentucky,279,—,379,1,15,—,116,—
Mississippi,415,2,286,1,17,—,52,N
Tennessee,588,4,915,—,34,—,207,N
West South Central,5159,14,2516,18,201,2,497,1
Arkansas,276,—,394,—,18,—,56,N
Louisiana,1105,2,336,6,31,—,49,1
Oklahoma,218,3,N,N,17,—,65,—
Texas,3560,9,1786,12,135,2,327,N
Mountain,1855,6,2287,8,119,—,251,2
Arizona,740,2,704,3,34,—,74,1
Colorado,407,2,599,—,32,—,82,N
Idaho,43,—,N,N,6,—,12,—
Montana,31,—,108,4,7,—,17,—
Nevada,437,2,262,—,10,—,14,—
New Mexico,78,—,317,—,11,—,13,—
Utah,109,—,265,1,17,—,32,1
Wyoming,10,—,32,—,2,—,7,—
Pacific,4284,17,223,—,19,—,642,33
Alaska,28,—,125,—,15,—,6,—
California,3562,11,N,N,N,N,535,6
Hawaii,76,—,98,—,4,—,8,25
Oregon,189,—,N,N,N,N,37,2
Washington,429,6,N,N,N,N,56,—
Territories,391,—,—,—,—,—,3,123
American Samoa,—,—,N,N,N,N,N,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,5,—,—,—,—,—,—,5
Puerto Rico,380,—,—,—,—,—,3,115
U.S. Virgin Islands,6,—,—,—,—,—,—,3
