Disease,Case Count,Rate
Anthrax,1,0.00
Arboviral diseases,,
Chikungunya virus disease,117,0.04
Eastern equine encephalitis virus disease,,
Neuroinvasive,6,0.00
Non-neuroinvasive,—,—
Jamestown Canyon virus disease,,
Neuroinvasive,25,0.01
Non-neuroinvasive,16,0.00
La Crosse virus disease,,
Neuroinvasive,83,0.03
Non-neuroinvasive,3,0.00
Powassan virus disease,,
Neuroinvasive,21,0.01
Non-neuroinvasive,—,—
St. Louis encephalitis virus disease,,
Neuroinvasive,5,0.00
Non-neuroinvasive,3,0.00
West Nile virus disease,,
Neuroinvasive,1657,0.51
Non-neuroinvasive,989,0.30
Western equine encephalitis virus disease,,
Neuroinvasive,—,—
Non-neuroinvasive,—,—
Babesiosis,,
Total,2160,0.79
Confirmed,1861,0.68
Probable,299,0.11
Botulism,,
Total,225,0.07
Foodborne,17,0.01
Infant,157,4.08
Other (wound & unspecified),51,0.02
Brucellosis,138,0.04
Campylobacteriosis,70200,21.46
Chancroid,3,0.00
Chlamydia trachomatis  infection,1758668,537.54
Cholera,14,0.00
Coccidioidomycosis  *,15611,11.58
Cryptosporidiosis,,
Total,12533,3.83
Confirmed,8980,2.74
Probable,3553,1.09
Cyclosporiasis,3519,1.20
Dengue virus infections  †,,
Dengue,424,0.13
Dengue-like illness,41,0.01
Severe dengue,9,0.00
Diphtheria,1,0.00
Ehrlichiosis and Anaplasmosis,,
Anaplasma phagocytophilum  infection,4008,1.27
Ehrlichia chaffeensis  infection,1799,0.57
Ehrlichia ewingii  infection,33,0.01
Undetermined ehrlichiosis/anaplasmosis,283,0.09
Giardiasis,15548,6.06
Gonorrhea,583405,178.32
"Haemophilus influenzae,  invasive disease",,
"All ages, all serotypes",5573,1.70
Age <5 years,,
Serotype b,38,0.19
Non-b serotype,191,0.96
Nontypeable,222,1.12
Unknown serotype,175,0.88
Hansen's disease,90,0.03
"Hantavirus infection, non-hantavirus pulmonary syndrome",2,0.00
Hantavirus pulmonary syndrome,18,0.01
Hemolytic uremic syndrome post-diarrheal,376,0.12
Hepatitis  §,,
"A, acute",12474,3.81
"B, acute",3322,1.02
"B, perinatal infection",23,0.30
"C, acute",4768,1.54
Confirmed,3621,1.17
Probable,1147,0.37
"C, perinatal infection",214,0.07
Human immunodeficiency virus diagnoses,32999,10.09
Influenza-associated pediatric mortality,159,0.22
Invasive pneumococcal disease  ¶,,
All ages,19857,8.14
Confirmed,19619,8.04
Probable,238,0.10
Age <5 years,1116,0.43
Confirmed,1078,6.80
Probable,38,0.24
Legionellosis,9933,3.04
Leptospirosis,91,0.04
Listeriosis,864,0.26
Lyme disease,,
Total,33666,10.34
Confirmed,23558,7.23
Probable,10108,3.10
Malaria,1748,0.53
Measles,,
Total,375,0.11
Indigenous,296,0.09
Imported,79,0.02
Meningococcal disease,,
All serogroups,327,0.10
Serogroups ACWY,100,0.03
Serogroup B,81,0.02
Other serogroups,23,0.01
Unknown serogroup,123,0.04
Mumps,2515,0.77
Novel Influenza A virus infections,14,0.00
Paratyphoid fever  **,133,0.04
Pertussis,15609,4.77
Plague,1,0.00
"Poliomyelitis, paralytic",—,—
"Poliovirus infection, nonparalytic",—,—
Psittacosis,22,0.01
Q fever,,
Total,215,0.07
Acute,178,0.05
Chronic,37,0.01
Rabies,,
Animal,4984,1.52
Human,3,0.00
Rubella,4,0.00
"Rubella, congenital syndrome",—,—
Salmonellosis (excluding paratyphoid fever and typhoid fever)  ††,60999,18.64
Severe acute respiratory syndrome-associated coronavirus disease,—,—
Shiga toxin-producing  Escherichia coli  (STEC),15996,4.89
Shigellosis,16333,4.99
Smallpox,—,—
Spotted fever rickettsiosis,,
Total,5544,1.71
Confirmed,124,0.04
Probable,5420,1.67
Streptococcal toxic shock syndrome,371,0.18
Syphilis,,
"Total, all stages  §§",115045,35.16
Congenital,1306,34.44
Primary and secondary,35063,10.72
Tetanus,23,0.01
Toxic shock syndrome (other than Streptococcal),33,0.01
Trichinellosis,1,0.00
Tuberculosis,9025,2.76
Tularemia,229,0.07
Typhoid fever,401,0.12
Vancomycin-intermediate  Staphylococcus aureus,85,0.03
Vancomycin-resistant  Staphylococcus aureus,—,—
Varicella morbidity,8201,3.07
Varicella mortality,6,0.00
Vibriosis,,
Total,2964,0.92
Confirmed,1822,0.57
Probable,1142,0.35
Viral hemorrhagic fevers,,
Crimean-Congo hemorrhagic fever virus,—,—
Ebola virus,—,—
Guanarito virus,—,—
Junin virus,—,—
Lassa virus,—,—
Lujo virus,—,—
Machupo virus,—,—
Marburg virus,—,—
Sabia virus,—,—
Yellow fever,—,—
Zika virus,,
"Zika virus disease, congenital  ¶¶",2,0.05
"Zika virus disease, non-congenital",79,0.02
"Zika virus infection, congenital  ¶¶",8,0.21
"Zika virus infection, non-congenital",245,0.07
