Reporting Area,Cyclosporiasis,Dengue virus infections *,Dengue virus infections *,Dengue virus infections *,Diphtheria,Ehrlichiosis and Anaplasmosis,Ehrlichiosis and Anaplasmosis,Ehrlichiosis and Anaplasmosis,Ehrlichiosis and Anaplasmosis
Reporting Area,Cyclosporiasis,Dengue,Dengue-like illness,Severe dengue,Diphtheria,Anaplasma phagocytophilum  infection,Ehrlichia chaffeensis  infection,Ehrlichia ewingii  infection,Undetermined ehrlichiosis/anaplasmosis
United States,1194,437,8,9,—,5762,1642,45,269
New England,67,12,—,—,—,2819,130,1,24
Connecticut,33,6,—,—,—,81,—,N,N
Maine,—,—,—,—,—,663,10,—,10
Massachusetts,25,5,—,—,—,1208,17,—,1
New Hampshire,4,—,—,—,—,317,18,1,6
Rhode Island,5,1,—,—,—,151,74,—,—
Vermont,—,—,—,—,—,399,11,—,7
Middle Atlantic,138,65,1,1,—,1444,267,2,35
New Jersey,53,24,1,—,—,154,87,1,14
New York (excluding New York City),24,6,—,—,—,1112,155,—,13
New York City,61,32,—,—,—,84,14,1,—
Pennsylvania,N,3,—,1,—,94,11,—,8
East North Central,135,52,4,4,—,714,105,2,128
Illinois,47,17,2,4,—,11,27,1,1
Indiana,4,3,—,—,—,—,—,—,39
Michigan,38,9,1,—,—,15,3,—,3
Ohio,23,5,1,—,—,4,17,—,—
Wisconsin,23,18,—,—,—,684,58,1,85
West North Central,97,19,1,—,—,680,364,24,53
Iowa,29,4,1,—,—,11,10,—,3
Kansas,7,2,—,—,—,1,47,2,1
Minnesota,23,11,—,—,—,638,6,1,32
Missouri,25,1,—,—,—,12,299,20,14
Nebraska,9,1,—,—,—,—,1,1,—
North Dakota,N,—,—,—,—,17,1,—,3
South Dakota,4,—,—,—,—,1,—,—,—
South Atlantic,276,49,—,1,—,52,281,2,13
Delaware,1,1,—,—,—,9,26,1,—
District of Columbia,4,5,—,—,—,—,—,—,—
Florida,113,16,—,—,—,9,16,—,2
Georgia,22,5,—,—,—,—,2,—,1
Maryland,37,9,—,—,—,8,47,1,—
North Carolina,63,3,—,—,—,9,70,—,—
South Carolina,14,—,—,—,—,—,—,—,4
Virginia,18,10,—,1,—,15,114,—,5
West Virginia,4,—,—,—,—,2,6,—,1
East South Central,6,6,—,—,—,25,198,4,13
Alabama,N,—,—,—,—,6,11,—,—
Kentucky,—,1,—,—,—,2,75,2,4
Mississippi,N,2,—,—,—,—,15,—,4
Tennessee,6,3,—,—,—,17,97,2,5
West South Central,343,42,2,2,—,9,296,10,—
Arkansas,2,—,—,—,—,5,197,9,—
Louisiana,22,1,—,—,—,—,2,—,—
Oklahoma,N,1,—,1,—,2,81,1,—
Texas,319,40,2,1,—,2,16,—,—
Mountain,61,14,—,1,—,10,—,—,—
Arizona,8,3,—,—,—,4,—,—,—
Colorado,29,4,—,1,—,N,N,N,N
Idaho,N,1,—,—,—,N,N,N,N
Montana,3,—,—,—,—,4,—,—,—
Nevada,N,—,—,—,—,—,—,—,—
New Mexico,4,—,—,—,—,N,N,N,N
Utah,14,6,—,—,—,2,—,—,—
Wyoming,3,—,—,—,—,—,—,—,—
Pacific,71,178,—,—,—,9,1,—,3
Alaska,1,1,—,—,—,N,N,N,N
California,59,130,—,—,—,8,—,—,3
Hawaii,—,22,—,—,—,N,N,N,N
Oregon,2,7,—,—,—,—,1,—,—
Washington,9,18,—,—,—,1,—,—,—
Territories,—,512,—,—,1,—,—,—,—
American Samoa,N,500,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—,—
Guam,—,—,—,—,1,N,N,N,N
Puerto Rico,—,11,—,—,—,N,N,N,N
U.S. Virgin Islands,—,1,—,—,—,—,—,—,—
