Reporting Area,Shiga toxin-producing  Escherichia coli  (STEC),Shigellosis,Smallpox,Spotted fever rickettsiosis,Spotted fever rickettsiosis,Spotted fever rickettsiosis,Streptococcal toxic shock syndrome
Reporting Area,Shiga toxin-producing  Escherichia coli  (STEC),Shigellosis,Smallpox,Total,Confirmed,Probable,Streptococcal toxic shock syndrome
United States,15996,16333,—,5544,124,5420,371
New England,453,461,—,84,—,84,58
Connecticut,128,86,—,24,—,24,27
Maine,37,7,—,10,—,10,12
Massachusetts,152,208,—,29,—,29,12
New Hampshire,52,6,—,7,—,7,—
Rhode Island,45,59,—,9,—,9,1
Vermont,39,95,—,5,—,5,6
Middle Atlantic,1549,2373,—,223,11,212,19
New Jersey,188,631,—,147,2,145,8
New York (excluding New York City),428,518,—,40,1,39,10
New York City,501,982,—,11,7,4,—
Pennsylvania,432,242,—,25,1,24,1
East North Central,2140,1442,—,313,12,301,115
Illinois,490,403,—,151,2,149,64
Indiana,247,175,—,80,3,77,23
Michigan,302,206,—,16,3,13,4
Ohio,546,513,—,38,2,36,23
Wisconsin,555,145,—,28,2,26,1
West North Central,2261,896,—,888,29,859,31
Iowa,568,100,—,22,1,21,N
Kansas,239,149,—,181,5,176,8
Minnesota,601,252,—,17,—,17,11
Missouri,371,309,—,596,17,579,10
Nebraska,213,50,—,48,2,46,1
North Dakota,65,10,—,10,2,8,—
South Dakota,204,26,—,14,2,12,1
South Atlantic,2300,3062,—,1093,24,1069,73
Delaware,20,28,—,50,—,50,—
District of Columbia,30,107,—,5,1,4,—
Florida,808,1510,—,22,1,21,N
Georgia,164,405,—,1,1,—,29
Maryland,239,210,—,106,3,103,—
North Carolina,395,300,—,496,13,483,20
South Carolina,152,246,—,54,3,51,1
Virginia,400,235,—,339,1,338,23
West Virginia,92,21,—,20,1,19,—
East South Central,803,930,—,1583,18,1565,10
Alabama,129,319,—,673,8,665,N
Kentucky,182,95,—,218,3,215,10
Mississippi,114,284,—,154,2,152,N
Tennessee,378,232,—,538,5,533,—
West South Central,1864,1808,—,1251,10,1241,—
Arkansas,123,136,—,1065,3,1062,—
Louisiana,116,226,—,30,—,30,—
Oklahoma,264,91,—,80,5,75,N
Texas,1361,1355,—,76,2,74,N
Mountain,1455,1007,—,88,18,70,65
Arizona,296,478,—,39,13,26,—
Colorado,425,240,—,7,1,6,—
Idaho,222,46,—,11,1,10,—
Montana,121,12,—,9,1,8,2
Nevada,45,99,—,9,—,9,31
New Mexico,109,66,—,3,—,3,—
Utah,196,63,—,8,1,7,32
Wyoming,41,3,—,2,1,1,—
Pacific,3171,4354,—,21,2,19,—
Alaska,25,8,—,N,N,N,N
California,2278,3407,—,14,1,13,N
Hawaii,10,229,—,N,N,N,—
Oregon,318,291,—,4,—,4,N
Washington,540,419,—,3,1,2,N
Territories,5,32,—,—,—,—,—
American Samoa,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—
Guam,—,23,—,N,N,N,—
Puerto Rico,5,9,—,N,N,N,N
U.S. Virgin Islands,—,—,—,—,—,—,—
