Reporting Area,Typhoid fever,Vancomycin-intermediate  Staphylococcus aureus,Vancomycin-resistant  Staphylococcus aureus,Varicella morbidity,Varicella mortality,Vibriosis,Vibriosis,Vibriosis
Reporting Area,Typhoid fever,Vancomycin-intermediate  Staphylococcus aureus,Vancomycin-resistant  Staphylococcus aureus,Varicella morbidity,Varicella mortality,Total,Confirmed,Probable
United States,401,85,—,8201,6,2964,1822,1142
New England,23,1,—,933,—,185,147,38
Connecticut,5,—,—,179,—,56,30,26
Maine,—,—,—,252,—,14,14,—
Massachusetts,17,1,—,289,—,83,79,4
New Hampshire,—,N,—,98,—,18,11,7
Rhode Island,1,—,—,66,—,13,12,1
Vermont,—,—,—,49,—,1,1,—
Middle Atlantic,96,20,—,947,1,310,189,121
New Jersey,26,2,—,376,—,84,49,35
New York (excluding New York City),14,6,—,N,1,95,59,36
New York City,42,4,—,—,—,78,46,32
Pennsylvania,14,8,—,571,—,53,35,18
East North Central,51,35,—,1765,1,236,115,121
Illinois,29,9,—,394,—,104,35,69
Indiana,2,N,—,172,—,9,6,3
Michigan,7,8,—,434,1,42,27,15
Ohio,8,8,—,476,—,50,30,20
Wisconsin,5,10,—,289,—,31,17,14
West North Central,12,4,—,613,—,166,78,88
Iowa,1,—,—,N,—,N,N,N
Kansas,2,—,—,—,—,28,11,17
Minnesota,4,—,—,324,—,73,40,33
Missouri,3,4,—,168,—,37,15,22
Nebraska,2,—,—,42,—,10,1,9
North Dakota,—,—,—,48,—,9,6,3
South Dakota,—,N,—,31,—,9,5,4
South Atlantic,66,4,—,1682,1,651,444,207
Delaware,—,—,—,32,—,15,12,3
District of Columbia,—,N,N,31,—,13,6,7
Florida,13,2,—,853,1,242,186,56
Georgia,9,—,—,262,—,50,50,—
Maryland,13,—,—,N,—,100,56,44
North Carolina,12,2,—,N,—,95,46,49
South Carolina,2,—,—,152,—,39,27,12
Virginia,17,—,—,352,—,86,58,28
West Virginia,—,—,—,N,—,11,3,8
East South Central,7,6,—,153,—,148,83,65
Alabama,1,1,—,78,—,38,26,12
Kentucky,—,N,N,34,—,42,8,34
Mississippi,1,2,—,41,—,34,25,9
Tennessee,5,3,—,N,—,34,24,10
West South Central,35,11,—,1147,—,411,181,230
Arkansas,5,—,—,72,—,6,5,1
Louisiana,—,8,—,103,—,123,45,78
Oklahoma,1,—,—,N,—,12,11,1
Texas,29,3,—,972,—,270,120,150
Mountain,16,4,—,848,2,188,101,87
Arizona,9,3,—,245,—,54,28,26
Colorado,2,N,—,269,1,83,48,35
Idaho,—,N,N,N,—,N,N,N
Montana,1,—,—,57,1,14,5,9
Nevada,2,1,—,N,—,6,5,1
New Mexico,—,N,N,60,—,13,2,11
Utah,2,—,—,196,—,16,13,3
Wyoming,—,—,—,21,—,2,—,2
Pacific,95,—,—,113,1,669,484,185
Alaska,2,N,—,34,—,15,11,4
California,78,N,N,40,1,335,230,105
Hawaii,1,—,—,39,—,35,34,1
Oregon,2,N,N,N,—,67,58,9
Washington,12,N,—,N,—,217,151,66
Territories,1,—,—,89,—,2,2,—
American Samoa,—,N,N,N,—,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,15,—,2,2,—
Puerto Rico,1,—,—,74,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
