Reporting Area,Yellow fever,Zika virus,Zika virus,Zika virus,Zika virus
Reporting Area,Yellow fever,"Zika virus disease, congenital *","Zika virus disease, non-congenital","Zika virus infection, congenital *","Zika virus infection, non-congenital"
United States,—,2,79,8,245
New England,—,—,1,—,2
Connecticut,—,—,—,—,—
Maine,—,—,—,—,—
Massachusetts,—,—,1,—,2
New Hampshire,—,—,—,—,—
Rhode Island,—,—,—,—,—
Vermont,—,—,—,—,—
Middle Atlantic,—,—,13,1,36
New Jersey,—,—,5,—,5
New York (excluding New York City),—,—,2,1,14
New York City,—,—,6,—,13
Pennsylvania,—,—,—,—,4
East North Central,—,—,3,1,—
Illinois,—,—,3,—,—
Indiana,—,—,—,1,—
Michigan,—,—,—,—,—
Ohio,—,—,—,—,—
Wisconsin,—,—,—,—,—
West North Central,—,—,1,—,3
Iowa,—,—,—,—,1
Kansas,—,—,—,—,1
Minnesota,—,—,1,—,1
Missouri,—,—,—,—,—
Nebraska,—,—,—,—,—
North Dakota,—,—,—,—,—
South Dakota,—,—,—,—,—
South Atlantic,—,1,25,2,109
Delaware,—,—,—,—,—
District of Columbia,—,—,—,—,—
Florida,—,1,19,—,90
Georgia,—,—,—,—,2
Maryland,—,—,2,2,4
North Carolina,—,—,3,—,2
South Carolina,—,—,—,—,—
Virginia,—,—,1,—,11
West Virginia,—,—,—,—,—
East South Central,—,—,2,—,1
Alabama,—,—,2,—,1
Kentucky,—,—,—,—,—
Mississippi,—,—,—,—,—
Tennessee,—,—,—,—,—
West South Central,—,—,4,1,40
Arkansas,—,—,—,—,—
Louisiana,—,—,—,—,—
Oklahoma,—,—,—,—,—
Texas,—,—,4,1,40
Mountain,—,—,4,1,9
Arizona,—,—,2,1,—
Colorado,—,—,—,—,—
Idaho,N,—,—,—,—
Montana,—,—,—,—,—
Nevada,—,—,—,—,—
New Mexico,—,—,—,—,—
Utah,—,—,2,—,9
Wyoming,—,—,—,—,—
Pacific,—,1,26,2,45
Alaska,—,—,—,—,—
California,—,1,25,2,40
Hawaii,—,—,—,—,2
Oregon,—,—,1,—,1
Washington,—,—,—,—,2
Territories,—,—,148,—,75
American Samoa,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—
Guam,—,—,—,—,—
Puerto Rico,—,—,146,—,75
U.S. Virgin Islands,—,—,2,—,—
