Reporting Area,Listeriosis,Lyme disease,Lyme disease,Lyme disease,Malaria,Measles,Measles,Measles
Reporting Area,Listeriosis,Total,Confirmed,Probable,Malaria,Total,Indigenous,Imported
United States,786,36429,26203,10226,1955,85,68,17
New England,56,5988,4249,1739,145,2,—,2
Connecticut,14,1748,1238,510,13,1,—,1
Maine,11,1487,1151,336,10,—,—,—
Massachusetts,20,198,146,52,93,1,—,1
New Hampshire,2,891,691,200,14,—,—,—
Rhode Island,5,903,535,368,9,—,—,—
Vermont,4,761,488,273,6,—,—,—
Middle Atlantic,159,19675,14943,4732,480,1,—,1
New Jersey,35,4350,3332,1018,84,—,—,—
New York (excluding New York City),49,2936,2104,832,75,—,—,—
New York City,25,946,519,427,244,1,—,1
Pennsylvania,50,11443,8988,2455,77,—,—,—
East North Central,113,3065,2145,920,202,4,2,2
Illinois,30,237,233,4,62,2,1,1
Indiana,15,152,127,25,17,1,1,—
Michigan,18,221,159,62,43,1,—,1
Ohio,34,160,122,38,60,—,—,—
Wisconsin,16,2295,1504,791,20,—,—,—
West North Central,22,2464,1424,1040,138,2,—,2
Iowa,3,232,76,156,22,—,—,—
Kansas,6,39,16,23,11,—,—,—
Minnesota,8,2126,1304,822,67,2,—,2
Missouri,3,10,1,9,20,—,—,—
Nebraska,2,14,10,4,7,—,—,—
North Dakota,—,32,9,23,7,—,—,—
South Dakota,—,11,8,3,4,—,—,—
South Atlantic,158,4736,3197,1539,473,8,5,3
Delaware,2,506,391,115,16,—,—,—
District of Columbia,1,103,66,37,23,—,—,—
Florida,43,216,132,84,62,5,5,—
Georgia,21,4,4,—,57,1,—,1
Maryland,23,1866,1274,592,180,1,—,1
North Carolina,23,272,32,240,46,1,—,1
South Carolina,17,51,25,26,14,—,—,—
Virginia,23,1350,976,374,74,—,—,—
West Virginia,5,368,297,71,1,—,—,—
East South Central,29,97,41,56,55,8,8,—
Alabama,8,38,17,21,11,1,1,—
Kentucky,3,33,16,17,13,—,—,—
Mississippi,6,1,1,—,7,—,—,—
Tennessee,12,25,7,18,24,7,7,—
West South Central,47,80,35,45,183,1,—,1
Arkansas,5,2,—,2,5,—,—,—
Louisiana,4,7,4,3,12,—,—,—
Oklahoma,4,—,—,—,7,—,—,—
Texas,34,71,31,40,159,1,—,1
Mountain,34,83,46,37,88,34,31,3
Arizona,6,13,8,5,38,31,31,—
Colorado,13,—,—,—,25,2,—,2
Idaho,3,17,9,8,—,—,—,—
Montana,2,17,12,5,4,—,—,—
Nevada,3,15,4,11,7,—,—,—
New Mexico,3,1,—,1,2,—,—,—
Utah,4,19,12,7,8,1,—,1
Wyoming,—,1,1,—,4,—,—,—
Pacific,168,241,123,118,191,25,22,3
Alaska,3,15,6,9,2,—,—,—
California,129,134,90,44,125,24,21,3
Hawaii,6,N,N,N,—,1,1,—
Oregon,16,61,13,48,20,—,—,—
Washington,14,31,14,17,44,—,—,—
Territories,2,—,—,—,3,—,—,—
American Samoa,N,N,N,N,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—
Puerto Rico,2,N,N,N,3,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
