Reporting Area,"Hantavirus infection, non-hantavirus pulmonary syndrome",Hantavirus pulmonary syndrome,Hemolytic uremic syndrome post-diarrheal,Hepatitis *,Hepatitis *,Hepatitis *,Hepatitis *,Hepatitis *,Hepatitis *
Reporting Area,"Hantavirus infection, non-hantavirus pulmonary syndrome",Hantavirus pulmonary syndrome,Hemolytic uremic syndrome post-diarrheal,"A, acute","B, acute","B, perinatal infection","C, acute","C, acute","C, perinatal infection"
Reporting Area,"Hantavirus infection, non-hantavirus pulmonary syndrome",Hantavirus pulmonary syndrome,Hemolytic uremic syndrome post-diarrheal,"A, acute","B, acute","B, perinatal infection",Confirmed,Probable,"C, perinatal infection"
United States,2,18,376,12474,3322,23,3621,1147,214
New England,—,—,8,410,115,—,172,46,10
Connecticut,N,N,1,15,10,—,10,—,—
Maine,—,—,—,9,52,—,23,16,—
Massachusetts,—,—,2,364,46,—,110,13,10
New Hampshire,—,—,4,12,4,—,25,17,—
Rhode Island,—,—,1,7,U,U,U,U,U
Vermont,—,—,—,3,3,—,4,—,—
Middle Atlantic,—,—,41,334,181,7,581,26,33
New Jersey,—,—,5,70,64,—,96,16,10
New York (excluding New York City),—,—,13,105,32,—,224,10,—
New York City,—,—,11,60,24,4,12,—,3
Pennsylvania,—,—,12,99,61,3,249,—,20
East North Central,—,—,38,3058,595,2,917,331,83
Illinois,—,—,7,93,25,—,93,12,6
Indiana,—,—,7,964,169,—,266,93,20
Michigan,—,—,11,299,77,1,142,32,11
Ohio,—,—,5,1687,310,1,282,186,44
Wisconsin,—,—,8,15,14,—,134,8,2
West North Central,—,1,54,290,70,—,178,3,2
Iowa,—,—,9,10,14,—,U,U,—
Kansas,—,—,14,14,16,—,13,—,1
Minnesota,—,—,11,16,16,—,60,—,1
Missouri,N,—,8,243,18,—,74,—,—
Nebraska,—,—,5,6,3,—,2,2,—
North Dakota,—,1,7,—,2,—,10,1,—
South Dakota,—,—,—,1,1,—,19,—,—
South Atlantic,—,1,39,3164,1311,3,838,296,50
Delaware,—,1,—,7,7,—,U,U,U
District of Columbia,N,—,—,11,U,U,U,U,—
Florida,—,—,8,548,617,2,435,50,36
Georgia,—,—,10,84,179,1,84,39,3
Maryland,—,—,4,52,53,—,38,7,3
North Carolina,—,—,4,103,220,—,149,41,—
South Carolina,—,—,1,30,45,—,15,9,—
Virginia,N,—,10,82,58,—,47,22,8
West Virginia,—,—,2,2247,132,—,70,128,—
East South Central,—,—,30,4265,540,2,373,266,4
Alabama,N,N,3,38,48,—,52,53,—
Kentucky,—,—,3,3560,260,1,164,124,—
Mississippi,—,—,3,13,40,—,U,U,—
Tennessee,—,—,21,654,192,1,157,89,4
West South Central,1,—,41,384,212,2,92,61,4
Arkansas,N,—,7,254,47,—,10,2,1
Louisiana,—,—,1,37,57,—,8,3,3
Oklahoma,N,—,15,5,6,1,28,26,—
Texas,1,—,18,88,102,1,46,30,N
Mountain,—,9,41,317,114,1,241,74,9
Arizona,—,—,3,77,23,1,U,U,—
Colorado,—,5,11,31,21,—,46,8,2
Idaho,N,1,11,5,6,—,4,2,—
Montana,—,—,1,—,1,—,8,5,1
Nevada,—,—,1,41,23,—,19,12,2
New Mexico,—,—,2,23,2,—,22,10,—
Utah,—,1,12,135,36,—,120,37,4
Wyoming,—,2,—,5,2,—,22,—,—
Pacific,1,7,84,252,184,6,229,44,19
Alaska,—,—,—,1,7,1,N,N,1
California,1,4,69,189,105,4,114,17,14
Hawaii,—,—,—,4,3,—,—,—,—
Oregon,—,1,15,23,18,—,14,10,—
Washington,N,2,N,35,51,1,101,17,4
Territories,—,—,—,9,70,—,90,—,—
American Samoa,—,N,N,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—,—
Guam,—,N,—,8,67,—,90,—,—
Puerto Rico,—,—,N,1,3,—,N,N,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—,—
