Reporting Area,Cholera,Coccidioidomycosis  §,Cryptosporidiosis,Cryptosporidiosis,Cryptosporidiosis,Cyclosporiasis
Reporting Area,Cholera,Coccidioidomycosis  §,Total,Confirmed,Probable,Cyclosporiasis
"U.S. Residents, excluding U.S. Territories",14,18407,13975,10185,3790,4703
New England,3,2,539,430,109,360
Connecticut,2,N,80,74,6,103
Maine,—,N,71,49,22,—
Massachusetts,1,N,231,221,10,211
New Hampshire,—,1,65,12,53,9
Rhode Island,—,1,63,61,2,31
Vermont,—,N,29,13,16,6
Middle Atlantic,2,—,1684,1395,289,761
New Jersey,1,N,288,268,20,263
New York (excluding New York City),—,N,486,429,57,305
New York City,1,N,397,397,—,193
Pennsylvania,—,N,513,301,212,N
East North Central,4,74,2557,1901,656,573
Illinois,1,N,407,302,105,164
Indiana,—,—,321,264,57,31
Michigan,2,40,415,351,64,127
Ohio,—,21,685,495,190,142
Wisconsin,1,13,729,489,240,109
West North Central,3,141,1982,1414,568,388
Iowa,—,N,558,325,233,121
Kansas,—,N,139,117,22,23
Minnesota,3,94,487,415,72,137
Missouri,—,30,400,303,97,61
Nebraska,—,6,193,174,19,36
North Dakota,—,3,38,15,23,N
South Dakota,—,8,167,65,102,10
South Atlantic,1,8,2194,1388,806,1187
Delaware,—,—,39,22,17,5
District of Columbia,—,N,31,29,2,37
Florida,—,N,662,262,400,543
Georgia,—,N,364,364,—,77
Maryland,1,8,107,99,8,220
North Carolina,—,N,286,264,22,76
South Carolina,—,N,111,109,2,24
Virginia,—,N,520,180,340,201
West Virginia,—,N,74,59,15,4
East South Central,—,13,937,686,251,71
Alabama,—,9,225,103,122,5
Kentucky,—,4,341,234,107,N
Mississippi,—,N,124,123,1,N
Tennessee,—,N,247,226,21,66
West South Central,—,29,1881,1324,557,1171
Arkansas,—,10,142,136,6,34
Louisiana,—,19,355,218,137,100
Oklahoma,—,N,194,167,27,N
Texas,—,N,1190,803,387,1037
Mountain,1,10728,967,696,271,120
Arizona,—,10359,143,119,24,17
Colorado,—,N,269,194,75,58
Idaho,—,N,131,114,17,N
Montana,—,17,72,72,—,2
Nevada,1,117,50,29,21,N
New Mexico,—,164,83,72,11,16
Utah,—,69,197,76,121,22
Wyoming,—,2,22,20,2,5
Pacific,—,7412,1234,951,283,72
Alaska,—,N,12,7,5,—
California,—,7408,727,648,79,50
Hawaii,—,N,9,9,—,—
Oregon,—,4,254,82,172,5
Washington,—,N,232,205,27,17
Territories,—,1,—,—,—,—
American Samoa,—,N,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—
Guam,—,1,—,—,—,—
Puerto Rico,—,N,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—
