Reporting Area,Arboviral diseases,Arboviral diseases,Babesiosis,Babesiosis,Babesiosis,Botulism,Botulism,Botulism,Botulism
Reporting Area,Western equine encephalitis virus disease,Western equine encephalitis virus disease,Babesiosis,Babesiosis,Babesiosis,Botulism,Botulism,Botulism,Botulism
Reporting Area,Neuroinvasive,Non-neuroinvasive,Total,Confirmed,Probable,Total,Foodborne,Infant,Other (wound & unspecified)
United States,—,—,1910,1585,325,201,31,144,26
New England,—,—,1105,947,158,2,—,2,—
Connecticut,—,—,322,245,77,1,—,1,—
Maine,—,—,82,69,13,—,—,—,—
Massachusetts,—,—,518,487,31,—,—,—,—
New Hampshire,—,—,13,12,1,—,—,—,—
Rhode Island,—,—,155,121,34,1,—,1,—
Vermont,—,—,15,13,2,—,—,—,—
Middle Atlantic,—,—,655,539,116,32,—,31,1
New Jersey,—,—,174,149,25,11,—,10,1
New York (excluding New York City),—,—,430,348,82,3,—,3,—
New York City,—,—,51,42,9,2,—,2,—
Pennsylvania,—,—,N,N,N,16,—,16,—
East North Central,—,—,72,54,18,9,—,9,—
Illinois,—,—,2,1,1,—,—,—,—
Indiana,—,—,—,—,—,—,—,—,—
Michigan,—,—,2,2,—,1,—,1,—
Ohio,—,—,—,—,—,8,—,8,—
Wisconsin,—,—,68,51,17,—,—,—,—
West North Central,—,—,54,30,24,2,—,2,—
Iowa,—,—,1,1,—,—,—,—,—
Kansas,—,—,N,N,N,—,—,—,—
Minnesota,—,—,50,26,24,2,—,2,—
Missouri,—,—,1,1,—,—,—,—,—
Nebraska,—,—,1,1,—,—,—,—,—
North Dakota,—,—,1,1,—,—,—,—,—
South Dakota,—,—,—,—,—,—,—,—,—
South Atlantic,—,—,12,8,4,17,2,14,1
Delaware,—,—,2,2,—,3,—,3,—
District of Columbia,—,—,2,2,—,1,1,—,—
Florida,—,—,N,N,N,1,—,—,1
Georgia,—,—,N,N,N,2,1,1,—
Maryland,—,—,6,3,3,3,—,3,—
North Carolina,—,—,N,N,N,—,—,—,—
South Carolina,—,—,2,1,1,—,—,—,—
Virginia,—,—,N,N,N,5,—,5,—
West Virginia,—,—,—,—,—,2,—,2,—
East South Central,—,—,2,1,1,29,18,11,—
Alabama,—,—,—,—,—,1,—,1,—
Kentucky,—,—,1,1,—,4,—,4,—
Mississippi,—,—,N,N,N,23,18,5,—
Tennessee,—,—,1,—,1,1,—,1,—
West South Central,—,—,4,3,1,12,3,8,1
Arkansas,—,—,1,1,—,1,—,1,—
Louisiana,—,—,2,1,1,—,—,—,—
Oklahoma,—,—,N,N,N,2,2,—,—
Texas,—,—,1,1,—,9,1,7,1
Mountain,—,—,1,1,—,21,—,15,6
Arizona,—,—,N,N,N,4,—,3,1
Colorado,—,—,N,N,N,3,—,2,1
Idaho,—,—,N,N,N,3,—,3,—
Montana,—,—,1,1,—,1,—,1,—
Nevada,—,—,N,N,N,—,—,—,—
New Mexico,—,—,N,N,N,3,—,—,3
Utah,—,—,—,—,—,6,—,5,1
Wyoming,—,—,—,—,—,1,—,1,—
Pacific,—,—,5,2,3,77,8,52,17
Alaska,—,—,N,N,N,2,2,—,—
California,—,—,3,2,1,66,3,47,16
Hawaii,—,—,N,N,N,3,—,2,1
Oregon,—,—,2,—,2,3,1,2,—
Washington,—,—,—,—,—,3,2,1,—
Territories,—,—,—,—,—,—,—,—,—
American Samoa,—,—,U,U,U,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—,—
Puerto Rico,—,—,N,N,N,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—,—
