Reporting Area,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases
Reporting Area,La Crosse virus disease,La Crosse virus disease,Powassan virus disease,Powassan virus disease,St. Louis encephalitis virus disease,St. Louis encephalitis virus disease,West Nile virus disease,West Nile virus disease
Reporting Area,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive
United States,63,—,33,1,6,5,1425,672
New England,—,—,9,—,—,—,10,5
Connecticut,—,—,—,—,—,—,2,1
Maine,—,—,3,—,—,—,—,—
Massachusetts,—,—,3,—,—,—,5,1
New Hampshire,—,—,1,—,—,—,—,1
Rhode Island,—,—,2,—,—,—,1,1
Vermont,—,—,—,—,—,—,2,1
Middle Atlantic,—,—,13,1,—,—,66,13
New Jersey,—,—,4,—,—,—,6,2
New York (excluding New York City),—,—,5,1,—,—,25,5
New York City,—,—,—,—,—,—,20,1
Pennsylvania,—,—,4,—,—,—,15,5
East North Central,16,—,3,—,—,—,192,49
Illinois,1,—,—,—,—,—,72,18
Indiana,—,—,—,—,—,—,18,8
Michigan,—,—,—,—,—,—,32,8
Ohio,13,—,—,—,—,—,23,11
Wisconsin,2,—,3,—,—,—,47,4
West North Central,2,—,8,—,—,—,118,173
Iowa,1,—,—,—,—,—,10,2
Kansas,—,—,—,—,—,—,12,15
Minnesota,1,—,7,—,—,—,13,17
Missouri,—,—,—,—,—,—,17,2
Nebraska,—,—,—,—,—,—,19,49
North Dakota,—,—,1,—,—,—,20,42
South Dakota,—,—,—,—,—,—,27,46
South Atlantic,28,—,—,—,—,—,91,13
Delaware,—,—,—,—,—,—,—,1
District of Columbia,—,—,—,—,—,—,1,3
Florida,—,—,—,—,—,—,4,1
Georgia,2,—,—,—,—,—,44,4
Maryland,1,—,—,—,—,—,5,1
North Carolina,21,—,—,—,—,—,8,—
South Carolina,—,—,—,—,—,—,16,2
Virginia,—,—,—,—,—,—,12,1
West Virginia,4,—,—,—,—,—,1,—
East South Central,17,—,—,—,1,—,118,46
Alabama,—,—,—,—,1,—,41,20
Kentucky,—,—,—,—,—,—,9,1
Mississippi,—,—,—,—,—,—,46,17
Tennessee,17,—,—,—,—,—,22,8
West South Central,—,—,—,—,—,—,174,74
Arkansas,—,—,—,—,—,—,15,3
Louisiana,—,—,—,—,—,—,38,15
Oklahoma,—,—,—,—,—,—,34,8
Texas,—,—,—,—,—,—,87,48
Mountain,—,—,—,—,3,3,242,141
Arizona,—,—,—,—,3,3,97,13
Colorado,—,—,—,—,—,—,29,39
Idaho,—,—,—,—,—,—,16,9
Montana,—,—,—,—,—,—,3,8
Nevada,—,—,—,—,—,—,31,36
New Mexico,—,—,—,—,—,—,23,10
Utah,—,—,—,—,—,—,39,23
Wyoming,—,—,—,—,—,—,4,3
Pacific,—,—,—,—,2,2,414,158
Alaska,—,—,—,—,—,—,—,—
California,—,—,—,—,2,2,401,152
Hawaii,—,—,—,—,—,—,—,—
Oregon,—,—,—,—,—,—,3,3
Washington,—,—,—,—,—,—,10,3
Territories,—,—,—,—,—,—,—,—
American Samoa,—,—,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—
Puerto Rico,—,—,—,—,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
