Reporting Area,Arboviral diseases,Arboviral diseases,Babesiosis,Babesiosis,Babesiosis,Botulism,Botulism,Botulism,Botulism
Reporting Area,Western equine encephalitis virus disease,Western equine encephalitis virus disease,Babesiosis,Babesiosis,Babesiosis,Botulism,Botulism,Botulism,Botulism
Reporting Area,Neuroinvasive,Non-neuroinvasive,Total,Confirmed,Probable,Total,Foodborne,Infant,Other (wound & unspecified)
United States,—,—,2160,1861,299,225,17,157,51
New England,—,—,1096,970,126,3,—,3,—
Connecticut,—,—,247,206,41,1,—,1,—
Maine,—,—,101,90,11,—,—,—,—
Massachusetts,—,—,525,489,36,2,—,2,—
New Hampshire,—,—,37,30,7,—,—,—,—
Rhode Island,—,—,165,137,28,—,—,—,—
Vermont,—,—,21,18,3,—,—,—,—
Middle Atlantic,—,—,890,776,114,47,6,41,—
New Jersey,—,—,249,207,42,10,1,9,—
New York (excluding New York City),—,—,558,500,58,3,—,3,—
New York City,—,—,83,69,14,7,3,4,—
Pennsylvania,—,—,N,N,N,27,2,25,—
East North Central,—,—,65,45,20,5,1,2,2
Illinois,—,—,1,1,—,—,—,—,—
Indiana,—,—,—,—,—,1,1,—,—
Michigan,—,—,2,1,1,3,—,1,2
Ohio,—,—,—,—,—,1,—,1,—
Wisconsin,—,—,62,43,19,—,—,—,—
West North Central,—,—,50,26,24,5,—,5,—
Iowa,—,—,—,—,—,1,—,1,—
Kansas,—,—,—,—,—,—,—,—,—
Minnesota,—,—,49,25,24,1,—,1,—
Missouri,—,—,—,—,—,2,—,2,—
Nebraska,—,—,—,—,—,—,—,—,—
North Dakota,—,—,1,1,—,1,—,1,—
South Dakota,—,—,—,—,—,—,—,—,—
South Atlantic,—,—,38,33,5,22,1,21,—
Delaware,—,—,3,3,—,3,—,3,—
District of Columbia,—,—,2,2,—,—,—,—,—
Florida,—,—,19,17,2,1,—,1,—
Georgia,—,—,N,N,N,1,—,1,—
Maryland,—,—,7,7,—,6,—,6,—
North Carolina,—,—,N,N,N,1,—,1,—
South Carolina,—,—,1,1,—,—,—,—,—
Virginia,—,—,5,3,2,9,—,9,—
West Virginia,—,—,1,—,1,1,1,—,—
East South Central,—,—,1,—,1,8,—,8,—
Alabama,—,—,—,—,—,—,—,—,—
Kentucky,—,—,—,—,—,5,—,5,—
Mississippi,—,—,N,N,N,—,—,—,—
Tennessee,—,—,1,—,1,3,—,3,—
West South Central,—,—,5,4,1,18,5,12,1
Arkansas,—,—,2,1,1,—,—,—,—
Louisiana,—,—,1,1,—,1,—,1,—
Oklahoma,—,—,N,N,N,4,4,—,—
Texas,—,—,2,2,—,13,1,11,1
Mountain,—,—,1,1,—,22,1,17,4
Arizona,—,—,—,—,—,10,—,7,3
Colorado,—,—,N,N,N,1,—,1,—
Idaho,—,—,N,N,N,5,—,5,—
Montana,—,—,—,—,—,—,—,—,—
Nevada,—,—,N,N,N,1,—,1,—
New Mexico,—,—,N,N,N,1,—,—,1
Utah,—,—,1,1,—,3,1,2,—
Wyoming,—,—,—,—,—,1,—,1,—
Pacific,—,—,14,6,8,95,3,48,44
Alaska,—,—,N,N,N,2,2,—,—
California,—,—,6,4,2,81,—,38,43
Hawaii,—,—,N,N,N,—,—,—,—
Oregon,—,—,8,2,6,4,—,3,1
Washington,—,—,—,—,—,8,1,7,—
Territories,—,—,—,—,—,—,—,—,—
American Samoa,—,—,U,U,U,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—,—
Puerto Rico,—,—,N,N,N,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—,—
