Reporting Area,Syphilis,Syphilis,Syphilis,Tetanus,Toxic shock syndrome (other than Streptococcal),Trichinellosis,Tuberculosis,Tularemia
Reporting Area,"Total, all stages *",Congenital,Primary and secondary,Tetanus,Toxic shock syndrome (other than Streptococcal),Trichinellosis,Tuberculosis,Tularemia
United States,88042,628,27814,34,40,26,9272,230
New England,2099,4,794,1,3,—,297,6
Connecticut,217,—,110,—,N,—,52,—
Maine,64,—,42,1,—,—,23,—
Massachusetts,1447,4,489,—,1,—,190,5
New Hampshire,100,—,40,—,—,—,15,1
Rhode Island,234,—,90,—,1,—,12,—
Vermont,37,—,23,—,1,—,5,—
Middle Atlantic,13113,30,3682,6,5,2,1235,9
New Jersey,1620,12,472,—,—,—,294,5
New York (excluding New York City),1679,3,532,2,1,—,203,—
New York City,7777,10,1923,1,1,—,565,—
Pennsylvania,2037,5,755,3,3,2,173,4
East North Central,7931,51,2799,5,13,4,764,7
Illinois,4039,18,1260,1,1,—,342,5
Indiana,778,8,326,1,2,—,109,—
Michigan,1092,13,365,1,7,—,133,1
Ohio,1599,11,716,2,3,1,140,—
Wisconsin,423,1,132,—,—,3,40,1
West North Central,2625,19,1045,2,1,—,418,89
Iowa,276,1,89,2,N,N,48,3
Kansas,303,1,124,—,—,—,39,25
Minnesota,853,7,306,—,—,—,168,3
Missouri,955,8,400,—,—,—,101,34
Nebraska,120,—,67,—,1,—,28,10
North Dakota,61,—,33,—,—,—,22,—
South Dakota,57,2,26,—,—,—,12,14
South Atlantic,20082,129,6394,8,3,2,1742,3
Delaware,149,—,58,—,2,—,16,—
District of Columbia,568,1,161,—,—,1,25,—
Florida,8332,59,2406,5,N,—,639,—
Georgia,4112,21,1350,—,—,N,302,—
Maryland,1842,16,509,1,N,—,220,—
North Carolina,2653,16,1082,—,1,1,219,1
South Carolina,974,9,316,—,—,—,102,—
Virginia,1301,5,459,1,N,—,205,2
West Virginia,151,2,53,1,—,—,14,—
East South Central,3848,17,1311,5,3,—,367,5
Alabama,905,4,376,1,N,—,112,1
Kentucky,570,3,219,2,—,—,91,2
Mississippi,925,2,326,1,N,—,61,—
Tennessee,1448,8,390,1,3,—,103,2
West South Central,13426,128,3119,3,—,4,1546,61
Arkansas,567,6,150,—,—,—,91,32
Louisiana,2599,48,750,—,—,—,127,—
Oklahoma,696,3,264,1,N,—,78,26
Texas,9564,71,1955,2,N,4,1250,3
Mountain,4853,34,1767,1,12,—,390,42
Arizona,1904,15,721,1,2,—,188,3
Colorado,739,4,250,—,9,—,64,14
Idaho,127,—,50,—,—,—,18,3
Montana,24,—,14,—,—,—,4,3
Nevada,1313,12,444,—,—,—,56,—
New Mexico,470,3,189,—,—,—,39,7
Utah,259,—,92,—,1,—,20,5
Wyoming,17,—,7,—,—,—,1,7
Pacific,20065,216,6903,3,—,14,2513,8
Alaska,24,—,8,1,N,6,57,1
California,17602,206,5891,2,—,8,2062,2
Hawaii,215,1,112,—,N,—,119,—
Oregon,810,6,327,—,N,—,70,4
Washington,1414,3,565,—,N,—,205,1
Territories,1199,4,495,—,—,—,172,—
American Samoa,—,—,—,—,N,N,1,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,27,—
Guam,13,—,2,—,—,—,75,—
Puerto Rico,1184,4,493,—,N,N,69,—
U.S. Virgin Islands,2,—,—,—,—,—,—,—
