Reporting Area,Rabies,Rabies,Rubella,"Rubella, congenital syndrome",Salmonellosis,Severe acute respiratory syndrome-associated coronavirus disease
Reporting Area,Animal,Human,Rubella,"Rubella, congenital syndrome",Salmonellosis,Severe acute respiratory syndrome-associated coronavirus disease
United States,4423,2,7,5,54285,—
New England,296,—,—,1,2087,—
Connecticut,41,—,—,—,460,—
Maine,71,—,—,—,102,—
Massachusetts,98,—,—,1,1135,—
New Hampshire,28,—,—,—,136,—
Rhode Island,17,—,—,—,148,—
Vermont,41,—,—,—,106,—
Middle Atlantic,882,—,2,—,5251,—
New Jersey,207,—,—,—,1250,—
New York (excluding New York City),294,—,—,—,1306,—
New York City,—,—,2,—,1079,—
Pennsylvania,381,—,—,—,1616,—
East North Central,160,—,—,—,6064,—
Illinois,58,—,—,—,1840,—
Indiana,14,—,—,—,740,—
Michigan,38,—,—,—,1086,—
Ohio,21,—,—,—,1394,—
Wisconsin,29,—,—,—,1004,—
West North Central,160,—,1,—,3889,—
Iowa,10,—,—,—,738,—
Kansas,40,—,1,—,491,—
Minnesota,35,—,—,—,951,—
Missouri,20,—,—,—,993,—
Nebraska,19,—,—,—,394,—
North Dakota,14,—,—,—,96,—
South Dakota,22,—,—,—,226,—
South Atlantic,1342,2,—,—,15216,—
Delaware,16,—,—,—,188,—
District of Columbia,23,—,—,—,61,—
Florida,79,1,—,—,6557,—
Georgia,253,—,—,—,2094,—
Maryland,242,—,—,—,896,—
North Carolina,273,—,—,—,2437,—
South Carolina,63,—,—,—,1470,—
Virginia,355,1,—,—,1286,—
West Virginia,38,—,—,—,227,—
East South Central,99,—,1,—,3895,—
Alabama,52,—,1,—,1136,—
Kentucky,11,—,—,—,677,—
Mississippi,1,—,—,—,1096,—
Tennessee,35,—,—,—,986,—
West South Central,779,—,1,2,7878,—
Arkansas,43,—,—,—,655,—
Louisiana,15,—,—,—,1190,—
Oklahoma,42,—,—,—,921,—
Texas,679,—,1,2,5112,—
Mountain,423,—,1,—,3013,—
Arizona,152,—,1,—,875,—
Colorado,165,—,—,—,747,—
Idaho,15,—,—,—,207,—
Montana,13,—,—,—,140,—
Nevada,10,—,—,—,211,—
New Mexico,13,—,—,—,353,—
Utah,23,—,—,—,388,—
Wyoming,32,—,—,—,92,—
Pacific,282,—,1,2,6992,—
Alaska,12,—,—,—,48,—
California,231,—,1,2,5363,—
Hawaii,—,—,—,—,281,—
Oregon,17,—,—,—,491,—
Washington,22,—,—,—,809,—
Territories,31,—,0,—,580,—
American Samoa,—,U,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—
Guam,—,—,0,—,21,—
Puerto Rico,31,—,—,—,559,—
U.S. Virgin Islands,—,—,—,—,—,—
