Reporting Area,Brucellosis,Campylobacteriosis,Chancroid,Chlamydia trachomatis  infection,Cholera,Coccidioidomycosis *,Cryptosporidiosis,Cryptosporidiosis,Cryptosporidiosis
Reporting Area,Brucellosis,Campylobacteriosis,Chancroid,Chlamydia trachomatis  infection,Cholera,Coccidioidomycosis *,Total,Confirmed,Probable
United States,140,67537,7,1708569,10,14364,11414,8043,3371
New England,3,3020,2,63172,—,5,426,278,148
Connecticut,—,657,—,17750,—,N,72,44,28
Maine,1,234,—,4555,—,N,45,36,9
Massachusetts,2,1399,2,29315,—,N,154,125,29
New Hampshire,—,277,—,4412,—,2,72,17,55
Rhode Island,—,278,—,5282,—,3,33,33,—
Vermont,—,175,—,1858,—,N,50,23,27
Middle Atlantic,8,8622,—,208500,4,—,979,771,208
New Jersey,1,1875,—,35239,2,N,135,131,4
New York (excluding New York City),1,2072,—,45154,1,N,276,268,8
New York City,2,2108,—,71660,1,N,163,163,—
Pennsylvania,4,2567,—,56447,—,N,405,209,196
East North Central,4,9033,1,249520,2,76,2356,1621,735
Illinois,1,2365,—,75518,—,N,335,246,89
Indiana,—,1147,—,34278,1,12,223,134,89
Michigan,1,1731,1,50595,1,25,422,342,80
Ohio,—,2085,—,61389,—,28,649,438,211
Wisconsin,2,1705,—,27740,—,11,727,461,266
West North Central,12,6127,—,99979,1,124,1887,1334,553
Iowa,1,1154,—,13893,—,N,538,327,211
Kansas,—,734,—,13554,—,N,128,90,38
Minnesota,4,1552,—,23539,1,83,481,388,93
Missouri,2,1480,—,32683,—,22,332,265,67
Nebraska,4,586,—,8595,—,6,203,168,35
North Dakota,—,226,—,3278,—,7,42,36,6
South Dakota,1,395,—,4437,—,6,163,60,103
South Atlantic,32,10897,1,354662,2,8,1699,1126,573
Delaware,1,203,—,5392,—,—,36,14,22
District of Columbia,2,78,—,9107,—,N,43,36,7
Florida,11,4318,—,100018,1,N,556,296,260
Georgia,6,1177,—,65104,—,N,349,349,—
Maryland,3,886,—,33416,1,8,100,71,29
North Carolina,1,1824,1,62876,—,N,211,145,66
South Carolina,2,441,—,32235,—,N,112,97,15
Virginia,5,1531,—,42374,—,N,239,78,161
West Virginia,1,439,—,4140,—,N,53,40,13
East South Central,3,3021,—,105491,—,1,548,355,193
Alabama,—,789,—,29935,—,N,189,100,89
Kentucky,1,821,—,19320,—,1,91,45,46
Mississippi,1,486,—,21149,—,N,62,62,—
Tennessee,1,925,—,35087,—,N,206,148,58
West South Central,31,8141,2,225361,1,16,1625,1209,416
Arkansas,1,626,—,17320,—,6,131,127,4
Louisiana,2,824,—,34756,1,10,145,64,81
Oklahoma,2,1243,—,21752,—,N,197,163,34
Texas,26,5448,2,151533,—,N,1152,855,297
Mountain,9,5232,—,119450,—,7192,789,564,225
Arizona,8,1372,—,39598,—,6885,112,96,16
Colorado,—,1193,—,26995,—,N,200,146,54
Idaho,—,506,—,6200,—,N,94,73,21
Montana,—,406,—,4560,—,18,70,63,7
Nevada,—,174,—,16260,—,182,43,11,32
New Mexico,—,788,—,13560,—,23,122,115,7
Utah,—,594,—,10135,—,74,125,37,88
Wyoming,1,199,—,2142,—,10,23,23,—
Pacific,38,13444,1,282434,—,6942,1105,785,320
Alaska,1,126,—,5934,—,N,20,15,5
California,29,9431,1,218785,—,6925,640,592,48
Hawaii,3,602,—,6850,—,N,4,4,—
Oregon,3,1069,—,18634,—,17,291,57,234
Washington,2,2216,—,32231,—,N,150,117,33
Territories,—,59,—,7526,1,—,—,—,—
American Samoa,—,—,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—,—
Guam,—,9,—,1107,1,—,—,—,—
Puerto Rico,—,50,—,5961,—,N,—,—,—
U.S. Virgin Islands,—,—,—,458,—,—,—,—,—
