Reporting Area,Pertussis,Plague,"Poliomyelitis, paralytic","Poliovirus infection, nonparalytic",Psittacosis,Q fever,Q fever,Q fever
Reporting Area,Pertussis,Plague,"Poliomyelitis, paralytic","Poliovirus infection, nonparalytic",Psittacosis,Total,Acute,Chronic
United States,17972,4,—,—,12,164,132,32
New England,998,—,—,—,—,1,1,—
Connecticut,96,—,—,—,N,—,—,—
Maine,259,—,—,—,—,—,—,—
Massachusetts,202,—,—,—,—,—,—,—
New Hampshire,60,—,—,—,—,N,N,N
Rhode Island,91,—,—,—,—,1,1,—
Vermont,290,—,—,—,—,—,—,—
Middle Atlantic,3124,—,—,—,3,20,12,8
New Jersey,566,—,—,—,2,—,—,—
New York (excluding New York City),663,—,—,—,—,2,2,—
New York City,304,—,—,—,—,1,1,—
Pennsylvania,1591,—,—,—,1,17,9,8
East North Central,4072,—,—,—,2,15,12,3
Illinois,1034,—,—,—,—,3,2,1
Indiana,178,—,—,—,—,1,1,—
Michigan,416,—,—,—,2,2,1,1
Ohio,1001,—,—,—,—,2,2,—
Wisconsin,1443,—,—,—,—,7,6,1
West North Central,1904,—,—,—,—,28,21,7
Iowa,161,—,—,—,—,7,6,1
Kansas,161,—,—,—,—,4,3,1
Minnesota,1015,—,—,—,—,3,2,1
Missouri,357,—,—,—,—,2,2,—
Nebraska,152,—,—,—,—,8,7,1
North Dakota,44,—,—,—,—,—,—,—
South Dakota,14,—,—,—,—,4,1,3
South Atlantic,1364,—,—,—,2,3,3,—
Delaware,15,—,—,—,—,—,—,—
District of Columbia,11,—,—,—,—,—,—,—
Florida,334,—,—,—,—,—,—,—
Georgia,190,—,—,—,—,1,1,—
Maryland,135,—,—,—,1,—,—,—
North Carolina,296,—,—,—,1,1,1,—
South Carolina,132,—,—,—,—,—,—,—
Virginia,225,—,—,—,—,—,—,—
West Virginia,26,—,—,—,—,1,1,—
East South Central,785,—,—,—,—,7,7,—
Alabama,176,—,—,—,—,1,1,—
Kentucky,463,—,—,—,—,1,1,—
Mississippi,6,—,—,—,—,—,—,—
Tennessee,140,—,—,—,—,5,5,—
West South Central,1604,—,—,—,—,27,22,5
Arkansas,69,—,—,—,—,4,4,N
Louisiana,65,—,—,—,—,—,—,—
Oklahoma,184,—,—,—,—,4,2,2
Texas,1286,—,—,—,N,19,16,3
Mountain,1589,4,—,—,1,23,15,8
Arizona,287,—,—,—,—,5,3,2
Colorado,716,—,—,—,—,6,3,3
Idaho,83,—,—,—,—,6,5,1
Montana,21,—,—,—,—,1,—,1
Nevada,36,—,—,—,1,1,1,—
New Mexico,160,4,—,—,—,—,—,—
Utah,265,—,—,—,—,4,3,1
Wyoming,21,—,—,—,—,—,—,—
Pacific,2532,—,—,—,4,40,39,1
Alaska,158,—,—,—,—,1,1,—
California,1509,—,—,—,3,28,27,1
Hawaii,55,—,—,—,—,—,—,—
Oregon,192,—,—,—,1,4,4,—
Washington,618,—,—,—,—,7,7,—
Territories,15,—,—,—,—,—,—,—
American Samoa,—,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,N,N,N
Puerto Rico,15,—,—,—,N,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
