Reporting Area,Pertussis,Plague,"Poliomyelitis, paralytic","Poliovirus infection, nonparalytic",Psittacosis,Q fever,Q fever,Q fever
Reporting Area,Pertussis,Plague,"Poliomyelitis, paralytic","Poliovirus infection, nonparalytic",Psittacosis,Total,Acute,Chronic
United States,15609,1,—,—,22,215,178,37
New England,960,—,—,—,—,3,2,1
Connecticut,43,—,—,—,N,—,—,—
Maine,446,—,—,—,—,1,—,1
Massachusetts,266,—,—,—,—,2,2,—
New Hampshire,137,—,—,—,—,N,N,N
Rhode Island,34,—,—,—,—,—,—,—
Vermont,34,—,—,—,—,—,—,—
Middle Atlantic,1295,—,—,—,1,13,7,6
New Jersey,275,—,—,—,—,1,1,—
New York (excluding New York City),373,—,—,—,1,2,1,1
New York City,185,—,—,—,—,2,—,2
Pennsylvania,462,—,—,—,—,8,5,3
East North Central,2537,—,—,—,4,23,19,4
Illinois,370,—,—,—,—,7,5,2
Indiana,184,—,—,—,—,2,2,—
Michigan,646,—,—,—,4,5,4,1
Ohio,637,—,—,—,—,3,2,1
Wisconsin,700,—,—,—,—,6,6,—
West North Central,1257,—,—,—,1,37,31,6
Iowa,162,—,—,—,—,11,10,1
Kansas,153,—,—,—,—,4,3,1
Minnesota,397,—,—,—,—,4,2,2
Missouri,170,—,—,—,1,2,2,—
Nebraska,161,—,—,—,—,4,3,1
North Dakota,51,—,—,—,—,—,—,—
South Dakota,163,—,—,—,—,12,11,1
South Atlantic,1703,—,—,—,10,9,7,2
Delaware,190,—,—,—,—,—,—,—
District of Columbia,14,—,—,—,—,—,—,—
Florida,326,—,—,—,—,2,2,—
Georgia,195,—,—,—,7,1,1,—
Maryland,119,—,—,—,—,4,3,1
North Carolina,389,—,—,—,—,1,1,—
South Carolina,198,—,—,—,—,—,—,—
Virginia,245,—,—,—,3,1,—,1
West Virginia,27,—,—,—,—,—,—,—
East South Central,583,—,—,—,—,6,5,1
Alabama,219,—,—,—,—,2,1,1
Kentucky,198,—,—,—,—,3,3,—
Mississippi,43,—,—,—,—,—,—,—
Tennessee,123,—,—,—,—,1,1,—
West South Central,1494,—,—,—,3,25,19,6
Arkansas,99,—,—,—,—,3,3,N
Louisiana,125,—,—,—,—,—,—,—
Oklahoma,103,—,—,—,3,—,—,—
Texas,1167,—,—,—,N,22,16,6
Mountain,2214,1,—,—,2,35,30,5
Arizona,239,—,—,—,—,5,4,1
Colorado,614,—,—,—,1,9,9,—
Idaho,396,1,—,—,1,3,3,—
Montana,143,—,—,—,—,3,3,—
Nevada,86,—,—,—,—,3,1,2
New Mexico,242,—,—,—,—,5,5,—
Utah,432,—,—,—,—,4,3,1
Wyoming,62,—,—,—,—,3,2,1
Pacific,3566,—,—,—,1,64,58,6
Alaska,92,—,—,—,—,—,—,—
California,2315,—,—,—,1,53,48,5
Hawaii,33,—,—,—,—,—,—,—
Oregon,499,—,—,—,—,8,8,—
Washington,627,—,—,—,—,3,2,1
Territories,7,—,—,—,—,—,—,—
American Samoa,—,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,N,N,N
Puerto Rico,7,—,—,—,N,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
