Disease,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Unknown,Total
Anthrax,—,—,—,—,—,—,—,1,—,—,—,—,—,1
Arboviral diseases,,,,,,,,,,,,,,
Chikungunya virus disease,7,9,9,9,7,15,25,21,24,20,21,25,—,192
Eastern equine encephalitis virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,1,1,12,23,—,1,—,—,38
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,1,1,2,6,4,4,5,2,—,—,25
Non-neuroinvasive,—,—,—,—,1,1,11,1,5,1,—,—,—,20
La Crosse virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,2,9,13,15,9,—,—,—,48
Non-neuroinvasive,—,—,—,—,—,—,1,4,2,—,—,—,—,7
Powassan virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,1,8,5,9,4,2,1,5,4,—,39
Non-neuroinvasive,—,—,—,—,—,1,2,—,—,—,1,—,—,4
St. Louis encephalitis virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,1,7,3,4,—,—,—,—,15
Non-neuroinvasive,—,—,—,—,—,—,—,—,1,—,—,1,—,2
West Nile virus disease,,,,,,,,,,,,,,
Neuroinvasive,2,2,2,3,5,18,141,153,238,59,11,2,—,636
Non-neuroinvasive,1,1,—,2,3,9,68,110,119,16,7,2,—,338
Western equine encephalitis virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Babesiosis,,,,,,,,,,,,,,
Total,14,8,6,11,55,367,766,700,164,78,78,173,—,2420
Confirmed,8,5,3,5,40,312,682,616,132,64,59,140,—,2066
Probable,6,3,3,6,15,55,84,84,32,14,19,33,—,354
Botulism,,,,,,,,,,,,,,
Total,14,12,18,13,18,19,12,15,15,19,20,21,—,196
Foodborne,6,—,—,—,—,2,1,2,4,—,1,4,—,20
Infant,8,11,16,12,17,15,7,9,8,14,16,15,—,148
Other (wound & unspecified),—,1,2,1,1,2,4,4,3,5,3,2,—,28
Brucellosis,6,10,15,8,18,12,16,19,16,14,14,17,—,165
Campylobacteriosis,4017,4216,5063,4541,5131,8512,8100,8694,5712,5174,5755,6594,—,71509
"Candida auris  , clinical  †",15,10,13,9,6,18,11,23,20,22,17,11,—,175
Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,96,109,138,105,114,155,89,174,110,110,132,151,—,1483
Chancroid,—,—,1,—,2,—,2,1,—,—,1,1,—,8
Chlamydia trachomatis  infection,132928,140056,174703,136778,140097,168411,137491,187239,142728,144593,168146,135533,—,1808703
Cholera,—,1,2,2,—,1,2,2,3,1,—,—,—,14
Coccidioidomycosis  §,1270,1455,1914,1360,1466,1667,1461,1900,1376,1352,1915,1271,—,18407
Cryptosporidiosis,,,,,,,,,,,,,,
Total,653,628,829,797,830,1137,1537,2224,1506,1357,1234,1243,—,13975
Confirmed,459,421,540,539,560,819,1168,1746,1143,962,942,886,—,10185
Probable,194,207,289,258,270,318,369,478,363,395,292,357,—,3790
Cyclosporiasis,6,12,24,22,74,718,2099,1274,239,118,38,79,—,4703
Dengue virus infections  ¶,,,,,,,,,,,,,,
Dengue,63,31,23,38,32,52,139,241,277,211,166,141,—,1414
Dengue-like illness,2,—,1,1,1,4,5,8,5,6,5,5,—,43
Severe dengue,—,2,—,1,1,—,3,7,7,4,1,4,—,30
Diphtheria,—,—,—,—,—,—,—,—,1,—,1,—,—,2
Ehrlichiosis and Anaplasmosis,,,,,,,,,,,,,,
Anaplasma phagocytophilum  infection,12,14,22,100,425,1428,1586,902,254,254,482,176,—,5655
Ehrlichia chaffeensis  infection,18,18,32,60,210,557,456,342,170,94,60,76,—,2093
Ehrlichia ewingii  infection,—,—,—,—,2,12,10,8,6,3,1,1,—,43
Undetermined ehrlichiosis/anaplasmosis,2,2,4,10,17,34,42,30,16,11,7,10,—,185
Giardiasis,911,950,1179,1041,987,1440,1281,1937,1415,1223,1293,1203,—,14860
Gonorrhea,44622,44526,54271,43136,44593,56440,48463,65666,50967,51643,60689,51376,—,616392
"Haemophilus influenzae,  invasive disease",,,,,,,,,,,,,,
"All ages, all serotypes",504,479,672,492,516,660,412,420,365,417,557,649,—,6143
Age <5 years,,,,,,,,,,,,,,
Serotype b,1,—,8,—,1,2,1,—,1,—,4,—,—,18
Non-b serotype,14,19,31,12,18,12,13,12,17,12,31,22,—,213
Nontypeable,15,20,28,13,11,24,9,18,8,11,12,31,—,200
Unknown serotype,15,20,25,21,24,24,10,14,13,14,29,45,—,254
Hansen's disease,3,6,5,2,14,9,7,4,6,8,6,7,—,77
"Hantavirus infection, non-hantavirus pulmonary syndrome  **",—,—,—,—,1,—,—,—,1,—,—,1,—,3
Hantavirus pulmonary syndrome,—,1,—,2,2,3,—,4,2,1,2,1,—,18
Hemolytic uremic syndrome post-diarrheal,9,4,12,13,31,42,49,49,58,35,49,41,—,392
Hepatitis  ††,,,,,,,,,,,,,,
"A, acute",1434,1576,1913,1646,1626,2086,1648,2015,1310,1159,1217,1216,—,18846
"B, acute",226,264,317,259,324,356,279,348,243,267,313,348,—,3544
"B, perinatal infection",3,3,1,1,—,1,2,2,1,1,3,1,—,19
"C, acute",393,431,520,490,474,585,420,547,376,390,444,409,—,5479
Confirmed,285,327,391,368,348,423,314,429,290,303,342,316,—,4136
Probable,108,104,129,122,126,162,106,118,86,87,102,93,—,1343
"C, perinatal infection",15,15,35,14,15,20,22,20,21,8,16,16,—,217
Human immunodeficiency virus diagnoses,3241,2885,3068,3048,3103,3000,2977,2974,2503,2579,1805,540,—,31723
Influenza-associated pediatric mortality,11,32,28,19,13,9,4,4,6,8,5,21,—,160
Invasive pneumococcal disease  §§,,,,,,,,,,,,,,
All ages,2064,2032,2620,1914,1755,1580,682,784,880,1176,1841,2623,—,19951
Confirmed,2029,2005,2588,1890,1730,1561,676,771,864,1161,1815,2599,—,19689
Probable,35,27,32,24,25,19,6,13,16,15,26,24,—,262
Age <5 years,84,96,127,86,112,97,41,47,71,90,116,148,—,1115
Confirmed,81,94,123,85,111,97,41,44,69,88,112,146,—,1091
Probable,3,2,4,1,1,—,—,3,2,2,4,2,—,24
Legionellosis,498,400,413,348,520,1151,1109,1152,1145,862,752,540,—,8890
Leptospirosis,7,3,4,6,6,3,15,19,7,7,8,9,—,94
Listeriosis  ¶¶,,,,,,,,,,,,,,
Total,37,40,58,48,71,121,99,140,101,73,73,67,—,928
Confirmed,36,38,55,44,68,116,92,133,96,66,70,66,—,880
Probable,1,2,3,4,3,5,7,7,5,7,3,1,—,48
Lyme disease,,,,,,,,,,,,,,
Total,905,854,1075,1200,1970,5680,7485,6642,3072,2387,2141,1534,—,34945
Confirmed,560,555,704,742,1212,3848,5285,4513,2085,1591,1358,1000,—,23453
Probable,345,299,371,458,758,1832,2200,2129,987,796,783,534,—,11492
Malaria,103,93,92,75,134,232,237,308,232,142,136,152,—,1936
Measles  ***,,,,,,,,,,,,,,
Total,45,98,283,299,191,100,76,37,27,18,7,94,—,1275
Indigenous,41,90,267,283,181,93,71,36,25,11,7,87,—,1192
Imported,4,8,16,16,10,7,5,1,2,7,—,7,—,83
Meningococcal disease,,,,,,,,,,,,,,
All serogroups,31,39,45,26,25,33,18,27,23,21,34,49,—,371
Serogroups ACWY,18,14,14,9,12,12,9,11,6,11,12,11,—,139
Serogroup B,4,3,10,3,1,6,2,3,9,2,10,7,—,60
Other serogroups,—,3,1,3,2,4,1,3,4,1,2,—,—,24
Unknown serogroup,9,19,20,11,10,11,6,10,4,7,10,31,—,148
Mumps,138,144,421,369,371,412,283,372,257,310,384,319,—,3780
Novel Influenza A virus infections,—,—,—,—,1,—,—,—,—,—,—,—,—,1
Pertussis,1092,1078,1298,1065,1446,1784,1456,1851,1338,1412,2294,2503,—,18617
Plague,—,—,—,—,—,—,—,—,1,—,—,—,—,1
"Poliomyelitis, paralytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—
Psittacosis,—,—,—,—,—,—,—,1,2,—,—,1,—,4
Q fever,,,,,,,,,,,,,,
Total,8,15,16,23,22,30,20,18,17,13,17,13,—,212
Acute,7,11,15,18,20,23,19,17,13,11,14,10,—,178
Chronic,1,4,1,5,2,7,1,1,4,2,3,3,—,34
Rabies,,,,,,,,,,,,,,
Animal,248,265,396,443,442,390,467,573,520,443,240,218,—,4645
Human,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Rubella,1,1,—,—,—,1,1,2,—,—,—,—,—,6
"Rubella, congenital syndrome",—,—,—,—,—,—,—,—,—,—,—,1,—,1
Salmonella  Paratyphi infection  †††,10,16,13,14,11,9,7,14,14,15,8,24,—,155
Salmonella  Typhi infection  §§§,15,33,40,34,37,41,12,50,46,31,19,51,—,409
Salmonellosis (excluding  S.  Typhi infection and  S.  Paratyphi infection)  ¶¶¶,2061,2307,3326,3288,3980,6081,6477,8799,6483,5525,5632,4412,—,58371
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  (STEC),674,659,1295,1225,1173,2040,2029,2322,1375,1164,1473,1510,—,16939
Shigellosis,1150,1108,1345,1102,1112,1688,1552,2094,1524,1643,2080,2176,—,18574
Smallpox,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,,,,,,,,,
Total,78,101,134,231,515,1059,884,932,523,393,219,138,—,5207
Confirmed,—,2,6,2,12,16,22,28,23,7,3,7,—,128
Probable,78,99,128,229,503,1043,862,904,500,386,216,131,—,5079
Streptococcal toxic shock syndrome,45,46,70,49,33,37,24,16,16,22,26,32,—,416
Syphilis,,,,,,,,,,,,,,
"Total, all stages  ****",9398,10117,12375,9915,10195,12110,9814,12834,10243,10464,12255,10093,—,129813
Congenital,138,138,134,135,143,128,184,189,189,167,177,148,—,1870
Primary and secondary,2818,2940,3656,2939,3077,3629,2937,4037,3094,3100,3575,3190,—,38992
Tetanus,2,2,1,4,2,3,2,4,2,—,1,3,—,26
Toxic shock syndrome (other than Streptococcal),2,4,6,4,4,8,4,2,4,1,2,3,—,44
Trichinellosis,—,—,—,—,—,—,2,4,—,—,1,—,—,7
Tuberculosis,518,519,669,745,780,771,776,800,704,805,676,1153,—,8916
Tularemia,4,1,4,14,27,59,40,44,24,21,18,18,—,274
Vancomycin-intermediate  Staphylococcus aureus,3,2,8,12,7,7,3,5,9,4,8,8,—,76
Vancomycin-resistant  Staphylococcus aureus,—,—,—,—,1,—,—,—,1,—,—,1,—,3
Varicella morbidity,590,687,901,740,771,715,519,709,671,610,707,677,—,8297
Varicella mortality,1,—,1,1,—,1,—,—,—,2,—,—,—,6
Vibriosis,,,,,,,,,,,,,,
Total,111,111,164,143,189,309,354,524,290,198,175,283,—,2851
Confirmed,34,28,56,67,96,188,240,352,182,117,101,190,—,1651
Probable,77,83,108,76,93,121,114,172,108,81,74,93,—,1200
Viral hemorrhagic fevers,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Yellow fever,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zika virus,,,,,,,,,,,,,,
"Zika virus disease, congenital  ††††",—,—,—,—,—,—,—,—,—,—,—,—,—,—
"Zika virus disease, non-congenital",2,—,1,4,—,2,3,5,5,4,1,1,—,28
"Zika virus infection, congenital  ††††",—,—,—,—,—,—,—,—,—,—,—,—,—,—
"Zika virus infection, non-congenital",11,24,24,19,22,17,19,10,15,6,6,4,—,177
