Reporting Area,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases
Reporting Area,La Crosse virus disease,La Crosse virus disease,Powassan virus disease,Powassan virus disease,St. Louis encephalitis virus disease,St. Louis encephalitis virus disease,West Nile virus disease,West Nile virus disease
Reporting Area,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive
United States,83,3,21,—,5,3,1657,989
New England,1,—,8,—,—,—,62,14
Connecticut,—,—,2,—,—,—,18,5
Maine,—,—,—,—,—,—,1,1
Massachusetts,—,—,6,—,—,—,42,7
New Hampshire,—,—,—,—,—,—,—,—
Rhode Island,1,—,—,—,—,—,—,1
Vermont,—,—,—,—,—,—,1,—
Middle Atlantic,—,—,6,—,—,1,216,73
New Jersey,—,—,1,—,—,—,44,17
New York (excluding New York City),—,—,3,—,—,—,47,15
New York City,—,—,1,—,—,—,30,6
Pennsylvania,—,—,1,—,—,1,95,35
East North Central,38,1,4,—,1,—,306,105
Illinois,—,—,—,—,—,—,126,50
Indiana,—,—,1,—,—,—,26,9
Michigan,—,—,—,—,—,—,80,22
Ohio,38,1,—,—,—,—,45,20
Wisconsin,—,—,3,—,1,—,29,4
West North Central,—,—,3,—,—,—,364,497
Iowa,—,—,—,—,—,—,59,45
Kansas,—,—,—,—,—,—,23,24
Minnesota,—,—,3,—,—,—,34,29
Missouri,—,—,—,—,—,—,17,6
Nebraska,—,—,—,—,—,—,124,127
North Dakota,—,—,—,—,—,—,60,144
South Dakota,—,—,—,—,—,—,47,122
South Atlantic,31,1,—,—,—,1,170,42
Delaware,—,—,—,—,—,—,8,2
District of Columbia,—,—,—,—,—,—,7,6
Florida,—,—,—,—,—,—,28,5
Georgia,—,—,—,—,—,1,30,6
Maryland,—,—,—,—,—,—,35,10
North Carolina,24,—,—,—,—,—,10,—
South Carolina,—,—,—,—,—,—,12,3
Virginia,2,—,—,—,—,—,38,10
West Virginia,5,1,—,—,—,—,2,—
East South Central,12,1,—,—,—,—,67,35
Alabama,—,—,—,—,—,—,16,12
Kentucky,—,—,—,—,—,—,9,3
Mississippi,—,—,—,—,—,—,31,19
Tennessee,12,1,—,—,—,—,11,1
West South Central,1,—,—,—,—,—,182,73
Arkansas,—,—,—,—,—,—,6,2
Louisiana,—,—,—,—,—,—,56,27
Oklahoma,—,—,—,—,—,—,12,6
Texas,1,—,—,—,—,—,108,38
Mountain,—,—,—,—,—,—,131,86
Arizona,—,—,—,—,—,—,26,1
Colorado,—,—,—,—,—,—,52,44
Idaho,—,—,—,—,—,—,10,6
Montana,—,—,—,—,—,—,25,22
Nevada,—,—,—,—,—,—,3,6
New Mexico,—,—,—,—,—,—,5,2
Utah,—,—,—,—,—,—,7,4
Wyoming,—,—,—,—,—,—,3,1
Pacific,—,—,—,—,4,1,159,64
Alaska,—,—,—,—,—,—,1,—
California,—,—,—,—,4,1,154,63
Hawaii,—,—,—,—,—,—,—,—
Oregon,—,—,—,—,—,—,2,—
Washington,—,—,—,—,—,—,2,1
Territories,—,—,—,—,—,—,—,—
American Samoa,—,—,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—
Puerto Rico,—,—,—,—,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
