Reporting Area,Typhoid fever,Vancomycin-intermediate  Staphylococcus aureus,Vancomycin-resistant  Staphylococcus aureus,Varicella morbidity,Varicella mortality,Vibriosis,Vibriosis,Vibriosis
Reporting Area,Typhoid fever,Vancomycin-intermediate  Staphylococcus aureus,Vancomycin-resistant  Staphylococcus aureus,Varicella morbidity,Varicella mortality,Total,Confirmed,Probable
United States,419,109,3,8775,2,2085,1497,588
New England,20,2,1,912,1,153,140,13
Connecticut,2,1,—,111,1,47,39,8
Maine,—,—,—,198,—,7,7,—
Massachusetts,15,1,1,386,—,72,71,1
New Hampshire,2,N,—,81,—,10,6,4
Rhode Island,1,—,—,74,—,15,15,—
Vermont,—,—,—,62,—,2,2,—
Middle Atlantic,95,16,—,1154,—,189,137,52
New Jersey,28,3,—,480,—,58,36,22
New York (excluding New York City),21,4,—,N,—,57,47,10
New York City,37,2,—,—,—,36,23,13
Pennsylvania,9,7,—,674,—,38,31,7
East North Central,81,25,—,1924,—,156,87,69
Illinois,22,7,—,412,—,60,31,29
Indiana,8,N,—,236,—,7,5,2
Michigan,13,7,—,542,—,19,11,8
Ohio,35,5,—,448,—,39,23,16
Wisconsin,3,6,—,286,—,31,17,14
West North Central,13,28,1,908,—,95,46,49
Iowa,—,—,—,N,—,N,N,N
Kansas,2,—,—,156,—,9,6,3
Minnesota,7,—,—,432,—,36,21,15
Missouri,3,28,1,196,—,26,9,17
Nebraska,—,—,—,37,—,9,4,5
North Dakota,1,—,—,63,—,3,2,1
South Dakota,—,N,—,24,—,12,4,8
South Atlantic,73,21,—,1422,—,568,431,137
Delaware,4,—,—,22,—,12,9,3
District of Columbia,—,N,N,21,—,8,2,6
Florida,20,5,—,656,—,274,228,46
Georgia,14,5,—,240,—,45,45,—
Maryland,16,4,—,N,—,66,52,14
North Carolina,11,5,—,N,—,64,31,33
South Carolina,1,1,—,147,—,37,22,15
Virginia,7,—,—,336,—,60,42,18
West Virginia,—,1,—,N,—,2,—,2
East South Central,6,7,—,118,—,95,55,40
Alabama,1,4,—,94,—,26,23,3
Kentucky,2,N,N,15,—,18,4,14
Mississippi,3,2,—,9,—,18,17,1
Tennessee,—,1,—,N,—,33,11,22
West South Central,30,5,1,1339,—,277,187,90
Arkansas,1,—,—,136,—,2,2,—
Louisiana,—,2,—,59,—,83,69,14
Oklahoma,2,—,1,N,—,9,5,4
Texas,27,3,—,1144,—,183,111,72
Mountain,12,5,—,850,—,101,57,44
Arizona,2,5,—,189,—,25,12,13
Colorado,5,N,—,272,—,42,22,20
Idaho,—,N,N,N,—,N,N,N
Montana,—,—,—,54,—,8,7,1
Nevada,4,—,—,N,—,7,7,—
New Mexico,1,N,N,71,—,3,2,1
Utah,—,—,—,253,—,15,6,9
Wyoming,—,—,—,11,—,1,1,—
Pacific,89,—,—,148,1,451,357,94
Alaska,1,N,—,45,—,5,4,1
California,72,N,N,42,—,262,201,61
Hawaii,—,—,—,61,—,56,56,—
Oregon,2,N,N,N,1,33,18,15
Washington,14,N,—,N,—,95,78,17
Territories,—,—,—,74,—,—,—,—
American Samoa,—,N,N,N,—,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,1,—,—,—,—
Puerto Rico,—,—,—,73,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
