Reporting Area,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease,Mumps,Novel Influenza A virus infections,Pertussis
Reporting Area,All serogroups,Serogroups ACWY,Serogroup B,Other serogroups,Unknown serogroup,Mumps,Novel Influenza A virus infections,Pertussis
"U.S. Residents, excluding U.S. Territories",371,139,60,24,148,3780,1,18617
New England,30,16,6,4,4,93,—,876
Connecticut,5,1,4,—,—,13,—,63
Maine,5,2,1,2,—,5,—,383
Massachusetts,16,11,1,—,4,64,—,294
New Hampshire,1,1,—,—,—,—,—,49
Rhode Island,3,1,—,2,—,9,—,44
Vermont,—,—,—,—,—,2,—,43
Middle Atlantic,49,11,13,1,24,739,—,2078
New Jersey,9,—,—,—,9,63,—,458
New York (excluding New York City),11,4,6,1,—,63,—,759
New York City,14,7,7,—,—,143,—,222
Pennsylvania,15,—,—,—,15,470,—,639
East North Central,44,21,16,6,1,290,1,3103
Illinois,11,5,1,5,—,89,—,912
Indiana,10,5,4,1,—,86,—,218
Michigan,7,5,2,—,—,24,1,543
Ohio,12,5,6,—,1,65,—,898
Wisconsin,4,1,3,—,—,26,—,532
West North Central,32,3,2,2,25,298,—,1672
Iowa,4,—,—,1,3,14,—,244
Kansas,5,—,—,—,5,6,—,192
Minnesota,4,—,—,—,4,11,—,466
Missouri,13,—,—,—,13,156,—,393
Nebraska,4,2,1,1,—,83,—,192
North Dakota,2,1,1,—,—,16,—,38
South Dakota,—,—,—,—,—,12,—,147
South Atlantic,70,37,11,2,20,482,—,1994
Delaware,—,—,—,—,—,3,—,7
District of Columbia,3,—,—,—,3,5,—,26
Florida,23,9,9,—,5,134,—,391
Georgia,20,15,—,—,5,48,—,339
Maryland,4,3,—,1,—,19,—,104
North Carolina,9,6,1,—,2,89,—,491
South Carolina,2,—,—,—,2,118,—,226
Virginia,9,4,1,1,3,64,—,371
West Virginia,—,—,—,—,—,2,—,39
East South Central,23,10,1,1,11,100,—,725
Alabama,4,2,1,—,1,12,—,261
Kentucky,8,1,—,—,7,6,—,214
Mississippi,3,—,—,—,3,44,—,54
Tennessee,8,7,—,1,—,38,—,196
West South Central,39,17,6,6,10,1076,—,1574
Arkansas,5,1,1,1,2,75,—,133
Louisiana,2,1,—,—,1,206,—,86
Oklahoma,6,4,—,—,2,12,—,47
Texas,26,11,5,5,5,783,—,1308
Mountain,21,11,4,2,4,258,—,2251
Arizona,2,1,1,—,—,103,—,379
Colorado,6,5,1,—,—,67,—,464
Idaho,3,—,—,2,1,1,—,252
Montana,3,—,1,—,2,17,—,495
Nevada,3,3,—,—,—,1,—,75
New Mexico,1,—,—,—,1,43,—,167
Utah,3,2,1,—,—,26,—,389
Wyoming,—,—,—,—,—,—,—,30
Pacific,63,13,1,—,49,444,—,4344
Alaska,2,2,—,—,—,1,—,45
California,34,—,—,—,34,354,—,3225
Hawaii,1,—,—,—,1,3,—,54
Oregon,12,11,1,—,—,31,—,422
Washington,14,—,—,—,14,55,—,598
Territories,—,—,—,—,—,4,—,161
American Samoa,—,—,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,1,—,12
Puerto Rico,—,—,—,—,—,3,—,149
U.S. Virgin Islands,—,—,—,—,—,—,—,—
