Reporting Area,Yellow fever,Zika virus,Zika virus,Zika virus,Zika virus
Reporting Area,Yellow fever,"Zika virus disease, congenital *","Zika virus disease, non-congenital","Zika virus infection, congenital *","Zika virus infection, non-congenital"
United States,—,22,497,17,641
New England,—,1,29,1,66
Connecticut,—,—,8,—,4
Maine,—,—,1,—,—
Massachusetts,—,1,13,1,42
New Hampshire,—,—,—,—,—
Rhode Island,—,—,3,—,20
Vermont,—,—,4,—,—
Middle Atlantic,—,3,84,3,163
New Jersey,—,1,12,—,24
New York (excluding New York City),—,—,20,—,35
New York City,—,2,45,—,87
Pennsylvania,—,—,7,3,17
East North Central,—,1,24,—,11
Illinois,—,—,7,—,3
Indiana,—,—,3,—,3
Michigan,—,—,7,—,—
Ohio,—,—,3,—,1
Wisconsin,—,1,4,—,4
West North Central,—,—,15,1,12
Iowa,—,—,1,—,—
Kansas,—,—,2,—,1
Minnesota,—,—,8,—,3
Missouri,—,—,2,—,3
Nebraska,—,—,2,1,3
North Dakota,—,—,—,—,—
South Dakota,—,—,—,—,2
South Atlantic,—,6,187,4,243
Delaware,—,—,—,—,—
District of Columbia,—,—,3,—,5
Florida,—,3,152,1,176
Georgia,—,1,2,—,1
Maryland,—,1,12,3,55
North Carolina,—,1,8,—,—
South Carolina,—,—,2,—,1
Virginia,—,—,7,—,5
West Virginia,—,—,1,—,—
East South Central,—,—,9,1,3
Alabama,—,—,3,—,1
Kentucky,—,—,2,1,—
Mississippi,—,—,2,—,—
Tennessee,—,—,2,—,2
West South Central,—,1,56,2,56
Arkansas,—,—,—,—,1
Louisiana,—,—,1,—,2
Oklahoma,—,—,1,—,2
Texas,—,1,54,2,51
Mountain,—,2,16,—,6
Arizona,—,—,3,—,—
Colorado,—,1,6,—,—
Idaho,—,—,—,—,1
Montana,—,—,—,—,—
Nevada,—,1,1,—,1
New Mexico,—,—,—,—,—
Utah,—,—,4,—,4
Wyoming,—,—,2,—,—
Pacific,—,8,77,5,81
Alaska,—,—,2,—,—
California,—,6,49,3,68
Hawaii,—,—,6,1,8
Oregon,—,1,5,1,1
Washington,—,1,15,—,4
Territories,—,10,666,30,184
American Samoa,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—
Guam,—,—,—,—,—
Puerto Rico,—,10,620,30,184
U.S. Virgin Islands,—,—,46,—,—
