Reporting Area,Giardiasis,Gonorrhea,"Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease",Hansen's disease
Reporting Area,Giardiasis,Gonorrhea,"All ages, all serotypes",Age <5 years,Age <5 years,Age <5 years,Age <5 years,Hansen's disease
Reporting Area,Giardiasis,Gonorrhea,"All ages, all serotypes",Serotype b,Nontypeable,Unknown serotype,Non-b serotype,Hansen's disease
United States,16310,468514,4895,30,196,187,159,78
New England,1192,9460,293,1,11,—,7,—
Connecticut,277,2731,64,—,—,—,3,—
Maine,137,451,29,—,2,—,—,N
Massachusetts,589,4980,139,1,8,—,3,—
New Hampshire,103,456,23,—,—,—,1,—
Rhode Island,86,716,25,—,1,—,—,—
Vermont,N,126,13,—,—,—,—,N
Middle Atlantic,2978,51765,751,8,22,16,9,12
New Jersey,466,8162,154,—,—,10,—,3
New York (excluding New York City),995,10019,231,4,8,1,4,N
New York City,911,18981,112,—,5,—,3,7
Pennsylvania,606,14603,254,4,9,5,2,2
East North Central,1992,70085,852,5,44,7,28,—
Illinois,N,21199,232,1,8,3,9,—
Indiana,197,9451,127,2,8,2,4,—
Michigan,581,12450,185,—,11,1,5,—
Ohio,401,20487,180,2,11,1,5,—
Wisconsin,813,6498,128,—,6,—,5,—
West North Central,1640,26961,429,1,2,35,14,2
Iowa,260,2600,—,—,—,—,—,1
Kansas,103,3353,66,—,2,—,4,—
Minnesota,654,5104,124,—,—,22,—,—
Missouri,337,11479,150,—,—,8,—,1
Nebraska,124,2156,41,—,—,2,3,—
North Dakota,46,1000,28,—,—,3,4,N
South Dakota,116,1269,20,1,—,—,3,—
South Atlantic,2764,104050,1096,—,43,41,23,21
Delaware,20,1702,19,—,—,—,—,—
District of Columbia,58,3226,15,—,—,—,—,—
Florida,1128,28162,299,—,18,5,11,18
Georgia,760,20553,181,—,8,9,9,—
Maryland,233,9523,128,—,6,1,1,—
North Carolina,N,19687,177,—,—,24,—,2
South Carolina,151,9194,96,—,—,1,—,—
Virginia,317,11084,142,—,9,1,2,1
West Virginia,97,919,39,—,2,—,—,N
East South Central,234,31556,370,3,14,11,17,5
Alabama,234,8408,87,—,2,6,3,1
Kentucky,N,5812,60,2,2,3,2,1
Mississippi,N,7157,65,1,1,1,8,1
Tennessee,N,10179,158,—,9,1,4,2
West South Central,395,66560,522,3,30,16,25,19
Arkansas,178,5732,58,—,3,2,3,1
Louisiana,217,10782,63,—,5,4,4,—
Oklahoma,N,7574,84,—,5,—,6,N
Texas,N,42472,317,3,17,10,12,18
Mountain,1260,28078,381,7,19,18,24,1
Arizona,125,10330,116,4,8,2,10,—
Colorado,464,5975,78,—,—,10,—,1
Idaho,185,635,34,—,2,1,2,—
Montana,120,867,19,1,—,—,2,—
Nevada,75,4380,35,—,3,2,1,—
New Mexico,81,3516,52,2,3,1,5,—
Utah,158,2100,40,—,3,2,4,—
Wyoming,52,275,7,—,—,—,—,—
Pacific,3855,79999,201,2,11,43,12,18
Alaska,86,1454,18,1,1,—,7,1
California,2718,64551,42,—,—,42,—,2
Hawaii,41,1467,33,—,—,—,—,15
Oregon,338,4353,99,—,5,—,3,N
Washington,672,8174,9,1,5,1,2,N
Territories,25,912,6,—,—,2,—,—
American Samoa,—,—,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,133,—,—,—,—,—,—
Puerto Rico,25,744,6,—,—,2,—,—
U.S. Virgin Islands,—,35,—,—,—,—,—,—
