Reporting Area,Human immunodeficiency virus diagnoses,Influenza-associated pediatric mortality,Invasive pneumococcal disease *,Invasive pneumococcal disease *,Invasive pneumococcal disease *,Invasive pneumococcal disease *,Legionellosis,Leptospirosis
Reporting Area,Human immunodeficiency virus diagnoses,Influenza-associated pediatric mortality,All ages,All ages,Age <5 years,Age <5 years,Legionellosis,Leptospirosis
Reporting Area,Human immunodeficiency virus diagnoses,Influenza-associated pediatric mortality,Confirmed,Probable,Confirmed,Probable,Legionellosis,Leptospirosis
United States,32999,159,19619,238,1078,38,9933,91
New England,938,6,1134,8,46,2,767,1
Connecticut,208,4,252,—,9,—,198,N
Maine,26,—,132,—,4,—,34,—
Massachusetts,583,1,506,5,26,2,368,—
New Hampshire,36,—,121,1,4,—,77,—
Rhode Island,67,1,59,—,2,—,73,1
Vermont,18,—,64,2,1,—,17,—
Middle Atlantic,3938,18,2801,34,141,2,2431,13
New Jersey,842,4,573,11,27,2,369,—
New York (excluding New York City),557,1,940,6,40,—,770,N
New York City,1610,6,712,7,43,—,654,9
Pennsylvania,929,7,576,10,31,—,638,4
East North Central,3272,26,3367,56,185,8,2652,15
Illinois,1169,9,N,N,25,2,509,3
Indiana,448,7,740,—,26,—,249,—
Michigan,560,4,864,21,34,1,633,1
Ohio,888,4,1252,35,63,5,930,3
Wisconsin,207,2,511,—,37,—,331,8
West North Central,1067,10,1735,58,89,9,492,2
Iowa,117,—,N,N,N,N,63,N
Kansas,149,2,264,8,12,1,41,—
Minnesota,262,5,463,2,28,—,152,—
Missouri,422,1,662,44,30,7,150,2
Nebraska,72,1,152,2,9,1,43,—
North Dakota,33,—,90,—,4,—,10,N
South Dakota,12,1,104,2,6,—,33,—
South Atlantic,10768,33,2906,27,183,6,1742,17
Delaware,91,—,90,—,5,—,46,—
District of Columbia,175,—,77,—,2,—,57,—
Florida,4798,8,558,9,51,4,496,7
Georgia,1991,6,984,—,62,—,181,2
Maryland,908,3,479,5,16,1,361,5
North Carolina,1200,5,N,N,N,N,173,—
South Carolina,714,4,421,11,16,—,63,—
Virginia,819,5,22,1,22,1,236,3
West Virginia,72,2,275,1,9,—,129,—
East South Central,1730,19,2079,9,91,1,434,1
Alabama,339,1,448,2,29,—,76,1
Kentucky,303,5,421,2,12,1,146,—
Mississippi,453,4,291,—,17,—,41,N
Tennessee,635,9,919,5,33,—,171,N
West South Central,4826,26,2861,29,195,9,566,1
Arkansas,269,5,389,1,19,—,46,N
Louisiana,1006,3,467,6,33,3,42,1
Oklahoma,169,2,N,N,16,1,63,—
Texas,3382,16,2005,22,127,5,415,N
Mountain,1821,17,2494,17,131,1,291,2
Arizona,677,5,849,13,39,1,83,—
Colorado,395,1,647,1,21,—,110,N
Idaho,29,—,N,N,7,—,15,N
Montana,23,2,119,—,10,—,10,—
Nevada,464,3,298,1,14,—,16,—
New Mexico,100,3,296,—,12,—,22,—
Utah,122,2,245,2,22,—,33,2
Wyoming,11,1,40,—,6,—,2,—
Pacific,4639,4,242,—,17,—,558,39
Alaska,22,—,142,—,13,—,3,—
California,3799,—,N,N,N,N,453,8
Hawaii,62,—,100,—,4,—,17,22
Oregon,223,3,N,N,N,N,31,6
Washington,533,1,N,N,N,N,54,3
Territories,406,—,—,—,—,—,—,92
American Samoa,—,—,N,N,N,N,N,—
Commonwealth of Northern Mariana Islands,1,—,—,—,—,—,—,—
Guam,3,—,—,—,—,—,—,7
Puerto Rico,392,—,—,—,—,—,—,84
U.S. Virgin Islands,10,—,—,—,—,—,—,1
