Disease,<1 yr,<1 yr,1-4 yrs,1-4 yrs,5-14 yrs,5-14 yrs,15-24 yrs,15-24 yrs,25-39 yrs,25-39 yrs,40-64 yrs,40-64 yrs,≥65 yrs,≥65 yrs,Age not stated,Total
Disease,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,No.
Anthrax,—,—,—,—,—,—,—,—,1,0.00,—,—,—,—,—,1
Arboviral diseases,,,,,,,,,,,,,,,,
Chikungunya virus disease,1,0.03,2,0.01,8,0.02,9,0.02,41,0.06,45,0.04,11,0.02,—,117
Eastern equine encephalitis virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,3,0.00,3,0.01,—,6
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,4,0.01,4,0.01,10,0.01,7,0.01,—,25
Non-neuroinvasive,—,—,—,—,—,—,2,0.00,—,—,10,0.01,4,0.01,—,16
La Crosse virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,2,0.05,14,0.09,58,0.14,4,0.01,2,0.00,2,0.00,1,0.00,—,83
Non-neuroinvasive,—,—,—,—,3,0.01,—,—,—,—,—,—,—,—,—,3
Powassan virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,1,0.00,—,—,1,0.00,7,0.01,12,0.02,—,21
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
St. Louis encephalitis virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,1,0.00,4,0.01,—,5
Non-neuroinvasive,—,—,—,—,—,—,—,—,1,0.00,2,0.00,—,—,—,3
West Nile virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,3,0.02,16,0.04,48,0.11,153,0.23,642,0.62,794,1.51,—,1656
Non-neuroinvasive,1,0.03,3,0.02,11,0.03,58,0.13,206,0.31,481,0.46,229,0.44,—,989
Western equine encephalitis virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Babesiosis,,,,,,,,,,,,,,,,
Total,5,0.16,3,0.02,30,0.09,44,0.12,159,0.28,878,1.02,1041,2.39,—,2160
Confirmed,5,0.16,2,0.02,19,0.06,34,0.10,127,0.23,745,0.87,929,2.13,—,1861
Probable,—,—,1,0.01,11,0.03,10,0.03,32,0.06,133,0.15,112,0.26,—,299
Botulism,,,,,,,,,,,,,,,,
Total,157,4.08,—,—,2,0.00,3,0.01,18,0.03,37,0.04,8,0.02,—,225
Foodborne,—,—,—,—,2,0.00,1,0.00,4,0.01,5,0.00,5,0.01,—,17
Infant,157,4.08,—,—,—,—,—,—,—,—,—,—,—,—,—,157
Other (wound & unspecified),—,—,—,—,—,—,2,0.00,14,0.02,32,0.03,3,0.01,—,51
Brucellosis,—,—,1,0.01,12,0.03,11,0.03,29,0.04,52,0.05,33,0.06,—,138
Campylobacteriosis,1803,46.85,6050,37.90,5266,12.82,7695,17.91,12878,19.15,22751,21.96,13692,26.11,65,70200
Chancroid,—,—,—,—,—,—,1,0.00,1,0.00,1,0.00,—,—,—,3
Chlamydia trachomatis  infection,434,11.28,62,0.39,11049,26.90,1087277,2530.27,565787,841.18,89516,86.39,2331,4.45,2212,1758668
Cholera,1,0.03,1,0.01,1,0.00,—,—,1,0.00,7,0.01,3,0.01,—,14
Coccidioidomycosis  *,15,0.93,80,1.20,517,3.01,1367,7.64,3168,11.40,6396,15.10,4031,18.87,37,15611
Cryptosporidiosis,,,,,,,,,,,,,,,,
Total,118,3.07,1403,8.79,1360,3.31,1952,4.54,3117,4.63,3026,2.92,1550,2.96,7,12533
Confirmed,94,2.44,1078,6.75,1019,2.48,1470,3.42,2326,3.46,2122,2.05,866,1.65,5,8980
Probable,24,0.62,325,2.04,341,0.83,482,1.12,791,1.18,904,0.87,684,1.30,2,3553
Cyclosporiasis,3,0.09,9,0.06,45,0.12,257,0.67,828,1.37,1806,1.95,547,1.17,24,3519
Dengue virus infections  †,,,,,,,,,,,,,,,,
Dengue,2,0.05,1,0.01,29,0.07,45,0.10,110,0.16,183,0.18,54,0.10,—,424
Dengue-like illness,—,—,2,0.01,1,0.00,4,0.01,13,0.02,16,0.02,5,0.01,—,41
Severe dengue,—,—,—,—,—,—,2,0.00,5,0.01,2,0.00,—,—,—,9
Diphtheria,—,—,—,—,1,0.00,—,—,—,—,—,—,—,—,—,1
Ehrlichiosis and Anaplasmosis,,,,,,,,,,,,,,,,
Anaplasma phagocytophilum  infection,—,—,12,0.08,82,0.21,126,0.30,360,0.56,1747,1.75,1674,3.31,7,4008
Ehrlichia chaffeensis  infection,—,—,12,0.08,55,0.14,110,0.27,190,0.29,798,0.80,634,1.25,—,1799
Ehrlichia ewingii  infection,—,—,—,—,—,—,—,—,2,0.00,14,0.01,17,0.03,—,33
Undetermined ehrlichiosis/anaplasmosis,—,—,1,0.01,15,0.04,22,0.05,43,0.07,98,0.10,103,0.21,1,283
Giardiasis,104,3.51,1163,9.46,1380,4.36,1742,5.22,3614,6.87,5369,6.58,2166,5.15,10,15548
Gonorrhea,105,2.73,119,0.75,2794,6.80,249081,579.65,258291,384.01,70314,67.86,2332,4.45,369,583405
"Haemophilus influenzae,  invasive disease",,,,,,,,,,,,,,,,
"All ages, all serotypes",392,10.19,234,1.47,126,0.31,138,0.32,384,0.57,1510,1.46,2785,5.31,4,5573
Age <5 years,,,,,,,,,,,,,,,,
Serotype b,27,0.70,11,0.07,—,—,—,—,—,—,—,—,—,—,—,38
Non-b serotype,100,2.60,91,0.57,—,—,—,—,—,—,—,—,—,—,—,191
Nontypeable,151,3.92,71,0.44,—,—,—,—,—,—,—,—,—,—,—,222
Unknown serotype,114,2.96,61,0.38,—,—,—,—,—,—,—,—,—,—,—,175
Hansen's disease,—,—,—,—,—,—,3,0.01,11,0.02,32,0.03,25,0.05,19,90
"Hantavirus infection, non-hantavirus pulmonary syndrome",—,—,—,—,—,—,1,0.00,—,—,1,0.00,—,—,—,2
Hantavirus pulmonary syndrome,—,—,—,—,1,0.00,1,0.00,5,0.01,9,0.01,2,0.00,—,18
Hemolytic uremic syndrome post-diarrheal,9,0.24,159,1.02,95,0.24,25,0.06,20,0.03,34,0.03,33,0.06,1,376
Hepatitis  §,,,,,,,,,,,,,,,,
"A, acute",5,0.13,26,0.16,65,0.16,992,2.31,6227,9.26,4563,4.40,590,1.13,6,12474
"B, acute",3,0.08,—,—,1,0.00,105,0.25,1034,1.55,1937,1.88,240,0.46,2,3322
"B, perinatal infection",18,0.47,5,0.13,—,—,—,—,—,—,—,—,—,—,—,23
"C, acute",8,0.22,1,0.01,4,0.01,686,1.69,2544,3.99,1333,1.35,181,0.36,11,4768
Confirmed,6,0.16,—,—,3,0.01,558,1.37,1893,2.97,1004,1.02,151,0.30,6,3621
Probable,2,0.05,1,0.01,1,0.00,128,0.31,651,1.02,329,0.33,30,0.06,5,1147
"C, perinatal infection",95,2.76,117,0.82,—,—,—,—,—,—,—,—,—,—,2,214
Human immunodeficiency virus diagnoses,39,1.01,13,0.08,51,0.12,6609,15.38,15436,22.95,10065,9.71,786,1.50,—,32999
Influenza-associated pediatric mortality,20,0.52,48,0.30,74,0.18,17,0.14,—,—,—,—,—,—,—,159
Invasive pneumococcal disease  ¶,,,,,,,,,,,,,,,,
