Reporting Area,Brucellosis,Campylobacteriosis,Chancroid,Chlamydia trachomatis  infection,Cholera,Coccidioidomycosis *,Cryptosporidiosis,Cryptosporidiosis,Cryptosporidiosis
Reporting Area,Brucellosis,Campylobacteriosis,Chancroid,Chlamydia trachomatis  infection,Cholera,Coccidioidomycosis *,Total,Confirmed,Probable
United States,127,60120,7,1598354,15,11829,13453,8637,4816
New England,2,2928,1,54967,2,4,457,395,62
Connecticut,2,652,—,13911,—,N,63,63,—
Maine,—,255,—,4156,—,N,55,49,6
Massachusetts,—,1369,1,26807,2,N,198,197,1
New Hampshire,—,222,—,3467,—,3,53,39,14
Rhode Island,—,215,—,4936,—,1,18,15,3
Vermont,—,215,—,1690,—,N,70,32,38
Middle Atlantic,10,7820,—,200882,3,—,1200,918,282
New Jersey,1,1907,—,34519,—,N,198,113,85
New York (excluding New York City),5,1881,—,42801,1,N,342,334,8
New York City,2,1691,—,66632,2,N,193,193,—
Pennsylvania,2,2341,—,56930,—,N,467,278,189
East North Central,11,8324,—,236374,—,67,3797,2130,1667
Illinois,3,2001,—,72201,—,N,335,180,155
Indiana,—,1043,—,30847,—,1,213,132,81
Michigan,2,1631,—,45936,—,32,434,350,84
Ohio,3,2011,—,60496,—,21,1941,1096,845
Wisconsin,3,1638,—,26894,—,13,874,372,502
West North Central,11,5944,—,94654,1,98,2223,1447,776
Iowa,1,1053,—,12983,—,N,753,384,369
Kansas,2,767,—,12160,—,N,133,100,33
Minnesota,4,1515,—,22685,1,62,464,416,48
Missouri,1,1371,—,30843,—,20,420,279,141
Nebraska,2,599,—,8197,—,5,258,207,51
North Dakota,1,192,—,3455,—,6,37,24,13
South Dakota,—,447,—,4331,—,5,158,37,121
South Atlantic,5,9120,2,331496,5,8,1800,1155,645
Delaware,—,172,—,5365,—,2,24,14,10
District of Columbia,—,65,—,7283,—,—,21,20,1
Florida,2,3262,—,94742,—,N,582,217,365
Georgia,—,968,—,62776,1,N,364,364,—
Maryland,—,821,—,30658,2,6,117,70,47
North Carolina,—,1458,1,58006,—,N,293,251,42
South Carolina,2,398,1,28179,—,N,111,80,31
Virginia,—,1580,—,39666,1,N,244,109,135
West Virginia,1,396,—,4821,1,N,44,30,14
East South Central,2,2484,1,97603,—,1,687,378,309
Alabama,—,692,1,26901,—,N,334,141,193
Kentucky,—,779,—,18286,—,1,139,84,55
Mississippi,1,268,—,20112,—,N,47,47,—
Tennessee,1,745,—,32304,—,N,167,106,61
West South Central,53,6938,—,212865,—,15,1163,816,347
Arkansas,3,528,—,16737,—,1,76,73,3
Louisiana,2,580,—,31727,—,14,129,48,81
Oklahoma,5,1163,—,21449,—,N,223,167,56
Texas,43,4667,—,142952,—,N,735,528,207
Mountain,7,4571,1,110079,1,6266,1219,825,394
Arizona,1,1241,—,34923,—,6101,549,405,144
Colorado,—,1101,1,25569,1,N,206,128,78
Idaho,3,456,—,5897,—,N,123,105,18
Montana,—,373,—,4416,—,13,62,60,2
Nevada,2,208,—,14649,—,87,15,8,7
New Mexico,1,527,—,13108,—,24,74,66,8
Utah,—,502,—,9457,—,40,169,32,137
Wyoming,—,163,—,2060,—,1,21,21,—
Pacific,26,11991,2,259434,3,5370,907,573,334
Alaska,2,117,—,5698,—,N,10,5,5
California,20,8465,2,198155,1,5358,429,400,29
Hawaii,3,508,—,6902,2,N,12,7,5
Oregon,1,990,—,17425,—,12,325,62,263
Washington,—,1911,—,31254,—,N,131,99,32
Territories,—,52,—,8703,—,—,1,1,—
American Samoa,—,—,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—,—
Guam,—,8,—,934,—,—,—,—,—
Puerto Rico,—,44,—,7198,—,N,1,1,—
U.S. Virgin Islands,—,—,—,571,—,—,—,—,—
