Reporting Area,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease,Mumps,Novel Influenza A virus infections
Reporting Area,All serogroups,Serogroups ACWY,Serogroup B,Other serogroups,Unknown serogroup,Mumps,Novel Influenza A virus infections
United States,375,126,86,21,142,6369,23
New England,18,10,5,2,1,336,—
Connecticut,6,2,3,1,—,36,—
Maine,1,—,—,1,—,34,—
Massachusetts,11,8,2,—,1,254,—
New Hampshire,—,—,—,—,—,11,—
Rhode Island,—,—,—,—,—,1,—
Vermont,—,—,—,—,—,—,—
Middle Atlantic,36,10,8,3,15,443,—
New Jersey,8,—,—,—,8,42,—
New York (excluding New York City),11,4,5,2,—,214,—
New York City,10,6,2,1,1,172,—
Pennsylvania,7,—,1,—,6,15,—
East North Central,45,18,23,1,3,767,20
Illinois,18,10,7,—,1,333,—
Indiana,8,3,5,—,—,293,1
Michigan,6,2,2,—,2,20,12
Ohio,7,2,5,—,—,73,6
Wisconsin,6,1,4,1,—,48,1
West North Central,21,6,1,3,11,1168,3
Iowa,3,2,—,1,—,732,1
Kansas,5,3,—,1,1,17,—
Minnesota,5,—,—,—,5,24,2
Missouri,4,—,—,—,4,334,—
Nebraska,3,1,1,1,—,49,—
North Dakota,—,—,—,—,—,10,—
South Dakota,1,—,—,—,1,2,—
South Atlantic,58,25,17,1,15,102,—
Delaware,—,—,—,—,—,—,—
District of Columbia,—,—,—,—,—,13,—
Florida,18,10,5,—,3,16,—
Georgia,14,11,2,—,1,4,—
Maryland,2,1,1,—,—,10,—
North Carolina,4,—,2,—,2,35,—
South Carolina,6,—,—,—,6,4,—
Virginia,10,3,3,1,3,17,—
West Virginia,4,—,4,—,—,3,—
East South Central,15,3,6,—,6,105,—
Alabama,5,—,1,—,4,4,—
Kentucky,2,1,—,—,1,94,—
Mississippi,—,—,—,—,—,1,—
Tennessee,8,2,5,—,1,6,—
West South Central,33,20,7,4,2,3108,—
Arkansas,2,1,1,—,—,2411,—
Louisiana,3,2,—,1,—,1,—
Oklahoma,5,2,1,2,—,505,—
Texas,23,15,5,1,2,191,—
Mountain,24,8,5,5,6,60,—
Arizona,3,—,1,2,—,7,—
Colorado,4,—,—,—,4,17,—
Idaho,3,1,1,—,1,1,—
Montana,2,2,—,—,—,26,—
Nevada,7,4,—,3,—,5,—
New Mexico,2,1,—,—,1,2,—
Utah,3,—,3,—,—,2,—
Wyoming,—,—,—,—,—,—,—
Pacific,125,26,14,2,83,280,—
Alaska,7,5,1,—,1,2,—
California,80,—,—,—,80,93,—
Hawaii,1,—,—,1,—,6,—
Oregon,24,13,10,—,1,27,—
Washington,13,8,3,1,1,152,—
Territories,—,—,—,—,—,2,—
American Samoa,—,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—
Puerto Rico,—,—,—,—,—,2,—
U.S. Virgin Islands,—,—,—,—,—,—,—
