Reporting Area,Brucellosis,Campylobacteriosis,"Candida auris  , clinical  §",Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,Chancroid,Chlamydia trachomatis  infection
"U.S. Residents, excluding U.S. Territories",165,71509,175,1483,8,1808703
New England,2,3493,—,15,3,61914
Connecticut,—,734,—,—,—,15290
Maine,—,191,—,—,—,3989
Massachusetts,2,1732,—,—,3,31622
New Hampshire,—,302,—,—,—,3577
Rhode Island,—,355,—,15,—,5718
Vermont,—,179,—,—,—,1718
Middle Atlantic,16,10132,—,61,—,223907
New Jersey,1,1996,—,—,—,37591
New York (excluding New York City),3,2488,—,—,—,48696
New York City,5,2908,—,61,—,75926
Pennsylvania,7,2740,—,—,—,61694
East North Central,8,9331,170,462,—,261019
Illinois,5,2541,170,—,—,81012
Indiana,1,1065,—,271,—,35430
Michigan,1,1651,—,162,—,50104
Ohio,—,2442,—,—,—,65393
Wisconsin,1,1632,—,29,—,29080
West North Central,9,6593,—,8,—,107934
Iowa,2,1391,—,—,—,16044
Kansas,—,790,—,—,—,15286
Minnesota,4,1492,—,—,—,24470
Missouri,1,1348,—,—,—,34416
Nebraska,2,811,—,—,—,9291
North Dakota,—,237,—,—,—,3880
South Dakota,—,524,—,8,—,4547
South Atlantic,27,11754,5,730,1,391469
Delaware,5,208,—,—,—,5864
District of Columbia,1,133,—,—,—,9327
Florida,8,4525,N,N,—,110794
Georgia,5,1380,1,262,—,67720
Maryland,2,892,3,—,1,37779
North Carolina,1,1997,1,249,—,70257
South Carolina,2,553,—,—,—,35950
Virginia,3,1641,—,219,—,48169
West Virginia,—,425,—,—,—,5609
East South Central,6,3403,—,71,2,118531
Alabama,4,750,N,N,—,31228
Kentucky,—,1127,—,—,2,20911
Mississippi,—,601,—,71,—,25303
Tennessee,2,925,—,—,—,41089
West South Central,54,7959,—,—,—,205920
Arkansas,3,719,—,—,—,17196
Louisiana,5,871,—,—,—,36131
Oklahoma,2,1191,—,—,—,23518
Texas,44,5178,—,—,—,129075
Mountain,10,5525,—,100,1,129869
Arizona,2,1615,—,77,1,43058
Colorado,2,1245,—,—,—,29821
Idaho,2,551,—,—,—,6863
Montana,—,372,—,—,—,4753
Nevada,2,237,—,9,—,17827
New Mexico,1,688,—,—,—,14283
Utah,1,581,—,12,—,11075
Wyoming,—,236,—,2,—,2189
Pacific,33,13319,—,36,1,308140
Alaska,1,129,—,—,—,6254
California,23,9790,—,4,1,236719
Hawaii,6,401,—,2,—,8093
Oregon,—,1020,—,—,—,19279
Washington,3,1979,—,30,—,37795
Territories,1,46,3,49,—,6918
American Samoa,—,—,—,—,—,81
Commonwealth of Northern Mariana Islands,—,—,—,—,—,249
Guam,1,13,3,—,—,1234
Puerto Rico,—,33,—,49,—,4817
U.S. Virgin Islands,—,—,—,—,—,537
