Reporting Area,Listeriosis,Lyme disease,Lyme disease,Lyme disease,Malaria,Measles,Measles,Measles
Reporting Area,Listeriosis,Total,Confirmed,Probable,Malaria,Total,Indigenous,Imported
United States,887,42743,29513,13230,2056,120,99,21
New England,74,7916,5323,2593,157,1,—,1
Connecticut,20,2051,1381,670,20,—,—,—
Maine,5,1850,1424,426,18,1,—,1
Massachusetts,36,410,321,89,95,—,—,—
New Hampshire,4,1381,956,425,8,—,—,—
Rhode Island,7,1132,595,537,13,—,—,—
Vermont,2,1092,646,446,3,—,—,—
Middle Atlantic,173,22147,16381,5766,521,11,3,8
New Jersey,31,5092,3629,1463,125,3,—,3
New York (excluding New York City),49,4072,2906,1166,67,2,1,1
New York City,50,1083,596,487,226,2,1,1
Pennsylvania,43,11900,9250,2650,103,4,1,3
East North Central,110,3976,2533,1443,195,3,1,2
Illinois,25,273,218,55,60,—,—,—
Indiana,17,142,92,50,18,—,—,—
Michigan,29,291,196,95,44,2,1,1
Ohio,28,270,233,37,63,1,—,1
Wisconsin,11,3000,1794,1206,10,—,—,—
West North Central,34,2707,1557,1150,156,78,75,3
Iowa,3,255,112,143,19,—,—,—
Kansas,3,40,13,27,17,2,—,2
Minnesota,15,2318,1408,910,67,75,75,—
Missouri,7,12,2,10,27,—,—,—
Nebraska,3,14,6,8,7,1,—,1
North Dakota,1,56,12,44,11,—,—,—
South Dakota,2,12,4,8,8,—,—,—
South Atlantic,192,5422,3436,1986,544,5,4,1
Delaware,3,608,421,187,10,—,—,—
District of Columbia,3,84,62,22,20,1,1,—
Florida,54,210,124,86,58,3,3,—
Georgia,34,8,8,—,77,—,—,—
Maryland,27,1891,1194,697,238,1,—,1
North Carolina,22,295,70,225,47,—,—,—
South Carolina,14,21,13,8,—,—,—,—
Virginia,26,1657,1041,616,92,—,—,—
West Virginia,9,648,503,145,2,—,—,—
East South Central,34,109,47,62,40,—,—,—
Alabama,5,41,25,16,8,—,—,—
Kentucky,9,20,6,14,11,—,—,—
Mississippi,7,1,1,—,6,—,—,—
Tennessee,13,47,15,32,15,—,—,—
West South Central,68,77,41,36,175,1,—,1
Arkansas,9,6,2,4,3,—,—,—
Louisiana,8,12,8,4,9,—,—,—
Oklahoma,9,1,—,1,11,—,—,—
Texas,42,58,31,27,152,1,—,1
Mountain,34,113,64,49,81,3,2,1
Arizona,8,28,18,10,26,—,—,—
Colorado,11,4,4,—,32,—,—,—
Idaho,2,20,15,5,5,—,—,—
Montana,2,12,4,8,3,—,—,—
Nevada,3,17,7,10,6,—,—,—
New Mexico,2,3,3,—,1,—,—,—
Utah,6,25,10,15,8,3,2,1
Wyoming,—,4,3,1,—,—,—,—
Pacific,168,276,131,145,187,18,14,4
Alaska,3,10,8,2,5,—,—,—
California,128,145,84,61,132,15,13,2
Hawaii,4,N,N,N,3,—,—,—
Oregon,16,84,13,71,13,—,—,—
Washington,17,37,26,11,34,3,1,2
Territories,2,—,—,—,—,—,—,—
American Samoa,N,N,N,N,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—
Puerto Rico,2,N,N,N,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
