Reporting Area,Giardiasis,Gonorrhea,"Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease",Hansen's disease
Reporting Area,Giardiasis,Gonorrhea,"All ages, all serotypes",Age <5 years,Age <5 years,Age <5 years,Age <5 years,Hansen's disease
Reporting Area,Giardiasis,Gonorrhea,"All ages, all serotypes",Serotype b,Non-b serotype,Nontypeable,Unknown serotype,Hansen's disease
"U.S. Residents, excluding U.S. Territories",14860,616392,6143,18,213,200,254,77
New England,1037,14462,292,—,2,7,2,1
Connecticut,188,4418,57,—,2,—,—,—
Maine,142,547,38,—,—,2,—,N
Massachusetts,532,7396,119,—,—,3,1,—
New Hampshire,96,410,35,—,—,1,—,1
Rhode Island,79,1516,24,—,—,1,—,—
Vermont,N,175,19,—,—,—,1,N
Middle Atlantic,3188,66582,857,4,20,10,36,4
New Jersey,436,9622,156,—,—,—,13,1
New York (excluding New York City),1018,12020,255,2,3,10,1,N
New York City,1201,28881,141,2,17,—,1,3
Pennsylvania,533,16059,305,—,—,—,21,—
East North Central,1681,94259,1166,6,41,52,10,1
Illinois,N,29272,285,—,6,13,2,—
Indiana,196,11926,183,1,9,10,2,1
Michigan,423,18150,220,—,11,6,1,—
Ohio,424,26065,353,3,10,13,5,—
Wisconsin,638,8846,125,2,5,10,—,—
West North Central,1435,40439,474,—,8,—,47,4
Iowa,269,5309,2,—,—,—,1,—
Kansas,134,4948,70,—,4,—,2,1
Minnesota,574,8013,121,—,—,—,16,2
Missouri,223,15585,191,—,—,—,17,1
Nebraska,94,2967,42,—,4,—,—,—
North Dakota,49,1447,18,—,—,—,6,N
South Dakota,92,2170,30,—,—,—,5,—
South Atlantic,2410,131806,1362,1,22,47,60,32
Delaware,35,1617,35,—,—,—,5,1
District of Columbia,75,4382,17,—,—,—,—,—
Florida,1088,36804,367,—,7,20,21,26
Georgia,480,21257,250,—,6,—,19,3
Maryland,174,11598,136,1,—,6,1,—
North Carolina,N,26377,234,—,6,13,1,1
South Carolina,156,14160,121,—,—,—,10,—
Virginia,300,13840,160,—,1,6,3,1
West Virginia,102,1771,42,—,2,2,—,N
East South Central,160,49965,506,2,31,12,12,4
Alabama,160,14492,132,—,9,4,3,1
Kentucky,N,7379,111,1,6,1,3,—
Mississippi,N,12068,73,1,9,3,4,2
Tennessee,N,16026,190,—,7,4,2,1
West South Central,388,74428,758,2,41,42,14,9
Arkansas,132,6907,111,—,5,7,2,—
Louisiana,256,12800,85,—,5,2,3,1
Oklahoma,N,10491,110,—,7,6,1,N
Texas,N,44230,452,2,24,27,8,8
Mountain,1266,42577,505,2,35,21,6,1
Arizona,143,15180,170,1,13,6,2,—
Colorado,492,9572,115,—,3,7,—,—
Idaho,177,1491,37,—,2,—,1,—
Montana,79,1595,27,—,2,—,—,—
Nevada,85,6519,40,1,—,1,—,—
New Mexico,67,4886,50,—,5,1,1,—
Utah,194,2886,56,—,9,6,1,1
Wyoming,29,448,10,—,1,—,1,—
Pacific,3295,101874,223,1,13,9,67,21
Alaska,76,2213,32,1,10,2,—,1
California,2603,80301,46,—,—,—,46,5
Hawaii,44,1494,35,—,—,—,5,15
Oregon,284,6130,94,—,3,7,—,N
Washington,288,11736,16,—,—,—,16,N
Territories,48,881,7,—,—,—,—,—
American Samoa,—,9,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,21,—,—,—,—,—,—
Guam,1,305,7,—,—,—,—,—
Puerto Rico,47,499,—,—,—,—,—,—
U.S. Virgin Islands,—,47,—,—,—,—,—,—
