Reporting Area,Rabies,Rabies,Rubella,"Rubella, congenital syndrome",Salmonella  Paratyphi infection  §,Salmonella  Typhi infection  ¶
Reporting Area,Animal,Human,Rubella,"Rubella, congenital syndrome",Salmonella  Paratyphi infection  §,Salmonella  Typhi infection  ¶
"U.S. Residents, excluding U.S. Territories",4645,—,6,1,155,409
New England,361,—,—,—,20,27
Connecticut,41,—,—,—,8,9
Maine,109,—,—,—,1,1
Massachusetts,131,—,—,—,10,11
New Hampshire,34,—,—,—,—,5
Rhode Island,30,—,—,—,1,1
Vermont,16,—,—,—,—,—
Middle Atlantic,913,—,1,—,39,110
New Jersey,249,—,—,—,8,33
New York (excluding New York City),391,—,—,—,8,32
New York City,24,—,1,—,16,36
Pennsylvania,249,—,—,—,7,9
East North Central,203,—,—,—,18,56
Illinois,54,—,—,—,6,31
Indiana,10,—,—,—,5,8
Michigan,59,—,—,—,4,10
Ohio,42,—,—,—,3,6
Wisconsin,38,—,—,—,—,1
West North Central,165,—,1,—,1,18
Iowa,8,—,—,—,—,2
Kansas,55,—,—,—,—,—
Minnesota,36,—,—,—,1,10
Missouri,24,—,1,—,—,4
Nebraska,21,—,—,—,—,2
North Dakota,5,—,—,—,—,—
South Dakota,16,—,—,—,—,—
South Atlantic,1568,—,—,—,32,90
Delaware,9,—,—,—,—,—
District of Columbia,9,—,—,—,1,—
Florida,129,—,—,—,6,28
Georgia,222,—,—,—,9,—
Maryland,269,—,—,—,3,21
North Carolina,315,—,—,—,—,12
South Carolina,148,—,—,—,—,2
Virginia,385,—,—,—,12,27
West Virginia,82,—,—,—,1,—
East South Central,89,—,—,—,5,5
Alabama,50,—,—,—,—,—
Kentucky,13,—,—,—,4,1
Mississippi,3,—,—,—,—,—
Tennessee,23,—,—,—,1,4
West South Central,623,—,—,1,20,41
Arkansas,26,—,—,—,8,4
Louisiana,8,—,—,—,1,—
Oklahoma,24,—,—,1,—,1
Texas,565,—,—,—,11,36
Mountain,417,—,1,—,9,29
Arizona,138,—,—,—,1,7
Colorado,163,—,—,—,3,8
Idaho,15,—,—,—,2,1
Montana,18,—,—,—,—,—
Nevada,20,—,—,—,1,6
New Mexico,27,—,1,—,—,—
Utah,12,—,—,—,—,7
Wyoming,24,—,—,—,2,—
Pacific,306,—,3,—,11,33
Alaska,12,—,—,—,1,1
California,276,—,3,—,—,—
Hawaii,—,—,—,—,—,2
Oregon,9,—,—,—,1,4
Washington,9,—,—,—,9,26
Territories,45,—,6,—,4,—
American Samoa,—,U,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—
Guam,—,—,—,—,—,—
Puerto Rico,45,—,6,—,4,—
U.S. Virgin Islands,—,—,—,—,—,—
