Disease,<1 yr,<1 yr,1-4 yrs,1-4 yrs,5-14 yrs,5-14 yrs,15-24 yrs,15-24 yrs,25-39 yrs,25-39 yrs,40-64 yrs,40-64 yrs,≥65 yrs,≥65 yrs,Age not stated,Total
Disease,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,No.
Anthrax,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Arboviral diseases,,,,,,,,,,,,,,,,
Chikungunya virus disease,—,—,—,—,6,0.01,13,0.03,37,0.06,83,0.08,17,0.03,—,156
Eastern equine encephalitis virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,1,0.00,1,0.00,3,0.00,—,—,—,5
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,3,0.01,4,0.01,6,0.01,26,0.02,19,0.04,—,58
Non-neuroinvasive,—,—,—,—,—,—,1,0.00,3,0.00,7,0.01,6,0.01,—,17
La Crosse virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,3,0.08,7,0.04,41,0.10,5,0.01,3,0.00,1,0.00,3,0.01,—,63
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Powassan virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,4,0.01,1,0.00,1,0.00,12,0.01,15,0.03,—,33
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,1,0.00,—,1
St. Louis encephalitis virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,1,0.00,4,0.00,1,0.00,—,6
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,4,0.00,1,0.00,—,5
West Nile virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,2,0.01,15,0.04,35,0.08,127,0.19,621,0.60,625,1.23,—,1425
Non-neuroinvasive,—,—,4,0.03,7,0.02,41,0.09,145,0.22,325,0.31,150,0.29,—,672
Western equine encephalitis virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Babesiosis,,,,,,,,,,,,,,,,
Total,1,0.03,4,0.03,54,0.17,48,0.14,149,0.29,969,1.20,1132,2.88,11,2368
Confirmed,1,0.03,2,0.02,35,0.11,36,0.11,124,0.24,793,0.98,995,2.53,8,1994
Probable,—,—,2,0.02,19,0.06,12,0.04,25,0.05,176,0.22,137,0.35,3,374
Botulism,,,,,,,,,,,,,,,,
Total,131,3.33,4,0.03,2,0.00,3,0.01,11,0.02,17,0.02,6,0.01,3,177
Foodborne,1,0.03,—,—,1,0.00,3,0.01,4,0.01,6,0.01,4,0.01,—,19
Infant  *,130,3.30,4,—,—,—,—,—,—,—,—,—,—,—,3,137
Other (wound & unspecified),—,—,—,—,1,0.00,—,—,7,0.01,11,0.01,2,0.00,—,21
Brucellosis,—,—,2,0.01,7,0.02,15,0.03,36,0.05,48,0.05,32,0.06,—,140
Campylobacteriosis,1936,49.15,6328,39.55,5270,12.83,7461,17.25,12027,18.07,21445,20.62,12931,25.43,139,67537
Chancroid,—,—,—,—,—,—,3,0.01,3,0.00,1,0.00,—,—,—,7
Chlamydia trachomatis  infection,420,10.66,93,0.58,10893,26.51,1069111,2471.92,540510,811.89,83917,80.68,2178,4.28,1447,1708569
Cholera,—,—,—,—,—,—,1,0.00,3,0.00,4,0.00,2,0.00,—,10
Coccidioidomycosis  †,7,0.44,70,1.07,520,3.10,1200,6.81,2734,10.15,6101,14.64,3725,18.39,7,14364
Cryptosporidiosis,,,,,,,,,,,,,,,,
Total,130,3.30,1246,7.79,1306,3.18,1822,4.21,2870,4.31,2680,2.58,1319,2.59,41,11414
Confirmed,97,2.46,978,6.11,955,2.32,1343,3.11,2081,3.13,1834,1.76,728,1.43,27,8043
Probable,33,0.84,268,1.68,351,0.85,479,1.11,789,1.19,846,0.81,591,1.16,14,3371
Cyclosporiasis,—,—,9,0.06,17,0.05,90,0.23,278,0.46,546,0.58,222,0.48,32,1194
Dengue virus infections  §,,,,,,,,,,,,,,,,
Dengue,1,0.03,2,0.01,33,0.08,57,0.13,139,0.21,169,0.16,36,0.07,—,437
Dengue-like illness,—,—,—,—,1,0.00,2,0.00,1,0.00,4,0.00,—,—,—,8
Severe dengue,—,—,—,—,—,—,1,0.00,4,0.01,4,0.00,—,—,—,9
Diphtheria,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ehrlichiosis and Anaplasmosis,,,,,,,,,,,,,,,,
Anaplasma phagocytophilum  infection,—,—,24,0.16,147,0.37,156,0.37,479,0.75,2455,2.44,2483,5.05,18,5762
Ehrlichia chaffeensis  infection,—,—,11,0.07,44,0.11,99,0.24,195,0.30,720,0.72,569,1.16,4,1642
Ehrlichia ewingii  infection,—,—,—,—,—,—,1,0.00,2,0.00,25,0.03,17,0.04,—,45
Undetermined ehrlichiosis/anaplasmosis,—,—,3,0.02,8,0.02,25,0.06,40,0.06,114,0.11,76,0.16,3,269
Giardiasis,113,3.73,1388,11.26,1557,4.92,1792,5.32,3378,6.49,5040,6.15,1883,4.61,42,15193
Gonorrhea,90,2.28,113,0.71,2835,6.90,248470,574.49,237275,356.40,64403,61.92,2063,4.06,359,555608
"Haemophilus influenzae,  invasive disease",,,,,,,,,,,,,,,,
"All ages, all serotypes",363,9.21,262,1.64,116,0.28,137,0.32,354,0.53,1456,1.40,2852,5.61,8,5548
Age <5 years  ¶,,,,,,,,,,,,,,,,
Serotype b,17,0.43,16,0.10,—,—,—,—,—,—,—,—,—,—,—,33
Non-b serotype,92,2.34,97,0.61,—,—,—,—,—,—,—,—,—,—,—,189
Nontypeable,140,3.55,60,0.38,—,—,—,—,—,—,—,—,—,—,—,200
Unknown serotype,114,2.89,89,0.56,—,—,—,—,—,—,—,—,—,—,—,203
Hansen's disease,—,—,—,—,1,0.00,4,0.01,16,0.03,32,0.03,23,0.05,18,94
"Hantavirus infection, non-hantavirus pulmonary syndrome",—,—,—,—,—,—,1,0.00,1,0.00,—,—,—,—,—,2
Hantavirus pulmonary syndrome,—,—,—,—,—,—,1,0.00,10,0.02,15,0.01,7,0.01,—,33
Hemolytic uremic syndrome post-diarrheal,6,0.16,156,1.00,90,0.22,39,0.09,7,0.01,20,0.02,18,0.04,2,338
Hepatitis  **,,,,,,,,,,,,,,,,
"A, acute",1,0.03,19,0.12,44,0.11,255,0.59,1358,2.04,1345,1.29,338,0.66,5,3365
"B, acute",—,—,2,0.01,—,—,99,0.23,1183,1.79,1881,1.82,242,0.48,2,3409
"B, perinatal infection  ††",22,0.56,8,0.20,—,—,—,—,—,—,—,—,—,—,1,31
"C, acute",13,0.35,21,0.14,2,0.01,669,1.63,2234,3.52,1149,1.16,105,0.22,32,4225
Confirmed,11,0.29,18,0.12,1,0.00,514,1.25,1681,2.65,874,0.88,84,0.17,30,3213
Probable,2,0.05,3,0.02,1,0.00,155,0.38,553,0.87,275,0.28,21,0.04,2,1012
Human immunodeficiency virus diagnoses,32,0.81,15,0.09,49,0.12,7040,16.28,15561,23.37,10459,10.06,782,1.54,—,33938
Influenza-associated pediatric mortality  §§,16,0.41,31,0.19,64,0.16,15,0.12,—,—,—,—,—,—,—,126
Invasive pneumococcal disease  ¶¶,,,,,,,,,,,,,,,,
All ages,435,14.87,733,6.17,500,1.64,325,1.01,1491,3.05,8007,10.30,8062,20.91,227,19780
Confirmed,432,14.76,724,6.09,490,1.61,322,1.00,1481,3.03,7942,10.22,8002,20.75,227,19620
Probable,3,0.10,9,0.08,10,0.03,3,0.01,10,0.02,65,0.08,60,0.16,—,160
Age <5 years  ¶,454,14.39,780,6.09,—,—,—,—,—,—,—,—,—,—,—,1234
Confirmed,450,14.27,770,6.01,—,—,—,—,—,—,—,—,—,—,—,1220
Probable,4,0.13,10,0.08,—,—,—,—,—,—,—,—,—,—,—,14
Legionellosis,1,0.03,4,0.03,2,0.00,55,0.13,529,0.79,3453,3.32,3412,6.71,2,7458
Leptospirosis,—,—,—,—,2,0.01,8,0.02,19,0.04,32,0.04,11,0.03,—,72
Listeriosis,37,0.94,3,0.02,8,0.02,23,0.05,86,0.13,221,0.21,504,0.99,5,887
Lyme disease,,,,,,,,,,,,,,,,
Total,24,0.61,1580,9.92,6489,15.86,3801,8.82,5570,8.40,15005,14.49,9396,18.57,878,42743
Confirmed,21,0.54,1309,8.22,4816,11.77,2500,5.80,3724,5.62,10463,10.10,6034,11.92,646,29513
Probable,3,0.08,271,1.70,1673,4.09,1301,3.02,1846,2.79,4542,4.39,3362,6.64,232,13230
Malaria,6,0.15,61,0.38,214,0.52,309,0.71,556,0.84,772,0.74,137,0.27,1,2056
Measles,,,,,,,,,,,,,,,,
Total,11,0.28,58,0.36,20,0.05,11,0.03,8,0.01,11,0.01,1,0.00,—,120
Indigenous,7,0.18,55,0.34,18,0.04,7,0.02,5,0.01,6,0.01,1,0.00,—,99
Imported,4,0.10,3,0.02,2,0.00,4,0.01,3,0.00,5,0.00,—,—,—,21
Meningococcal disease,,,,,,,,,,,,,,,,
All serogroups,26,0.66,20,0.13,23,0.06,75,0.17,53,0.08,81,0.08,75,0.15,—,353
Serogroups ACWY,4,0.10,3,0.02,3,0.01,7,0.02,20,0.03,38,0.04,32,0.06,—,107
Serogroup B,12,0.30,6,0.04,7,0.02,37,0.09,6,0.01,11,0.01,11,0.02,—,90
Other serogroups,—,—,2,0.01,2,0.00,8,0.02,7,0.01,1,0.00,5,0.01,—,25
Unknown serogroup,10,0.25,9,0.06,11,0.03,23,0.05,20,0.03,31,0.03,27,0.05,—,131
Mumps,13,0.33,184,1.15,1083,2.64,2471,5.71,1424,2.14,831,0.80,94,0.18,9,6109
Novel Influenza A virus infections,1,0.03,8,0.05,9,0.02,1,0.00,—,—,1,0.00,—,—,46,66
Pertussis,2237,56.79,2779,17.37,6015,14.64,4204,9.72,1035,1.55,1924,1.85,739,1.45,42,18975
Plague,—,—,—,—,—,—,—,—,—,—,3,0.00,2,0.00,—,5
"Poliomyelitis, paralytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Psittacosis,—,—,—,—,1,0.00,—,—,1,0.00,2,0.00,1,0.00,—,5
Q fever,,,,,,,,,,,,,,,,
Total,—,—,—,—,3,0.01,4,0.01,25,0.04,103,0.10,58,0.11,—,193
Acute,—,—,—,—,3,0.01,3,0.01,21,0.03,83,0.08,43,0.08,—,153
Chronic,—,—,—,—,—,—,1,0.00,4,0.01,20,0.02,15,0.03,—,40
Rabies,,,,,,,,,,,,,,,,
Human,—,—,—,—,—,—,—,—,—,—,1,0.00,1,0.00,—,2
Rubella,—,—,1,0.01,—,—,2,0.00,1,0.00,2,0.00,1,0.00,—,7
"Rubella, congenital syndrome  *",5,0.13,—,—,—,—,—,—,—,—,—,—,—,—,—,5
