Reporting Area,Anthrax,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases
Reporting Area,Anthrax,Chikungunya virus disease,Eastern equine encephalitis virus disease,Eastern equine encephalitis virus disease,Jamestown Canyon virus disease,Jamestown Canyon virus disease
Reporting Area,Anthrax,Chikungunya virus disease,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive
"U.S. Residents, excluding U.S. Territories",1,192,38,—,25,20
New England,—,7,19,—,6,1
Connecticut,—,—,4,—,—,—
Maine,—,—,—,—,—,—
Massachusetts,—,5,12,—,3,1
New Hampshire,—,—,—,—,3,—
Rhode Island,—,1,3,—,—,—
Vermont,—,1,—,—,—,—
Middle Atlantic,—,31,4,—,—,—
New Jersey,—,15,4,—,—,—
New York (excluding New York City),—,8,—,—,—,—
New York City,—,7,—,—,—,—
Pennsylvania,—,1,—,—,—,—
East North Central,—,28,11,—,8,9
Illinois,—,10,—,—,1,—
Indiana,—,—,1,—,—,—
Michigan,—,1,10,—,1,—
Ohio,—,14,—,—,—,—
Wisconsin,—,3,—,—,6,9
West North Central,—,22,—,—,11,10
Iowa,—,2,—,—,—,—
Kansas,—,—,—,—,—,—
Minnesota,—,18,—,—,11,10
Missouri,—,1,—,—,—,—
Nebraska,—,1,—,—,—,—
North Dakota,—,—,—,—,—,—
South Dakota,—,—,—,—,—,—
South Atlantic,—,28,2,—,—,—
Delaware,—,—,—,—,—,—
District of Columbia,—,—,—,—,—,—
Florida,—,6,—,—,—,—
Georgia,—,1,1,—,—,—
Maryland,—,1,—,—,—,—
North Carolina,—,8,1,—,—,—
South Carolina,—,2,—,—,—,—
Virginia,—,10,—,—,—,—
West Virginia,—,—,—,—,—,—
East South Central,—,4,2,—,—,—
Alabama,—,—,1,—,—,—
Kentucky,—,1,—,—,—,—
Mississippi,—,—,—,—,—,—
Tennessee,—,3,1,—,—,—
West South Central,1,19,—,—,—,—
Arkansas,—,—,—,—,—,—
Louisiana,—,—,—,—,—,—
Oklahoma,—,—,—,—,—,—
Texas,1,19,—,—,—,—
Mountain,—,12,—,—,—,—
Arizona,—,4,—,—,—,—
Colorado,—,2,—,—,—,—
Idaho,—,—,—,—,—,—
Montana,—,1,—,—,—,—
Nevada,—,1,—,—,—,—
New Mexico,—,2,—,—,—,—
Utah,—,1,—,—,—,—
Wyoming,—,1,—,—,—,—
Pacific,—,41,—,—,—,—
Alaska,—,—,—,—,—,—
California,—,35,—,—,—,—
Hawaii,—,2,—,—,—,—
Oregon,—,—,—,—,—,—
Washington,—,4,—,—,—,—
Territories,—,2,—,—,—,—
American Samoa,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—
Guam,—,—,—,—,—,—
Puerto Rico,—,2,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—
