Reporting Area,Syphilis,Syphilis,Syphilis,Tetanus,Toxic shock syndrome (other than Streptococcal),Trichinellosis,Tuberculosis,Tularemia
Reporting Area,"Total, all stages *",Congenital,Primary and secondary,Tetanus,Toxic shock syndrome (other than Streptococcal),Trichinellosis,Tuberculosis,Tularemia
United States,115045,1306,35063,23,33,1,9025,229
New England,2166,3,888,—,—,—,302,5
Connecticut,264,2,91,—,N,—,51,—
Maine,147,—,74,—,—,—,14,—
Massachusetts,1305,—,552,—,—,—,200,5
New Hampshire,137,1,64,—,—,—,12,—
Rhode Island,284,—,96,—,—,—,20,—
Vermont,29,—,11,—,—,—,5,—
Middle Atlantic,14374,50,4021,1,6,—,1253,2
New Jersey,1777,13,570,—,—,—,291,1
New York (excluding New York City),1792,9,630,—,2,—,191,—
New York City,8391,19,2024,—,4,—,559,—
Pennsylvania,2414,9,797,1,—,—,212,1
East North Central,9564,64,3316,8,9,1,770,12
Illinois,4471,29,1408,1,2,—,319,6
Indiana,985,1,367,1,2,—,116,2
Michigan,1691,13,649,2,4,—,108,2
Ohio,1908,20,740,2,1,—,178,1
Wisconsin,509,1,152,2,—,1,49,1
West North Central,3989,39,1537,1,9,—,382,57
Iowa,286,3,86,—,N,N,49,1
Kansas,495,8,152,—,3,—,28,19
Minnesota,918,10,292,1,3,—,172,2
Missouri,1913,17,806,—,2,—,81,17
Nebraska,219,—,119,—,1,—,27,6
North Dakota,84,—,41,—,—,—,13,3
South Dakota,74,1,41,—,—,—,12,9
South Atlantic,25418,204,7782,5,2,—,1622,8
Delaware,129,—,30,—,—,—,22,—
District of Columbia,763,—,279,—,—,—,36,—
Florida,10700,108,2880,1,N,—,591,2
Georgia,4928,31,1607,—,—,N,272,—
Maryland,2536,29,737,—,N,—,208,—
North Carolina,2987,17,1098,3,1,—,196,3
South Carolina,1152,9,384,—,1,—,86,—
Virginia,2038,9,702,—,N,—,205,2
West Virginia,185,1,65,1,—,—,6,1
East South Central,5345,31,1860,3,1,—,375,11
Alabama,1285,7,477,—,N,—,91,—
Kentucky,881,9,366,1,—,—,65,7
Mississippi,1454,3,464,—,N,—,80,—
Tennessee,1725,12,553,2,1,—,139,4
West South Central,17818,450,4026,1,1,—,1386,99
Arkansas,964,25,288,—,1,—,78,55
Louisiana,2747,46,669,—,—,—,105,—
Oklahoma,1138,12,531,—,N,—,74,44
Texas,12969,367,2538,1,N,—,1129,—
Mountain,7848,111,2653,2,5,—,391,19
Arizona,3249,61,1047,—,1,—,178,—
Colorado,1084,7,337,1,4,—,64,6
Idaho,134,1,46,—,—,—,15,3
Montana,104,—,45,—,—,—,5,4
Nevada,2000,31,682,—,—,—,69,2
New Mexico,812,10,304,—,—,—,41,1
Utah,423,1,169,—,—,—,18,—
Wyoming,42,—,23,1,—,—,1,3
Pacific,28523,354,8980,2,—,—,2544,16
Alaska,113,1,55,—,N,—,63,—
California,25256,332,7607,—,—,—,2092,4
Hawaii,210,4,92,—,N,—,120,—
Oregon,1032,10,424,1,N,—,81,8
Washington,1912,7,802,1,N,—,188,4
Territories,1120,8,384,—,—,—,146,—
American Samoa,—,—,—,—,N,N,1,—
Commonwealth of Northern Mariana Islands,2,—,1,—,—,—,47,—
Guam,30,—,18,—,—,—,70,—
Puerto Rico,1088,8,365,—,N,N,28,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
