Reporting Area,Spotted fever rickettsiosis,Spotted fever rickettsiosis,Spotted fever rickettsiosis,Streptococcal toxic shock syndrome,Syphilis,Syphilis,Syphilis
Reporting Area,Total,Confirmed,Probable,Streptococcal toxic shock syndrome,"Total, all stages  §",Congenital,Primary and secondary
"U.S. Residents, excluding U.S. Territories",5207,128,5079,416,129813,1870,38992
New England,40,—,40,66,3044,14,1034
Connecticut,5,—,5,31,482,3,210
Maine,5,—,5,20,136,—,55
Massachusetts,15,—,15,6,1844,9,610
New Hampshire,8,—,8,—,135,2,47
Rhode Island,—,—,—,2,423,—,101
Vermont,7,—,7,7,24,—,11
Middle Atlantic,313,23,290,14,15349,55,4487
New Jersey,209,2,207,8,2085,15,631
New York (excluding New York City),71,14,57,5,2164,10,886
New York City,4,2,2,—,8336,17,1979
Pennsylvania,29,5,24,1,2764,13,991
East North Central,285,7,278,138,9983,83,3316
Illinois,136,4,132,92,4511,32,1374
Indiana,76,1,75,27,993,13,336
Michigan,10,—,10,5,1905,17,678
Ohio,49,2,47,14,2005,19,749
Wisconsin,14,—,14,—,569,2,179
West North Central,744,11,733,31,4713,51,1753
Iowa,11,—,11,N,359,1,132
Kansas,213,2,211,3,565,9,190
Minnesota,7,—,7,13,1127,21,385
Missouri,483,5,478,15,2188,18,817
Nebraska,16,1,15,—,291,—,136
North Dakota,4,—,4,—,97,—,45
South Dakota,10,3,7,—,86,2,48
South Atlantic,1317,35,1282,93,28902,292,8585
Delaware,36,1,35,—,216,2,94
District of Columbia,7,3,4,—,1085,1,308
Florida,27,1,26,N,12121,145,3189
Georgia,27,4,23,53,5679,52,1750
Maryland,137,—,137,—,2778,31,868
North Carolina,679,15,664,13,3369,27,1122
South Carolina,77,11,66,2,1306,17,516
Virginia,302,—,302,21,2071,11,659
West Virginia,25,—,25,4,277,6,79
East South Central,1269,25,1244,14,6962,40,2422
Alabama,476,6,470,N,1634,15,618
Kentucky,347,8,339,14,1096,9,438
Mississippi,114,3,111,N,2006,3,690
Tennessee,332,8,324,—,2226,13,676
West South Central,1126,7,1119,—,18257,660,4252
Arkansas,1081,5,1076,—,1106,21,404
Louisiana,22,—,22,—,2744,68,700
Oklahoma,—,—,—,N,1750,43,791
Texas,23,2,21,N,12657,528,2357
Mountain,90,16,74,59,9868,194,3358
Arizona,49,10,39,—,4022,109,1290
Colorado,3,—,3,1,1434,10,486
Idaho,13,4,9,3,149,1,47
Montana,2,—,2,2,140,1,67
Nevada,7,—,7,30,2356,41,808
New Mexico,—,—,—,—,1294,28,511
Utah,10,2,8,23,431,4,138
Wyoming,6,—,6,—,42,—,11
Pacific,23,4,19,1,32735,481,9785
Alaska,N,N,N,N,242,—,129
California,15,1,14,N,28812,445,8266
Hawaii,N,N,N,1,252,3,120
Oregon,4,1,3,N,1245,18,454
Washington,4,2,2,N,2184,15,816
Territories,—,—,—,—,1027,7,335
American Samoa,N,N,N,N,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,2,—,1
Guam,N,N,N,—,31,—,5
Puerto Rico,N,N,N,N,949,7,329
U.S. Virgin Islands,—,—,—,—,45,—,—
