Reporting Area,Syphilis,Syphilis,Syphilis,Tetanus,Toxic shock syndrome (other than Streptococcal),Trichinellosis,Tuberculosis,Tularemia
Reporting Area,"Total, all stages",Congenital,Primary and secondary,Tetanus,Toxic shock syndrome (other than Streptococcal),Trichinellosis,Tuberculosis,Tularemia
United States,101567,918,30644,33,30,15,9105,239
New England,2245,—,840,2,—,—,322,6
Connecticut,283,—,110,1,N,—,63,—
Maine,132,—,65,1,—,—,14,—
Massachusetts,1474,—,538,—,—,—,210,5
New Hampshire,109,—,43,—,—,—,19,1
Rhode Island,221,—,71,—,—,—,13,—
Vermont,26,—,13,—,—,—,3,—
Middle Atlantic,13977,35,3647,3,4,—,1282,4
New Jersey,1866,13,499,—,—,—,284,2
New York (excluding New York City),1884,8,559,1,2,—,193,—
New York City,7993,8,1796,—,1,—,613,—
Pennsylvania,2234,6,793,2,1,—,192,2
East North Central,8343,60,3029,4,9,—,768,9
Illinois,3837,21,1225,—,2,—,335,5
Indiana,788,8,319,1,—,—,100,2
Michigan,1267,10,480,2,2,—,133,—
Ohio,1900,18,832,—,3,—,151,2
Wisconsin,551,3,173,1,2,—,49,—
West North Central,3168,16,1153,4,3,—,390,93
Iowa,290,2,101,1,N,N,47,4
Kansas,338,—,133,1,—,—,29,29
Minnesota,934,2,292,1,2,—,178,6
Missouri,1337,10,507,—,—,—,87,33
Nebraska,118,1,43,1,1,—,21,7
North Dakota,78,—,44,—,—,—,14,1
South Dakota,73,1,33,—,—,—,14,13
South Atlantic,22282,180,6880,8,3,—,1635,5
Delaware,194,—,57,—,—,—,15,1
District of Columbia,845,—,274,—,—,—,36,—
Florida,8951,93,2390,2,N,—,549,—
Georgia,4310,23,1489,—,—,N,294,—
Maryland,2059,20,573,2,N,—,207,1
North Carolina,2947,23,1138,3,2,—,213,1
South Carolina,1096,8,361,—,1,—,101,1
Virginia,1757,11,536,1,N,—,204,1
West Virginia,123,2,62,—,—,—,16,—
East South Central,4313,22,1484,2,1,—,366,4
Alabama,1202,6,424,1,N,—,120,1
Kentucky,721,5,262,—,—,—,65,2
Mississippi,937,1,310,—,N,—,53,—
Tennessee,1453,10,488,1,1,—,128,1
West South Central,16659,250,3519,2,1,—,1407,73
Arkansas,726,8,234,1,1,—,85,31
Louisiana,2856,59,679,—,—,—,141,—
Oklahoma,953,7,373,—,N,—,54,41
Texas,12124,176,2233,1,N,—,1127,1
Mountain,5984,57,2248,4,9,—,433,30
Arizona,2422,30,943,—,—,—,188,1
Colorado,817,4,292,—,8,—,84,5
Idaho,151,—,64,1,—,—,10,1
Montana,85,1,48,1,1,—,3,6
Nevada,1681,21,587,1,—,—,80,3
New Mexico,510,1,193,—,—,—,37,5
Utah,299,—,117,1,—,—,29,7
Wyoming,19,—,4,—,—,—,2,2
Pacific,24596,298,7844,4,—,15,2502,15
Alaska,28,—,13,—,N,6,53,3
California,21804,281,6708,2,—,8,2057,4
Hawaii,165,3,94,—,N,—,116,—
Oregon,848,8,352,2,N,—,69,2
Washington,1751,6,677,—,N,1,207,6
Territories,1073,4,424,1,—,0,162,—
American Samoa,—,—,—,—,N,N,2,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,36,—
Guam,21,—,13,—,—,0,84,—
Puerto Rico,1052,4,411,1,N,N,40,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
