Reporting Area,Shiga toxin-producing  Escherichia coli  *,Shigellosis,Smallpox,Spotted fever rickettsiosis,Spotted fever rickettsiosis,Spotted fever rickettsiosis,Streptococcal toxic shock syndrome
Reporting Area,Shiga toxin-producing  Escherichia coli  *,Shigellosis,Smallpox,Total,Confirmed,Probable,Streptococcal toxic shock syndrome
United States,8672,14912,—,6248,176,6072,372
New England,325,349,—,82,—,82,54
Connecticut,74,78,—,7,—,7,22
Maine,34,13,—,3,—,3,13
Massachusetts,137,185,—,42,—,42,10
New Hampshire,43,12,—,11,—,11,—
Rhode Island,14,44,—,15,—,15,6
Vermont,23,17,—,4,—,4,3
Middle Atlantic,674,1346,—,203,3,200,33
New Jersey,128,338,—,137,2,135,12
New York (excluding New York City),231,286,—,36,1,35,18
New York City,115,453,—,2,—,2,—
Pennsylvania,200,269,—,28,—,28,3
East North Central,981,1873,—,292,4,288,113
Illinois,212,361,—,127,1,126,82
Indiana,118,153,—,94,2,92,21
Michigan,149,458,—,13,—,13,2
Ohio,280,634,—,35,1,34,8
Wisconsin,222,267,—,23,—,23,—
West North Central,1520,1033,—,879,16,863,14
Iowa,276,174,—,17,—,17,N
Kansas,139,228,—,218,2,216,—
Minnesota,531,145,—,13,—,13,11
Missouri,292,424,—,579,10,569,3
Nebraska,151,31,—,25,2,23,—
North Dakota,40,2,—,14,—,14,—
South Dakota,91,29,—,13,2,11,—
South Atlantic,756,2991,—,1139,88,1051,70
Delaware,11,33,—,41,2,39,—
District of Columbia,9,67,—,4,1,3,—
Florida,187,1307,—,25,2,23,N
Georgia,138,403,—,71,71,—,24
Maryland,81,239,—,61,—,61,—
North Carolina,81,294,—,518,6,512,22
South Carolina,42,415,—,94,3,91,2
Virginia,179,207,—,307,2,305,21
West Virginia,28,26,—,18,1,17,1
East South Central,303,1014,—,1869,13,1856,15
Alabama,30,247,—,671,6,665,N
Kentucky,59,275,—,250,1,249,12
Mississippi,29,184,—,170,—,170,N
Tennessee,185,308,—,778,6,772,3
West South Central,1367,2181,—,1686,25,1661,—
Arkansas,86,249,—,1214,6,1208,—
Louisiana,41,259,—,22,—,22,—
Oklahoma,109,151,—,349,16,333,N
Texas,1131,1522,—,101,3,98,N
Mountain,925,1056,—,77,26,51,73
Arizona,166,555,—,31,21,10,—
Colorado,274,176,—,10,1,9,5
Idaho,133,36,—,3,1,2,5
Montana,97,10,—,11,2,9,3
Nevada,49,98,—,3,—,3,27
New Mexico,42,131,—,3,—,3,—
Utah,140,44,—,10,—,10,31
Wyoming,24,6,—,6,1,5,2
Pacific,1821,3069,—,21,1,20,—
Alaska,11,6,—,N,N,N,N
California,1288,2613,—,12,—,12,N
Hawaii,19,38,—,N,N,N,—
Oregon,211,127,—,4,1,3,N
Washington,292,285,—,5,—,5,N
Territories,3,36,—,—,—,—,—
American Samoa,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—
Guam,—,16,—,N,N,N,—
Puerto Rico,3,20,—,N,N,N,N
U.S. Virgin Islands,—,—,—,—,—,—,—
