Reporting Area,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases
Reporting Area,La Crosse virus disease,La Crosse virus disease,Powassan virus disease,Powassan virus disease,St. Louis encephalitis virus disease,St. Louis encephalitis virus disease,West Nile virus disease,West Nile virus disease
Reporting Area,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive
"U.S. Residents, excluding U.S. Territories",48,7,39,4,15,2,636,338
New England,1,—,19,—,—,—,3,3
Connecticut,—,—,5,—,—,—,1,—
Maine,—,—,2,—,—,—,—,—
Massachusetts,—,—,9,—,—,—,2,3
New Hampshire,—,—,2,—,—,—,—,—
Rhode Island,1,—,1,—,—,—,—,—
Vermont,—,—,—,—,—,—,—,—
Middle Atlantic,—,—,8,1,—,1,25,7
New Jersey,—,—,4,—,—,—,6,2
New York (excluding New York City),—,—,4,1,—,—,6,1
New York City,—,—,—,—,—,—,8,2
Pennsylvania,—,—,—,—,—,1,5,2
East North Central,23,7,5,2,—,—,40,9
Illinois,—,—,—,—,—,—,22,6
Indiana,—,—,—,—,—,—,4,—
Michigan,1,—,—,—,—,—,11,1
Ohio,19,7,—,—,—,—,3,—
Wisconsin,3,—,5,2,—,—,—,2
West North Central,1,—,7,1,—,—,33,43
Iowa,—,—,—,—,—,—,1,4
Kansas,—,—,—,—,—,—,7,6
Minnesota,1,—,6,1,—,—,2,3
Missouri,—,—,—,—,—,—,4,1
Nebraska,—,—,—,—,—,—,17,11
North Dakota,—,—,1,—,—,—,2,7
South Dakota,—,—,—,—,—,—,—,11
South Atlantic,10,—,—,—,—,—,35,10
Delaware,—,—,—,—,—,—,—,—
District of Columbia,—,—,—,—,—,—,9,2
Florida,—,—,—,—,—,—,4,—
Georgia,1,—,—,—,—,—,9,5
Maryland,—,—,—,—,—,—,6,1
North Carolina,6,—,—,—,—,—,1,—
South Carolina,—,—,—,—,—,—,2,—
Virginia,—,—,—,—,—,—,4,2
West Virginia,3,—,—,—,—,—,—,—
East South Central,13,—,—,—,—,—,23,10
Alabama,—,—,—,—,—,—,4,1
Kentucky,1,—,—,—,—,—,4,6
Mississippi,—,—,—,—,—,—,12,3
Tennessee,12,—,—,—,—,—,3,—
West South Central,—,—,—,—,1,—,48,21
Arkansas,—,—,—,—,—,—,7,2
Louisiana,—,—,—,—,—,—,11,9
Oklahoma,—,—,—,—,1,—,6,2
Texas,—,—,—,—,—,—,24,8
Mountain,—,—,—,—,8,1,273,151
Arizona,—,—,—,—,8,1,132,42
Colorado,—,—,—,—,—,—,52,70
Idaho,—,—,—,—,—,—,6,8
Montana,—,—,—,—,—,—,3,—
Nevada,—,—,—,—,—,—,34,12
New Mexico,—,—,—,—,—,—,30,10
Utah,—,—,—,—,—,—,14,7
Wyoming,—,—,—,—,—,—,2,2
Pacific,—,—,—,—,6,—,156,84
Alaska,—,—,—,—,—,—,—,1
California,—,—,—,—,6,—,147,78
Hawaii,—,—,—,—,—,—,—,—
Oregon,—,—,—,—,—,—,6,3
Washington,—,—,—,—,—,—,3,2
Territories,—,—,—,—,—,—,—,—
American Samoa,—,—,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—
Puerto Rico,—,—,—,—,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
