Disease,Case Count,Rate
Anthrax,—,—
Arboviral diseases,,
Chikungunya virus disease,156,0.05
Eastern equine encephalitis virus disease,,
Neuroinvasive,5,0.00
Non-neuroinvasive,—,—
Jamestown Canyon virus disease,,
Neuroinvasive,58,0.02
Non-neuroinvasive,17,0.01
La Crosse virus disease,,
Neuroinvasive,63,0.02
Non-neuroinvasive,—,—
Powassan virus disease,,
Neuroinvasive,33,0.01
Non-neuroinvasive,1,0.00
St. Louis encephalitis virus disease,,
Neuroinvasive,6,0.00
Non-neuroinvasive,5,0.00
West Nile virus disease,,
Neuroinvasive,1425,0.44
Non-neuroinvasive,672,0.21
Western equine encephalitis virus disease,,
Neuroinvasive,—,—
Non-neuroinvasive,—,—
Babesiosis,,
Total,2368,0.94
Confirmed,1994,0.79
Probable,374,0.15
Botulism,,
Total,177,0.05
Foodborne,19,0.01
Infant  *,137,3.48
Other (wound & unspecified),21,0.01
Brucellosis,140,0.04
Campylobacteriosis,67537,20.73
Chancroid,7,0.00
Chlamydia trachomatis  infection,1708569,524.55
Cholera,10,0.00
Coccidioidomycosis  †,14364,10.93
Cryptosporidiosis,,
Total,11414,3.50
Confirmed,8043,2.47
Probable,3371,1.03
Cyclosporiasis,1194,0.40
Dengue virus infections  §,,
Dengue,437,0.13
Dengue-like illness,8,0.00
Severe dengue,9,0.00
Diphtheria,—,—
Ehrlichiosis and Anaplasmosis,,
Anaplasma phagocytophilum  infection,5762,1.83
Ehrlichia chaffeensis  infection,1642,0.52
Ehrlichia ewingii  infection,45,0.01
Undetermined ehrlichiosis/anaplasmosis,269,0.09
Giardiasis,15193,5.94
Gonorrhea,555608,170.58
"Haemophilus influenzae,  invasive disease",,
"All ages, all serotypes",5548,1.70
Age <5 years  ¶,,
Serotype b,33,0.17
Non-b serotype,189,0.95
Nontypeable,200,1.00
Unknown serotype,203,1.02
Hansen's disease,94,0.03
"Hantavirus infection, non-hantavirus pulmonary syndrome",2,0.00
Hantavirus pulmonary syndrome,33,0.01
Hemolytic uremic syndrome post-diarrheal,338,0.11
Hepatitis  **,,
"A, acute",3365,1.03
"B, acute",3409,1.05
"B, perinatal infection  ††",31,0.39
"C, acute",4225,1.36
Confirmed,3213,1.04
Probable,1012,0.33
Human immunodeficiency virus diagnoses,33938,10.42
Influenza-associated pediatric mortality  §§,126,0.17
Invasive pneumococcal disease  ¶¶,,
All ages,19780,8.15
Confirmed,19620,8.08
Probable,160,0.07
Age <5 years  ¶,1234,0.47
Confirmed,1220,7.64
Probable,14,0.09
Legionellosis,7458,2.29
Leptospirosis,72,0.03
Listeriosis,887,0.27
Lyme disease,,
Total,42743,13.18
Confirmed,29513,9.10
Probable,13230,4.08
Malaria,2056,0.63
Measles,,
Total,120,0.04
Indigenous,99,0.03
Imported,21,0.01
Meningococcal disease,,
All serogroups,353,0.11
Serogroups ACWY,107,0.03
Serogroup B,90,0.03
Other serogroups,25,0.01
Unknown serogroup,131,0.04
Mumps,6109,1.88
Novel Influenza A virus infections,66,0.02
Pertussis,18975,5.83
Plague,5,0.00
"Poliomyelitis, paralytic",—,—
"Poliovirus infection, nonparalytic",—,—
Psittacosis,5,0.00
Q fever,,
Total,193,0.06
Acute,153,0.05
Chronic,40,0.01
Rabies,,
Animal,4423,1.36
Human,2,0.00
Rubella,7,0.00
"Rubella, congenital syndrome  *",5,0.13
Salmonellosis,54285,16.67
Severe acute respiratory syndrome-associated coronavirus disease,—,—
Shiga toxin-producing  Escherichia coli  ***,8672,2.66
Shigellosis,14912,4.58
Smallpox,—,—
Spotted fever rickettsiosis,,
Total,6248,1.93
Confirmed,176,0.05
Probable,6072,1.88
Streptococcal toxic shock syndrome,372,0.18
Syphilis,,
"Total, all stages",101567,31.18
Congenital  *,918,23.30
Primary and secondary,30644,9.41
Tetanus,33,0.01
Toxic shock syndrome (other than Streptococcal),30,0.01
Trichinellosis,15,0.00
Tuberculosis,9105,2.80
Tularemia,239,0.07
Typhoid fever,419,0.13
Vancomycin-intermediate  Staphylococcus aureus,109,0.04
Vancomycin-resistant  Staphylococcus aureus,3,0.00
Varicella morbidity,8775,3.30
Varicella mortality,2,0.00
Vibriosis,,
Total,2085,0.65
Confirmed,1497,0.47
Probable,588,0.18
Viral hemorrhagic fevers,,
Crimean-Congo hemorrhagic fever virus,—,—
Ebola virus,—,—
Guanarito virus,—,—
Junin virus,—,—
Lassa virus,—,—
Lujo virus,—,—
Machupo virus,—,—
Marburg virus,—,—
Sabia virus,—,—
Yellow fever,—,—
Zika virus,,
"Zika virus disease, congenital  *,†††",22,0.56
"Zika virus disease, non-congenital",497,0.15
"Zika virus infection, congenital  *,†††",17,0.43
"Zika virus infection, non-congenital",641,0.20
