Disease,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Unknown,Total
Anthrax,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Arboviral diseases,,,,,,,,,,,,,,
Chikungunya virus disease,6,2,5,7,11,17,19,14,29,17,9,20,—,156
Eastern equine encephalitis virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,1,3,—,1,—,5
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,,,,,,,,,
Neuroinvasive,1,—,—,3,2,12,14,10,12,2,2,—,—,58
Non-neuroinvasive,—,—,—,—,1,4,3,5,4,—,—,—,—,17
La Crosse virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,1,—,—,2,16,28,9,5,2,—,—,63
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Powassan virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,1,9,8,6,1,1,2,2,3,—,33
Non-neuroinvasive,—,—,—,—,—,—,1,—,—,—,—,—,—,1
St. Louis encephalitis virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,2,—,4,—,—,—,—,6
Non-neuroinvasive,—,—,1,—,—,—,—,1,—,2,1,—,—,5
West Nile virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,3,5,4,19,192,445,575,127,40,15,—,1425
Non-neuroinvasive,—,—,3,2,3,22,132,231,213,51,10,5,—,672
Western equine encephalitis virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Babesiosis,,,,,,,,,,,,,,
Total,17,11,14,20,68,262,846,514,247,115,76,178,—,2368
Confirmed,10,6,9,12,46,225,755,440,206,87,57,141,—,1994
Probable,7,5,5,8,22,37,91,74,41,28,19,37,—,374
Botulism,,,,,,,,,,,,,,
Total,10,12,10,20,17,13,11,14,14,10,19,27,—,177
Foodborne,—,1,—,10,3,1,—,3,1,—,—,—,—,19
Infant,9,10,9,9,10,12,8,8,12,8,17,25,—,137
Other (wound & unspecified),1,1,1,1,4,—,3,3,1,2,2,2,—,21
Brucellosis,—,10,11,19,11,8,26,10,10,11,5,19,—,140
Campylobacteriosis,3485,3486,3646,5358,5167,6605,8989,6488,6822,4832,4440,8219,—,67537
Chancroid,1,—,3,1,—,1,—,—,—,1,—,—,—,7
