Reporting Area,Rabies,Rabies,Rubella,"Rubella, congenital syndrome",Salmonellosis,Severe acute respiratory syndrome-associated coronavirus disease
Reporting Area,Animal,Human,Rubella,"Rubella, congenital syndrome",Salmonellosis,Severe acute respiratory syndrome-associated coronavirus disease
United States,4609,—,1,2,53850,—
New England,410,—,—,—,2207,—
Connecticut,91,—,—,—,457,—
Maine,76,—,—,—,122,—
Massachusetts,146,—,—,—,1189,—
New Hampshire,23,—,—,—,195,—
Rhode Island,26,—,—,—,123,—
Vermont,48,—,—,—,121,—
Middle Atlantic,1075,—,—,—,4993,—
New Jersey,263,—,—,—,1051,—
New York (excluding New York City),398,—,—,—,1406,—
New York City,—,—,—,—,933,—
Pennsylvania,414,—,—,—,1603,—
East North Central,162,—,—,1,6108,—
Illinois,63,—,—,1,1811,—
Indiana,17,—,—,—,799,—
Michigan,41,—,—,—,1053,—
Ohio,41,—,—,—,1543,—
Wisconsin,N,—,—,—,902,—
West North Central,216,—,—,—,3862,—
Iowa,19,—,—,—,776,—
Kansas,55,—,—,—,462,—
Minnesota,55,—,—,—,881,—
Missouri,25,—,—,—,1022,—
Nebraska,19,—,—,—,295,—
North Dakota,16,—,—,—,121,—
South Dakota,27,—,—,—,305,—
South Atlantic,1302,—,1,1,14243,—
Delaware,5,—,—,—,171,—
District of Columbia,24,—,—,—,72,—
Florida,59,—,1,—,5621,—
Georgia,232,—,—,—,2267,—
Maryland,336,—,—,1,897,—
North Carolina,257,—,—,—,2127,—
South Carolina,N,—,—,—,1656,—
Virginia,356,—,—,—,1193,—
West Virginia,33,—,—,—,239,—
East South Central,148,—,—,—,4293,—
Alabama,77,—,—,—,1284,—
Kentucky,21,—,—,—,716,—
Mississippi,3,—,—,—,1187,—
Tennessee,47,—,—,—,1106,—
West South Central,825,—,—,—,9004,—
Arkansas,23,—,—,—,815,—
Louisiana,4,—,—,—,1365,—
Oklahoma,47,—,—,—,923,—
Texas,751,—,—,—,5901,—
Mountain,189,—,—,—,2894,—
Arizona,N,—,—,—,900,—
Colorado,88,—,—,—,696,—
Idaho,20,—,—,—,183,—
Montana,10,—,—,—,177,—
Nevada,14,—,—,—,199,—
New Mexico,4,—,—,—,339,—
Utah,20,—,—,—,333,—
Wyoming,33,—,—,—,67,—
Pacific,282,—,—,—,6246,—
Alaska,21,—,—,—,67,—
California,226,—,—,—,4674,—
Hawaii,—,—,—,—,306,—
Oregon,15,—,—,—,445,—
Washington,20,—,—,—,754,—
Territories,20,—,—,—,667,—
American Samoa,U,U,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—
Guam,—,—,—,—,21,—
Puerto Rico,20,—,—,—,646,—
U.S. Virgin Islands,—,—,—,—,—,—
