Reporting Area,Rabies,Rabies,Rubella,"Rubella, congenital syndrome",Salmonellosis (excluding paratyphoid fever and typhoid fever) *,Severe acute respiratory syndrome-associated coronavirus disease
Reporting Area,Animal,Human,Rubella,"Rubella, congenital syndrome",Salmonellosis (excluding paratyphoid fever and typhoid fever) *,Severe acute respiratory syndrome-associated coronavirus disease
United States,4984,3,4,—,60999,—
New England,328,—,1,—,2284,—
Connecticut,40,—,1,—,496,—
Maine,109,—,—,—,119,—
Massachusetts,101,—,—,—,1225,—
New Hampshire,33,—,—,—,178,—
Rhode Island,21,—,—,—,175,—
Vermont,24,—,—,—,91,—
Middle Atlantic,955,—,—,—,5780,—
New Jersey,264,—,—,—,1307,—
New York (excluding New York City),335,—,—,—,1466,—
New York City,—,—,—,—,1279,—
Pennsylvania,356,—,—,—,1728,—
East North Central,250,—,—,—,6525,—
Illinois,85,—,—,—,2033,—
Indiana,13,—,—,—,799,—
Michigan,79,—,—,—,1157,—
Ohio,54,—,—,—,1502,—
Wisconsin,19,—,—,—,1034,—
West North Central,141,—,—,—,4842,—
Iowa,10,—,—,—,1102,—
Kansas,30,—,—,—,615,—
Minnesota,32,—,—,—,1072,—
Missouri,20,—,—,—,1318,—
Nebraska,22,—,—,—,392,—
North Dakota,12,—,—,—,117,—
South Dakota,15,—,—,—,226,—
South Atlantic,1542,2,1,—,17152,—
Delaware,21,1,—,—,215,—
District of Columbia,21,—,1,—,78,—
Florida,110,1,—,—,7224,—
Georgia,260,—,—,—,2597,—
Maryland,269,—,—,—,967,—
North Carolina,332,—,—,—,2874,—
South Carolina,100,—,—,—,1597,—
Virginia,360,—,—,—,1356,—
West Virginia,69,—,—,—,244,—
East South Central,109,—,—,—,4175,—
Alabama,57,—,—,—,1196,—
Kentucky,18,—,—,—,661,—
Mississippi,5,—,—,—,1191,—
Tennessee,29,—,—,—,1127,—
West South Central,767,—,2,—,8680,—
Arkansas,31,—,—,—,676,—
Louisiana,11,—,—,—,1180,—
Oklahoma,30,—,—,—,970,—
Texas,695,—,2,—,5854,—
Mountain,602,1,—,—,3525,—
Arizona,163,—,—,—,1149,—
Colorado,327,—,—,—,900,—
Idaho,12,—,—,—,225,—
Montana,18,—,—,—,135,—
Nevada,14,—,—,—,251,—
New Mexico,15,—,—,—,421,—
Utah,14,1,—,—,362,—
Wyoming,39,—,—,—,82,—
Pacific,290,—,—,—,8036,—
Alaska,9,—,—,—,47,—
California,226,—,—,—,6247,—
Hawaii,—,—,—,—,334,—
Oregon,15,—,—,—,580,—
Washington,40,—,—,—,828,—
Territories,31,—,—,—,480,—
American Samoa,—,U,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—
Guam,—,—,—,—,20,—
Puerto Rico,31,—,—,—,460,—
U.S. Virgin Islands,—,—,—,—,—,—
