Disease,American Indian or  Alaska Native,American Indian or  Alaska Native,Asian or Pacific  Islander,Asian or Pacific  Islander,Black,Black,White,White,Other Race,Race not stated,Total
Disease,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,No.,No.
Anthrax,—,—,—,—,—,—,—,—,—,—,—
Arboviral diseases,,,,,,,,,,,
Chikungunya virus disease,1,0.02,78,0.37,3,0.01,21,0.01,11,42,156
Eastern equine encephalitis virus disease,,,,,,,,,,,
Neuroinvasive,S,S,S,S,S,S,S,S,S,S,5
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,,,,,,
Neuroinvasive,1,0.02,—,—,—,—,38,0.01,3,16,58
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,17
La Crosse virus disease,,,,,,,,,,,
Neuroinvasive,—,—,1,0.00,—,—,56,0.02,1,5,63
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Powassan virus disease,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,18,0.01,—,15,33
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,1
St. Louis encephalitis virus disease,,,,,,,,,,,
Neuroinvasive,S,S,S,S,S,S,S,S,S,S,6
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,5
West Nile virus disease,,,,,,,,,,,
Neuroinvasive,11,0.23,21,0.10,99,0.22,1064,0.42,62,168,1425
Non-neuroinvasive,6,0.13,9,0.04,21,0.05,498,0.20,29,109,672
Western equine encephalitis virus disease,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Babesiosis,,,,,,,,,,,
Total,10,0.35,59,0.35,39,0.12,1511,0.76,98,651,2368
Confirmed,7,0.24,48,0.28,34,0.10,1264,0.64,94,547,1994
Probable,3,0.10,11,0.06,5,0.01,247,0.12,4,104,374
Botulism,,,,,,,,,,,
Total,4,0.09,15,0.07,5,0.01,105,0.04,7,41,177
Foodborne,S,S,S,S,S,S,S,S,S,S,19
Infant  †,—,—,11,4.48,5,0.74,89,3.03,4,28,137
Other (wound & unspecified),S,S,S,S,S,S,S,S,S,S,21
Brucellosis,2,0.04,6,0.03,7,0.02,84,0.03,6,35,140
Campylobacteriosis,574,12.24,1859,8.76,3391,7.39,41482,16.34,4505,15726,67537
Chancroid  §,S,S,S,S,S,S,S,S,S,S,7
Chlamydia trachomatis  infection  §,19770,421.62,27956,131.80,475496,1036.30,552963,217.76,112699,519685,1708569
Cholera,S,S,S,S,S,S,S,S,S,S,10
Coccidioidomycosis  ¶,203,8.46,504,5.08,489,3.46,4587,4.37,1071,7510,14364
Cryptosporidiosis,,,,,,,,,,,
Total,79,1.68,164,0.77,986,2.15,7937,3.13,488,1760,11414
Confirmed,62,1.32,128,0.60,751,1.64,5447,2.15,343,1312,8043
Probable,17,0.36,36,0.17,235,0.51,2490,0.98,145,448,3371
Cyclosporiasis,1,0.02,21,0.10,44,0.11,826,0.36,44,258,1194
Dengue virus infections  **,,,,,,,,,,,
Dengue,1,0.02,145,0.68,15,0.03,130,0.05,22,124,437
Dengue-like illness,S,S,S,S,S,S,S,S,S,S,8
Severe dengue,S,S,S,S,S,S,S,S,S,S,9
Diphtheria,—,—,—,—,—,—,—,—,—,—,—
Ehrlichiosis and Anaplasmosis,,,,,,,,,,,
Anaplasma phagocytophilum  infection,33,0.79,41,0.21,26,0.06,3921,1.60,199,1542,5762
Ehrlichia chaffeensis  infection,11,0.26,19,0.10,37,0.08,1123,0.46,37,415,1642
Ehrlichia ewingii  infection,—,—,—,—,—,—,40,0.02,1,4,45
Undetermined ehrlichiosis/anaplasmosis,5,0.12,—,—,2,0.00,187,0.08,21,54,269
Giardiasis,76,2.10,427,2.35,1202,3.46,7740,3.89,864,4884,15193
Gonorrhea  §,7661,163.38,7541,35.55,221377,482.47,169576,66.78,31460,117993,555608
"Haemophilus influenzae,  invasive disease",,,,,,,,,,,
"All ages, all serotypes",70,1.49,95,0.45,843,1.84,3552,1.40,142,846,5548
Age <5 years  ††,,,,,,,,,,,
Serotype b,3,0.78,—,—,3,0.09,20,0.13,1,6,33
Non-b serotype,15,3.91,3,0.23,49,1.44,92,0.62,8,22,189
Nontypeable,4,1.04,7,0.54,43,1.26,104,0.70,12,30,200
Unknown serotype,4,1.04,10,0.78,48,1.41,98,0.66,17,26,203
Hansen's disease,—,—,19,0.10,7,0.02,40,0.02,4,24,94
"Hantavirus infection, non-hantavirus pulmonary syndrome",S,S,S,S,S,S,S,S,S,S,2
