Reporting Area,"Hantavirus infection, non-hantavirus pulmonary syndrome",Hantavirus pulmonary syndrome,Hemolytic uremic syndrome post-diarrheal,Hepatitis *,Hepatitis *,Hepatitis *,Hepatitis *
Reporting Area,"Hantavirus infection, non-hantavirus pulmonary syndrome",Hantavirus pulmonary syndrome,Hemolytic uremic syndrome post-diarrheal,"A, acute","B, acute","B, perinatal infection","C, acute"
United States,6,31,307,2007,3218,32,2942
New England,—,1,10,105,93,—,471
Connecticut,N,N,4,16,7,—,17
Maine,—,—,2,8,53,—,25
Massachusetts,—,—,3,64,31,—,424
New Hampshire,—,—,1,8,—,—,N
Rhode Island,—,—,—,4,U,—,U
Vermont,—,1,—,5,2,—,5
Middle Atlantic,—,—,11,235,205,4,526
New Jersey,—,—,1,74,59,—,122
New York (excluding New York City),—,—,6,51,42,—,176
New York City,—,—,4,48,61,2,3
Pennsylvania,—,—,—,62,43,2,225
East North Central,4,1,38,244,536,1,564
Illinois,—,1,4,71,37,—,21
Indiana,1,—,11,18,146,—,146
Michigan,1,—,9,112,45,—,107
Ohio,—,—,7,36,299,—,187
Wisconsin,2,—,7,7,9,1,103
West North Central,—,1,56,76,104,1,113
Iowa,—,—,6,16,10,—,U
Kansas,N,—,12,5,21,—,15
Minnesota,—,—,14,15,21,1,51
Missouri,N,—,17,16,40,—,24
Nebraska,—,—,5,21,8,—,2
North Dakota,—,1,1,2,2,—,1
South Dakota,—,—,1,1,2,—,20
South Atlantic,—,—,26,479,1216,3,593
Delaware,—,—,—,1,3,—,U
District of Columbia,N,—,—,4,U,U,U
Florida,—,—,8,115,558,—,236
Georgia,—,—,4,44,100,1,93
Maryland,—,—,3,37,27,—,35
North Carolina,—,—,4,52,170,1,82
South Carolina,—,—,2,21,34,—,10
Virginia,N,—,4,190,56,—,43
West Virginia,—,—,1,15,268,1,94
East South Central,—,—,24,37,516,4,285
Alabama,N,N,6,19,59,—,32
Kentucky,—,—,7,9,222,2,103
Mississippi,—,—,—,2,31,—,U
Tennessee,—,—,11,7,204,2,150
West South Central,—,—,45,175,285,3,77
Arkansas,N,—,9,13,49,—,—
Louisiana,—,—,—,12,48,1,5
Oklahoma,N,—,22,11,32,—,32
Texas,—,—,14,139,156,2,40
Mountain,2,25,29,94,77,—,172
Arizona,1,3,4,32,14,—,U
Colorado,—,11,4,22,28,—,35
Idaho,N,—,11,7,6,—,7
Montana,1,—,1,3,1,—,20
Nevada,—,—,—,14,22,—,16
New Mexico,—,8,3,4,1,—,18
Utah,—,2,6,12,5,—,76
Wyoming,—,1,—,—,U,—,U
Pacific,—,3,68,562,186,16,141
Alaska,—,—,—,2,6,—,N
California,—,1,55,229,115,15,60
Hawaii,—,—,3,285,—,—,—
Oregon,—,1,10,15,20,—,19
Washington,N,1,N,31,45,1,62
Territories,—,—,—,21,13,—,—
American Samoa,—,N,N,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—
Guam,—,N,—,2,—,—,—
Puerto Rico,—,—,N,19,13,—,N
U.S. Virgin Islands,—,—,—,—,—,—,—
