Disease,Case Count,Rate
Anthrax,—,—
Arboviral diseases,,
Chikungunya virus disease,247,0.08
Eastern equine encephalitis virus disease,,
Neuroinvasive,7,0.00
Non-neuroinvasive,—,—
Jamestown Canyon virus disease,,
Neuroinvasive,7,0.00
Non-neuroinvasive,8,0.00
La Crosse virus disease,,
Neuroinvasive,31,0.01
Non-neuroinvasive,4,0.00
Powassan virus disease,,
Neuroinvasive,21,0.01
Non-neuroinvasive,1,0.00
St. Louis encephalitis virus disease,,
Neuroinvasive,7,0.00
Non-neuroinvasive,1,0.00
West Nile virus disease,,
Neuroinvasive,1308,0.40
Non-neuroinvasive,841,0.26
Western equine encephalitis virus disease,,
Neuroinvasive,—,—
Non-neuroinvasive,—,—
Babesiosis,,
Total,1910,0.83
Confirmed,1585,0.69
Probable,325,0.14
Botulism,,
Total,201,0.06
Foodborne,31,0.01
Infant  *,144,3.63
Other (wound & unspecified),26,0.01
Brucellosis,127,0.04
Campylobacteriosis,60120,18.61
Chancroid,7,0.00
Chlamydia trachomatis  infection,1598354,494.65
Cholera,15,0.00
Coccidioidomycosis  †,11829,9.01
Cryptosporidiosis,,
Total,13453,4.16
Confirmed,8637,2.67
Probable,4816,1.49
Cyclosporiasis,537,0.18
Dengue virus infections  §,,
Dengue,903,0.28
Dengue-like illness,40,0.01
Severe dengue,10,0.00
Diphtheria,—,—
Ehrlichiosis and Anaplasmosis,,
Anaplasma phagocytophilum  infection,4151,1.33
Ehrlichia chaffeensis  infection,1377,0.44
Ehrlichia ewingii  infection,22,0.01
Undetermined ehrlichiosis/anaplasmosis,200,0.06
Giardiasis,16310,6.43
Gonorrhea,468514,144.99
"Haemophilus influenzae,  invasive disease",,
"All ages, all serotypes",4895,1.51
Age <5 years  ¶,,
Serotype b,30,0.15
Non-b serotype,159,0.80
Nontypeable,196,0.98
Unknown serotype,187,0.94
Hansen's disease,78,0.03
"Hantavirus infection, non-hantavirus pulmonary syndrome",6,0.00
Hantavirus pulmonary syndrome,31,0.01
Hemolytic uremic syndrome post-diarrheal,307,0.10
Hepatitis  **,,
"A, acute",2007,0.62
"B, acute",3218,1.00
"B, perinatal infection  ††",32,0.40
"C, acute",2942,0.97
Human immunodeficiency virus diagnoses,34775,10.76
Influenza-associated pediatric mortality  §§,82,0.11
Invasive pneumococcal disease,,
All ages,17626,7.32
Confirmed,17603,7.31
Probable,23,0.01
Age <5 years  ¶,1142,0.44
Confirmed,1137,7.13
Probable,5,0.03
Legionellosis,6141,1.90
Leptospirosis,78,0.03
Listeriosis,786,0.24
Lyme disease,,
Total,36429,11.32
Confirmed,26203,8.15
Probable,10226,3.18
Malaria,1955,0.61
Measles,,
Total,85,0.03
Indigenous,68,0.02
Imported,17,0.01
Meningococcal disease,,
All serogroups,375,0.12
Serogroups ACWY,126,0.04
Serogroup B,86,0.03
Other serogroups,21,0.01
Unknown serogroup,142,0.04
Mumps,6369,1.97
Novel Influenza A virus infections,23,0.01
Pertussis,17972,5.56
Plague,4,0.00
"Poliomyelitis, paralytic",—,—
"Poliovirus infection, nonparalytic",—,—
Psittacosis,12,0.00
Q fever,,
Total,164,0.05
Acute,132,0.04
Chronic,32,0.01
Rabies,,
Animal,4609,1.51
Human,—,—
Rubella,1,0.00
"Rubella, congenital syndrome  *",2,0.05
Salmonellosis,53850,16.67
Severe acute respiratory syndrome-associated coronavirus disease,—,—
Shiga toxin-producing  Escherichia coli  ¶¶,8169,2.53
Shigellosis,21097,6.53
Smallpox,—,—
Spotted fever rickettsiosis,,
Total,4269,1.33
Confirmed,154,0.05
Probable,4115,1.28
Streptococcal toxic shock syndrome,283,0.14
Syphilis,,
"Total, all stages  ***",88042,27.25
Congenital  *,628,15.82
Primary and secondary,27814,8.61
Tetanus,34,0.01
Toxic shock syndrome (other than Streptococcal),40,0.02
Trichinellosis,26,0.01
Tuberculosis,9272,2.87
Tularemia,230,0.07
Typhoid fever,376,0.12
Vancomycin-intermediate  Staphylococcus aureus,108,0.04
Vancomycin-resistant  Staphylococcus aureus,—,—
Varicella morbidity,8953,3.45
Varicella mortality,3,0.00
Vibriosis,,
Total,1273,0.40
Confirmed,1241,0.39
Probable,32,0.01
Viral hemorrhagic fevers,,
Crimean-Congo hemorrhagic fever virus,—,—
Ebola virus,—,—
Guanarito virus,—,—
Junin virus,—,—
Lassa virus,—,—
Lujo virus,—,—
Machupo virus,—,—
Marburg virus,—,—
Sabia virus,—,—
Yellow fever,1,0.00
Zika virus,,
"Zika virus disease, congenital  *,†††",30,0.76
"Zika virus disease, non-congenital",5132,1.59
"Zika virus infection, congenital  *,†††",45,1.13
"Zika virus infection, non-congenital",911,0.28
