Reporting Area,Listeriosis,Lyme disease,Lyme disease,Lyme disease,Malaria,Measles,Measles,Measles
Reporting Area,Listeriosis,Total,Confirmed,Probable,Malaria,Total,Indigenous,Imported
United States,864,33666,23558,10108,1748,375,296,79
New England,78,6395,4328,2067,96,6,2,4
Connecticut,18,1859,1268,591,12,3,1,2
Maine,7,1405,1111,294,9,—,—,—
Massachusetts,32,16,13,3,55,2,1,1
New Hampshire,9,1428,927,501,7,—,—,—
Rhode Island,7,1111,661,450,12,—,—,—
Vermont,5,576,348,228,1,1,—,1
Middle Atlantic,189,17846,13242,4604,451,226,200,26
New Jersey,36,4000,2876,1124,93,37,33,4
New York (excluding New York City),60,2886,2076,810,61,127,114,13
New York City,36,752,370,382,204,60,53,7
Pennsylvania,57,10208,7920,2288,93,2,—,2
East North Central,109,2855,1809,1046,179,25,15,10
Illinois,22,276,189,87,65,5,2,3
Indiana,17,155,72,83,14,1,—,1
Michigan,23,262,184,78,29,19,13,6
Ohio,30,293,243,50,55,—,—,—
Wisconsin,17,1869,1121,748,16,—,—,—
West North Central,41,1920,1078,842,132,38,33,5
Iowa,9,283,91,192,22,—,—,—
Kansas,6,30,8,22,9,21,20,1
Minnesota,10,1541,950,591,59,3,—,3
Missouri,15,11,3,8,16,14,13,1
Nebraska,—,15,8,7,11,—,—,—
North Dakota,—,33,14,19,6,—,—,—
South Dakota,1,7,4,3,9,—,—,—
South Atlantic,196,4230,2921,1309,461,27,18,9
Delaware,5,520,505,15,11,—,—,—
District of Columbia,2,79,57,22,19,1,—,1
Florida,47,169,98,71,58,15,11,4
Georgia,31,19,4,15,65,—,—,—
Maryland,18,1382,894,488,186,1,—,1
North Carolina,38,212,56,156,53,3,2,1
South Carolina,15,39,9,30,—,6,5,1
Virginia,34,1139,744,395,66,1,—,1
West Virginia,6,671,554,117,3,—,—,—
East South Central,34,91,37,54,34,1,—,1
Alabama,11,36,20,16,9,—,—,—
Kentucky,2,22,4,18,10,—,—,—
Mississippi,6,4,1,3,3,—,—,—
Tennessee,15,29,12,17,12,1,—,1
West South Central,75,55,22,33,161,15,6,9
Arkansas,5,4,—,4,2,1,—,1
Louisiana,7,4,2,2,9,2,—,2
Oklahoma,9,—,—,—,6,3,—,3
Texas,54,47,20,27,144,9,6,3
Mountain,24,69,36,33,77,2,1,1
Arizona,6,7,7,—,24,—,—,—
Colorado,8,3,3,—,21,—,—,—
Idaho,1,9,5,4,3,—,—,—
Montana,—,7,5,2,3,—,—,—
Nevada,2,14,5,9,10,2,1,1
New Mexico,4,2,—,2,4,—,—,—
Utah,2,27,11,16,10,—,—,—
Wyoming,1,—,—,—,2,—,—,—
Pacific,118,205,85,120,157,35,21,14
Alaska,1,11,8,3,6,—,—,—
California,87,104,62,42,97,22,12,10
Hawaii,6,N,N,N,2,—,—,—
Oregon,9,70,7,63,12,5,3,2
Washington,15,20,8,12,40,8,6,2
Territories,2,1,1,—,—,—,—,—
American Samoa,N,N,N,N,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,1,1,—,—,—,—,—
Puerto Rico,2,N,N,N,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
