Disease,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Unknown,Total
Anthrax,—,—,—,—,—,—,—,—,1,—,—,—,—,1
Arboviral diseases,,,,,,,,,,,,,,
Chikungunya virus disease,7,4,4,11,9,11,18,17,13,9,4,10,—,117
Eastern equine encephalitis virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,2,—,2,1,1,—,—,—,6
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,1,2,2,5,4,6,5,—,—,—,25
Non-neuroinvasive,—,—,—,—,1,3,5,1,4,—,1,1,—,16
La Crosse virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,3,17,24,21,14,3,1,—,83
Non-neuroinvasive,—,—,—,—,—,1,—,—,2,—,—,—,—,3
Powassan virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,1,1,2,5,6,—,1,2,2,1,—,21
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
St. Louis encephalitis virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,1,1,2,1,—,—,5
Non-neuroinvasive,—,—,—,—,—,—,2,—,—,1,—,—,—,3
West Nile virus disease,,,,,,,,,,,,,,
Neuroinvasive,2,2,—,2,3,4,146,546,710,160,58,24,—,1657
Non-neuroinvasive,—,—,1,1,3,9,146,354,406,48,12,9,—,989
Western equine encephalitis virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Babesiosis,,,,,,,,,,,,,,
Total,10,17,16,15,39,385,682,412,222,104,75,183,—,2160
Confirmed,8,10,11,9,26,327,601,372,184,91,63,159,—,1861
Probable,2,7,5,6,13,58,81,40,38,13,12,24,—,299
Botulism,,,,,,,,,,,,,,
Total,17,14,19,18,14,21,13,16,22,20,21,30,—,225
Foodborne,1,—,—,2,—,3,3,—,1,1,1,5,—,17
Infant,14,11,17,11,10,12,6,12,11,15,17,21,—,157
Other (wound & unspecified),2,3,2,5,4,6,4,4,10,4,3,4,—,51
Brucellosis,3,5,14,17,15,14,10,12,14,6,14,14,—,138
Campylobacteriosis,3244,3321,4836,4699,5407,9038,7607,6864,7124,5220,4796,8044,—,70200
Chancroid,—,—,1,1,—,—,—,1,—,—,—,—,—,3
Chlamydia trachomatis  infection,126499,134590,169317,136608,135445,163507,131200,144821,176966,141520,128844,169351,—,1758668
Cholera,—,2,—,—,1,1,1,—,4,2,1,2,—,14
Coccidioidomycosis  †,1880,1304,1389,995,1131,1356,1197,1160,1354,1211,1127,1507,—,15611
Cryptosporidiosis,,,,,,,,,,,,,,
Total,539,533,780,779,795,1202,1452,1768,1774,1023,781,1107,—,12533
Confirmed,347,328,508,512,521,854,1100,1316,1351,765,566,812,—,8980
Probable,192,205,272,267,274,348,352,452,423,258,215,295,—,3553
Cyclosporiasis,4,7,15,22,148,1147,1639,325,113,26,20,53,—,3519
Dengue virus infections  §,,,,,,,,,,,,,,
Dengue,19,9,5,13,14,20,49,56,47,50,70,72,—,424
Dengue-like illness,2,1,—,2,—,3,2,6,8,3,6,8,—,41
Severe dengue,—,—,—,—,—,—,1,—,2,2,2,2,—,9
Diphtheria,—,—,—,—,—,—,—,—,—,1,—,—,—,1
Ehrlichiosis and Anaplasmosis,,,,,,,,,,,,,,
Anaplasma phagocytophilum  infection,15,30,40,93,414,1202,762,424,378,246,227,177,—,4008
Ehrlichia chaffeensis  infection,7,15,22,37,136,464,376,227,211,88,47,169,—,1799
Ehrlichia ewingii  infection,—,—,—,—,1,8,13,3,4,2,2,—,—,33
Undetermined ehrlichiosis/anaplasmosis,3,1,8,8,23,78,54,31,30,20,16,11,—,283
Giardiasis,929,1021,1338,994,1039,1338,1334,1638,1974,1266,1005,1672,—,15548
Gonorrhea,42421,41729,51973,42765,43558,55240,45523,48239,60385,48206,44278,59088,—,583405
"Haemophilus influenzae,  invasive disease",,,,,,,,,,,,,,
"All ages, all serotypes",555,478,582,441,425,556,365,299,428,351,369,724,—,5573
Age <5 years,,,,,,,,,,,,,,
Serotype b,3,3,1,5,5,8,1,2,2,2,1,5,—,38
Non-b serotype,13,25,21,17,13,14,13,5,15,10,14,31,—,191
Nontypeable,18,29,27,14,18,23,7,13,17,14,15,27,—,222
Unknown serotype,14,11,17,18,14,14,10,9,13,8,13,34,—,175
Hansen's disease,4,7,8,5,7,10,4,19,6,11,4,5,—,90
"Hantavirus infection, non-hantavirus pulmonary syndrome",—,—,—,—,—,—,—,2,—,—,—,—,—,2
Hantavirus pulmonary syndrome,1,1,2,1,1,2,2,1,3,1,1,2,—,18
Hemolytic uremic syndrome post-diarrheal,9,3,20,31,34,45,59,34,56,24,39,22,—,376
Hepatitis  ¶,,,,,,,,,,,,,,
"A, acute",249,295,411,486,524,1101,1011,1228,1702,1538,1565,2364,—,12474
"B, acute",206,247,291,260,219,316,264,256,339,261,249,414,—,3322
"B, perinatal infection",3,3,2,2,2,—,3,3,—,—,2,3,—,23
"C, acute",293,326,418,357,432,428,336,373,544,355,296,610,—,4768
Confirmed,250,277,347,290,332,344,266,269,333,255,213,445,—,3621
Probable,43,49,71,67,100,84,70,104,211,100,83,165,—,1147
"C, perinatal infection",15,20,24,20,25,22,8,9,22,13,12,24,—,214
Human immunodeficiency virus diagnoses,3151,2894,3225,3004,3224,3173,3176,3264,2734,2848,1788,517,1,32999
Influenza-associated pediatric mortality,36,53,24,18,9,4,—,2,1,4,1,7,—,159
Invasive pneumococcal disease  **,,,,,,,,,,,,,,
All ages,2820,2386,2417,1892,1565,1340,741,621,993,1059,1263,2760,—,19857
Confirmed,2789,2364,2383,1874,1549,1325,725,611,981,1048,1242,2728,—,19619
Probable,31,22,34,18,16,15,16,10,12,11,21,32,—,238
Age <5 years,101,122,132,91,85,92,36,37,78,84,91,167,—,1116
Confirmed,98,118,126,90,84,89,32,35,77,82,87,160,—,1078
Probable,3,4,6,1,1,3,4,2,1,2,4,7,—,38
Legionellosis,313,280,392,256,387,1233,1046,1311,1664,1384,738,929,—,9933
Leptospirosis,6,4,6,2,4,10,7,7,24,6,4,11,—,91
Listeriosis,31,39,57,48,44,86,88,119,108,76,72,96,—,864
Lyme disease,,,,,,,,,,,,,,
Total,996,1112,1306,1282,2018,6171,6782,4549,3330,2270,1792,2058,—,33666
Confirmed,647,706,802,808,1275,4424,5023,3296,2329,1574,1273,1401,—,23558
Probable,349,406,504,474,743,1747,1759,1253,1001,696,519,657,—,10108
Malaria,99,89,78,117,135,223,152,197,240,145,98,175,—,1748
Measles,,,,,,,,,,,,,,
Total,10,5,28,29,13,13,13,12,9,43,72,128,—,375
Indigenous,5,2,21,19,6,4,7,8,5,28,70,121,—,296
Imported,5,3,7,10,7,9,6,4,4,15,2,7,—,79
Meningococcal disease,,,,,,,,,,,,,,
All serogroups,37,38,38,21,26,21,21,14,21,20,23,47,—,327
Serogroups ACWY,11,10,11,10,7,8,7,3,5,9,10,9,—,100
Serogroup B,9,12,9,5,7,5,8,5,6,6,6,3,—,81
Other serogroups,3,4,5,—,1,—,—,—,4,1,3,2,—,23
Unknown serogroup,14,12,13,6,11,8,6,6,6,4,4,33,—,123
Mumps,266,298,352,245,286,137,100,127,128,135,124,317,—,2515
Novel Influenza A virus infections,—,—,—,—,—,1,—,13,—,—,—,—,—,14
Paratyphoid fever  ††,13,10,12,12,9,12,13,11,17,7,8,9,—,133
Pertussis,1013,988,1219,1100,1294,1509,1233,1114,1322,1085,1280,2452,—,15609
Plague,—,—,—,—,—,1,—,—,—,—,—,—,—,1
"Poliomyelitis, paralytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—
Psittacosis,—,—,3,1,—,2,—,1,9,3,1,2,—,22
Q fever,,,,,,,,,,,,,,
Total,10,9,32,26,26,20,16,20,18,7,11,20,—,215
Acute,8,6,30,22,20,17,13,18,16,7,9,12,—,178
Chronic,2,3,2,4,6,3,3,2,2,—,2,8,—,37
Rabies,,,,,,,,,,,,,,
Animal,213,225,405,445,483,418,543,728,566,466,277,215,—,4984
Human,1,—,—,—,—,—,—,—,1,1,—,—,—,3
Rubella,—,—,1,—,1,—,—,—,—,2,—,—,—,4
"Rubella, congenital syndrome",—,—,—,—,—,—,—,—,—,—,—,—,—,—
Salmonellosis (excluding paratyphoid fever and typhoid fever)  §§,2112,2489,3227,3014,3783,6710,6813,7345,9233,6091,4264,5918,—,60999
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  (STEC),553,574,975,1172,1184,2164,1887,1867,1744,1219,917,1740,—,15996
Shigellosis,855,796,1279,1013,1123,1588,1503,1643,1719,1365,1403,2046,—,16333
Smallpox,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,,,,,,,,,
Total,53,57,175,239,516,1338,929,742,766,346,175,208,—,5544
Confirmed,1,2,6,9,12,33,19,13,16,3,2,8,—,124
Probable,52,55,169,230,504,1305,910,729,750,343,173,200,—,5420
Streptococcal toxic shock syndrome,50,45,55,31,26,34,29,18,14,12,24,33,—,371
Syphilis,,,,,,,,,,,,,,
"Total, all stages  ¶¶",8162,8731,11132,9134,8884,10756,8664,9113,11591,9302,8532,11044,—,115045
Congenital,107,84,106,95,89,105,115,112,136,128,116,113,—,1306
Primary and secondary,2413,2581,3354,2750,2685,3326,2767,2736,3700,2850,2634,3267,—,35063
Tetanus,—,—,—,3,4,2,1,5,1,2,3,2,—,23
Toxic shock syndrome (other than Streptococcal),—,6,2,2,3,4,2,2,2,3,4,3,—,33
Trichinellosis,—,—,—,—,1,—,—,—,—,—,—,—,—,1
Tuberculosis,506,587,770,766,770,817,717,853,636,789,737,1077,—,9025
Tularemia,—,2,3,7,22,42,54,32,15,25,5,22,—,229
Typhoid fever,28,23,34,36,35,24,28,43,61,23,8,58,—,401
Vancomycin-intermediate  Staphylococcus aureus,5,8,13,3,8,10,7,2,6,5,7,11,—,85
Vancomycin-resistant  Staphylococcus aureus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Varicella morbidity,512,577,791,685,761,769,493,506,824,639,646,998,—,8201
Varicella mortality,—,1,2,—,1,1,1,—,—,—,—,—,—,6
Vibriosis,,,,,,,,,,,,,,
Total,63,84,128,131,118,324,400,507,389,234,166,420,—,2964
Confirmed,29,38,63,56,68,229,275,355,240,137,84,248,—,1822
Probable,34,46,65,75,50,95,125,152,149,97,82,172,—,1142
Viral hemorrhagic fevers,,,,,,,,,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Yellow fever,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Zika virus,,,,,,,,,,,,,,
"Zika virus disease, congenital  ***",—,—,—,—,1,—,—,1,—,—,—,—,—,2
"Zika virus disease, non-congenital",12,7,7,6,2,3,11,10,4,8,4,5,—,79
"Zika virus infection, congenital  ***",2,2,1,—,1,—,—,—,—,1,—,1,—,8
"Zika virus infection, non-congenital",18,28,21,31,19,14,14,14,23,19,11,33,—,245
