Reporting Area,Typhoid fever,Vancomycin-intermediate  Staphylococcus aureus,Vancomycin-resistant  Staphylococcus aureus,Varicella morbidity,Varicella mortality,Vibriosis,Vibriosis,Vibriosis
Reporting Area,Typhoid fever,Vancomycin-intermediate  Staphylococcus aureus,Vancomycin-resistant  Staphylococcus aureus,Varicella morbidity,Varicella mortality,Total,Confirmed,Probable
United States,376,108,—,8953,3,1273,1241,32
New England,21,2,—,816,—,104,102,2
Connecticut,7,—,—,113,—,17,17,—
Maine,1,1,—,228,—,7,7,—
Massachusetts,12,1,—,288,N,63,62,1
New Hampshire,—,N,—,85,—,6,5,1
Rhode Island,1,—,—,52,—,11,11,—
Vermont,—,—,—,50,—,—,—,—
Middle Atlantic,87,17,—,1103,1,130,123,7
New Jersey,37,4,—,446,—,31,30,1
New York (excluding New York City),20,6,—,N,N,52,48,4
New York City,22,4,—,—,—,19,18,1
Pennsylvania,8,3,—,657,1,28,27,1
East North Central,51,27,—,2049,—,77,74,3
Illinois,17,9,—,469,—,33,33,—
Indiana,7,N,—,209,—,12,12,—
Michigan,7,4,—,531,—,9,7,2
Ohio,12,8,—,450,N,13,13,—
Wisconsin,8,6,—,390,—,10,9,1
West North Central,24,26,—,817,—,51,40,11
Iowa,2,1,—,N,N,N,N,N
Kansas,2,—,—,230,—,5,5,—
Minnesota,11,2,—,336,—,31,21,10
Missouri,4,23,—,149,—,6,6,—
Nebraska,3,—,—,25,—,1,—,1
North Dakota,—,—,—,45,—,3,3,—
South Dakota,2,N,—,32,—,5,5,—
South Atlantic,50,11,—,1407,—,399,397,2
Delaware,1,1,—,12,—,12,12,—
District of Columbia,—,N,N,24,—,4,4,—
Florida,12,4,—,733,—,187,186,1
Georgia,8,1,—,169,—,30,30,—
Maryland,9,—,—,N,—,69,68,1
North Carolina,6,1,—,N,N,33,33,—
South Carolina,1,3,—,185,—,22,22,—
Virginia,12,1,—,284,N,40,40,—
West Virginia,1,—,—,N,—,2,2,—
East South Central,6,4,—,116,—,63,62,1
Alabama,—,3,—,107,—,32,32,—
Kentucky,2,N,N,N,—,6,6,—
Mississippi,3,1,—,9,N,8,8,—
Tennessee,1,—,—,N,—,17,16,1
West South Central,41,19,—,1559,—,154,154,—
Arkansas,1,—,—,140,N,2,2,—
Louisiana,—,5,—,78,—,48,48,—
Oklahoma,3,1,—,N,N,3,3,—
Texas,37,13,—,1341,—,101,101,—
Mountain,15,2,—,988,—,54,52,2
Arizona,9,1,—,279,—,19,19,—
Colorado,4,N,—,331,N,18,18,—
Idaho,—,N,N,N,N,N,N,N
Montana,—,—,—,77,—,2,2,—
Nevada,1,1,—,N,N,3,2,1
New Mexico,—,N,N,58,N,—,—,—
Utah,1,—,—,229,—,11,10,1
Wyoming,—,—,—,14,N,1,1,—
Pacific,81,—,—,98,2,241,237,4
Alaska,1,N,—,19,—,8,8,—
California,60,N,N,44,2,126,126,—
Hawaii,3,—,—,35,—,23,22,1
Oregon,4,N,N,N,N,21,19,2
Washington,13,N,—,N,—,63,62,1
Territories,—,—,—,102,—,—,—,—
American Samoa,—,N,N,N,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,19,N,—,—,—
Puerto Rico,—,—,—,83,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
