Reporting Area,Human immunodeficiency virus diagnoses,Influenza-associated pediatric mortality,Invasive pneumococcal disease  §,Invasive pneumococcal disease  §,Invasive pneumococcal disease  §,Invasive pneumococcal disease  §,Legionellosis,Leptospirosis
Reporting Area,Human immunodeficiency virus diagnoses,Influenza-associated pediatric mortality,All ages,All ages,Age <5 years,Age <5 years,Legionellosis,Leptospirosis
Reporting Area,Human immunodeficiency virus diagnoses,Influenza-associated pediatric mortality,Confirmed,Probable,Confirmed,Probable,Legionellosis,Leptospirosis
"U.S. Residents, excluding U.S. Territories",31723,160,19689,262,1091,24,8890,94
New England,723,7,1139,6,48,—,488,—
Connecticut,165,1,254,—,11,—,119,N
Maine,30,1,169,—,5,—,30,—
Massachusetts,437,4,446,4,23,—,247,—
New Hampshire,27,—,130,—,1,—,32,—
Rhode Island,54,—,84,1,7,—,48,—
Vermont,10,1,56,1,1,—,12,—
Middle Atlantic,3893,14,2963,61,137,2,1949,9
New Jersey,860,6,621,35,27,—,318,—
New York (excluding New York City),594,4,900,1,38,1,606,N
New York City,1511,2,770,15,37,—,446,6
Pennsylvania,928,2,672,10,35,1,579,3
East North Central,3241,20,3390,66,185,9,2445,12
Illinois,1108,7,N,N,36,1,614,3
Indiana,466,2,728,2,32,—,263,3
Michigan,652,3,979,21,47,1,551,3
Ohio,821,4,1232,43,47,7,785,—
Wisconsin,194,4,451,—,23,—,232,3
West North Central,1074,16,1559,49,80,1,513,8
Iowa,92,1,N,N,N,N,68,N
Kansas,119,2,—,—,—,—,66,N
Minnesota,265,3,527,—,34,—,118,1
Missouri,470,5,667,44,17,1,183,4
Nebraska,78,4,192,1,15,—,46,3
North Dakota,31,—,76,—,9,—,9,N
South Dakota,19,1,97,4,5,—,23,—
South Atlantic,10346,26,3236,29,221,3,1613,15
Delaware,88,—,70,1,4,—,35,—
District of Columbia,233,—,55,—,2,—,41,—
Florida,4341,7,868,16,87,3,448,7
Georgia,1969,4,942,—,54,—,171,1
Maryland,783,5,466,2,24,—,273,2
North Carolina,1339,5,N,N,N,N,305,3
South Carolina,665,—,489,9,18,—,67,—
Virginia,806,5,21,—,20,—,191,—
West Virginia,122,—,325,1,12,—,82,2
East South Central,1912,8,1936,6,92,—,389,1
Alabama,536,2,433,1,28,—,72,—
Kentucky,232,3,383,1,13,—,121,1
Mississippi,421,—,327,—,25,—,47,N
Tennessee,723,3,793,4,26,—,149,N
West South Central,4423,27,2745,37,207,7,589,1
Arkansas,265,1,385,—,33,—,66,N
Louisiana,901,2,429,1,21,—,50,1
Oklahoma,188,1,N,N,18,—,52,—
Texas,3069,23,1931,36,135,7,421,N
Mountain,1825,17,2459,6,110,1,309,4
Arizona,646,2,738,2,33,—,93,—
Colorado,431,3,585,1,18,—,90,N
Idaho,21,—,N,N,8,—,25,N
Montana,25,—,130,1,5,—,14,1
Nevada,442,4,381,—,12,—,25,—
New Mexico,121,5,363,—,17,—,21,—
Utah,126,3,225,2,16,1,38,3
Wyoming,13,—,37,—,1,—,3,—
Pacific,4286,25,262,2,11,1,595,44
Alaska,27,2,152,2,4,1,2,—
California,3533,18,N,N,N,N,451,8
Hawaii,57,—,110,—,7,—,11,30
Oregon,186,2,N,N,N,N,55,2
Washington,483,3,N,N,N,N,76,4
Territories,345,—,2,—,—,—,4,95
American Samoa,—,—,N,N,N,N,N,—
Commonwealth of Northern Mariana Islands,2,—,—,—,—,—,—,—
Guam,9,—,—,—,—,—,1,2
Puerto Rico,334,—,2,—,—,—,3,93
U.S. Virgin Islands,—,—,—,—,—,—,—,—
