Reporting Area,"Hantavirus infection, non-hantavirus pulmonary syndrome",Hantavirus pulmonary syndrome,Hemolytic uremic syndrome post-diarrheal,Hepatitis *,Hepatitis *,Hepatitis *,Hepatitis *,Hepatitis *
Reporting Area,"Hantavirus infection, non-hantavirus pulmonary syndrome",Hantavirus pulmonary syndrome,Hemolytic uremic syndrome post-diarrheal,"A, acute","B, acute","B, perinatal infection","C, acute","C, acute"
Reporting Area,"Hantavirus infection, non-hantavirus pulmonary syndrome",Hantavirus pulmonary syndrome,Hemolytic uremic syndrome post-diarrheal,"A, acute","B, acute","B, perinatal infection",Confirmed,Probable
United States,2,33,338,3365,3409,31,3213,1012
New England,—,—,18,91,139,—,391,61
Connecticut,N,N,4,17,10,—,9,—
Maine,—,—,2,7,77,—,21,11
Massachusetts,—,—,9,52,51,—,327,41
New Hampshire,—,—,3,7,—,—,25,9
Rhode Island,—,—,—,6,U,—,U,U
Vermont,—,—,—,2,1,—,9,—
Middle Atlantic,—,2,15,358,207,7,537,45
New Jersey,—,—,2,71,57,—,125,22
New York (excluding New York City),—,2,4,83,37,1,178,23
New York City,—,—,9,135,44,4,10,—
Pennsylvania,—,—,—,69,69,2,224,—
East North Central,1,—,30,824,557,5,635,207
Illinois,—,—,3,73,27,—,39,11
Indiana,—,—,4,21,170,1,191,45
Michigan,—,—,6,669,61,1,152,81
Ohio,—,—,4,45,285,3,159,70
Wisconsin,1,—,13,16,14,—,94,—
West North Central,—,3,46,77,102,—,147,9
Iowa,—,—,8,9,12,—,U,U
Kansas,N,1,13,6,24,—,19,2
Minnesota,—,1,9,30,23,—,57,2
Missouri,N,—,12,27,31,—,49,—
Nebraska,—,—,3,4,10,—,2,3
North Dakota,—,—,1,—,—,—,1,1
South Dakota,—,1,—,1,2,—,19,1
South Atlantic,—,—,47,425,1240,3,781,277
Delaware,—,—,1,6,9,—,4,3
District of Columbia,N,—,—,3,U,U,U,U
Florida,—,—,11,261,588,—,357,70
Georgia,—,—,11,24,106,1,100,35
Maryland,—,—,3,29,34,—,32,10
North Carolina,—,—,7,29,190,2,114,71
South Carolina,—,—,1,21,40,—,13,1
Virginia,N,—,12,46,61,—,59,22
West Virginia,—,—,1,6,212,—,102,65
East South Central,—,—,15,103,577,3,242,240
Alabama,N,N,—,23,82,1,17,21
Kentucky,—,—,6,71,236,1,83,150
Mississippi,—,—,1,3,44,1,U,U
Tennessee,—,—,8,6,215,—,142,69
West South Central,—,2,50,153,266,3,89,60
Arkansas,N,—,7,7,46,—,1,—
Louisiana,—,—,1,8,73,1,7,4
Oklahoma,N,—,18,9,41,—,46,35
Texas,—,2,24,129,106,2,35,21
Mountain,—,17,45,331,118,2,201,65
Arizona,—,2,10,59,26,1,U,U
Colorado,—,4,14,65,32,—,42,8
Idaho,N,—,5,4,6,—,8,4
Montana,—,—,2,3,3,—,14,1
Nevada,—,3,2,19,30,1,35,9
New Mexico,—,5,—,4,1,—,16,16
Utah,—,2,12,159,18,—,81,27
Wyoming,—,1,—,18,2,—,5,—
Pacific,1,9,72,1003,203,8,190,48
Alaska,—,—,1,—,9,—,N,N
California,1,3,61,947,126,5,103,22
Hawaii,—,—,2,8,—,2,—,—
Oregon,—,1,8,20,23,1,35,5
Washington,N,5,N,28,45,—,52,21
Territories,—,—,—,10,112,6,1,—
American Samoa,—,N,N,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,N,—,3,109,6,1,—
Puerto Rico,—,—,N,7,3,—,N,N
U.S. Virgin Islands,—,—,—,—,—,—,—,—
