Reporting Area,Tetanus,Toxic shock syndrome (other than Streptococcal),Trichinellosis,Tuberculosis,Tularemia
"U.S. Residents, excluding U.S. Territories",26,44,7,8916,274
New England,1,1,—,287,6
Connecticut,—,N,—,67,—
Maine,—,—,—,18,1
Massachusetts,1,—,—,178,4
New Hampshire,—,1,—,6,1
Rhode Island,—,—,—,14,—
Vermont,—,—,—,4,—
Middle Atlantic,2,13,—,1263,7
New Jersey,—,—,—,311,2
New York (excluding New York City),1,1,—,188,3
New York City,1,12,—,566,—
Pennsylvania,—,—,—,198,2
East North Central,2,11,—,766,5
Illinois,—,1,—,326,1
Indiana,1,—,—,108,—
Michigan,1,7,—,131,1
Ohio,—,2,—,150,—
Wisconsin,—,1,—,51,3
West North Central,1,4,—,359,78
Iowa,—,N,N,52,3
Kansas,—,—,—,38,10
Minnesota,—,—,—,148,1
Missouri,—,2,—,70,24
Nebraska,—,2,—,17,18
North Dakota,—,—,—,18,5
South Dakota,1,—,—,16,17
South Atlantic,5,—,—,1577,11
Delaware,—,—,—,19,—
District of Columbia,—,—,—,24,—
Florida,4,N,—,558,—
Georgia,—,—,N,299,1
Maryland,—,N,—,210,2
North Carolina,—,—,—,185,3
South Carolina,1,—,—,80,—
Virginia,—,N,—,192,5
West Virginia,—,—,—,10,—
East South Central,3,2,—,337,26
Alabama,—,—,—,87,4
Kentucky,1,—,—,66,13
Mississippi,2,N,—,56,1
Tennessee,—,2,—,128,8
West South Central,3,1,—,1385,118
Arkansas,—,1,—,64,93
Louisiana,—,—,—,89,—
Oklahoma,1,N,—,73,25
Texas,2,N,—,1159,—
Mountain,4,12,—,379,14
Arizona,1,—,—,183,3
Colorado,1,7,—,66,6
Idaho,—,—,—,7,—
Montana,1,—,—,2,2
Nevada,—,2,—,52,—
New Mexico,1,2,—,41,2
Utah,—,1,—,27,—
Wyoming,—,—,—,1,1
Pacific,5,—,7,2563,9
Alaska,—,N,2,58,—
California,2,—,—,2113,4
Hawaii,1,N,—,99,—
Oregon,—,N,5,70,1
Washington,2,N,—,223,4
Territories,—,—,—,168,—
American Samoa,—,N,N,1,—
Commonwealth of Northern Mariana Islands,—,—,—,51,—
Guam,—,—,—,79,—
Puerto Rico,—,N,N,36,—
U.S. Virgin Islands,—,—,—,1,—
