Reporting Area,Giardiasis,Gonorrhea,"Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease","Haemophilus influenzae,  invasive disease",Hansen's disease
Reporting Area,Giardiasis,Gonorrhea,"All ages, all serotypes",Age <5 years,Age <5 years,Age <5 years,Age <5 years,Hansen's disease
Reporting Area,Giardiasis,Gonorrhea,"All ages, all serotypes",Serotype b,Nontypeable,Unknown serotype,Non-b serotype,Hansen's disease
United States,15548,583405,5573,38,222,175,191,90
New England,1100,15943,289,3,13,1,6,1
Connecticut,197,4959,67,—,—,—,1,1
Maine,163,710,24,—,3,—,—,N
Massachusetts,560,8076,128,1,6,1,4,—
New Hampshire,124,594,26,1,—,—,—,—
Rhode Island,56,1336,25,1,1,—,1,—
Vermont,N,268,19,—,3,—,—,N
Middle Atlantic,3064,62216,838,11,34,11,9,5
New Jersey,353,9067,185,—,—,7,—,—
New York (excluding New York City),935,11194,239,3,11,2,2,N
New York City,1114,26068,154,2,10,—,4,4
Pennsylvania,662,15887,260,6,13,2,3,1
East North Central,1867,87331,964,13,45,4,30,4
Illinois,N,25422,238,2,14,2,4,2
Indiana,224,12193,167,4,9,1,5,1
Michigan,459,16688,174,2,8,1,10,1
Ohio,508,25146,269,4,11,—,9,—
Wisconsin,676,7882,116,1,3,—,2,—
West North Central,1440,38481,407,1,—,34,13,2
Iowa,260,4839,—,—,—,—,—,1
Kansas,128,5256,55,—,—,—,2,—
Minnesota,508,7542,101,—,—,15,—,1
Missouri,255,15090,165,—,—,15,—,—
Nebraska,126,2696,38,1,—,—,6,—
North Dakota,49,1369,18,—,—,1,2,N
South Dakota,114,1689,30,—,—,3,3,—
South Atlantic,2681,120192,1253,3,34,40,33,20
Delaware,24,1691,22,—,—,—,—,1
District of Columbia,87,4240,22,—,—,2,—,—
Florida,1105,32644,310,—,13,19,13,18
Georgia,651,20867,233,—,1,12,9,1
Maryland,165,10305,137,—,4,1,2,—
North Carolina,N,23725,210,1,14,—,5,—
South Carolina,210,13801,113,—,—,3,—,—
Virginia,334,11776,152,—,2,3,3,—
West Virginia,105,1143,54,2,—,—,1,N
East South Central,218,44588,462,1,15,12,23,2
Alabama,218,12742,113,—,6,4,4,—
Kentucky,N,7470,116,1,1,5,7,—
Mississippi,N,9749,73,—,—,2,9,—
Tennessee,N,14627,160,—,8,1,3,2
West South Central,362,75572,722,2,45,13,33,28
Arkansas,140,7300,59,—,3,1,5,4
Louisiana,222,12043,84,—,5,2,1,10
Oklahoma,N,8998,115,1,9,2,6,N
Texas,N,47231,464,1,28,8,21,14
Mountain,1334,39028,428,4,28,8,26,2
Arizona,149,12870,134,1,13,4,12,—
Colorado,530,8894,94,1,5,—,1,—
Idaho,138,1134,21,—,1,—,1,—
Montana,89,1181,17,1,—,—,1,—
Nevada,80,6475,42,—,1,2,1,—
New Mexico,67,5268,57,1,3,1,6,—
Utah,233,2895,55,—,5,1,3,2
Wyoming,48,311,8,—,—,—,1,—
Pacific,3482,100054,210,—,8,52,18,26
Alaska,71,2247,37,—,1,—,15,1
California,2607,79192,31,—,—,31,—,8
Hawaii,43,1495,40,—,—,9,—,17
Oregon,323,5913,89,—,7,—,3,N
Washington,438,11207,13,—,—,12,—,N
Territories,24,865,3,—,—,—,—,—
American Samoa,—,13,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,34,—,—,—,—,—,—
Guam,—,261,1,—,—,—,—,—
Puerto Rico,24,557,2,—,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
