Reporting Area,Cyclosporiasis,Dengue virus infections *,Dengue virus infections *,Dengue virus infections *,Diphtheria,Ehrlichiosis and Anaplasmosis,Ehrlichiosis and Anaplasmosis,Ehrlichiosis and Anaplasmosis,Ehrlichiosis and Anaplasmosis
Reporting Area,Cyclosporiasis,Dengue,Dengue-like illness,Severe dengue,Diphtheria,Anaplasma phagocytophilum  infection,Ehrlichia chaffeensis  infection,Ehrlichia ewingii  infection,Undetermined ehrlichiosis/anaplasmosis
United States,3519,424,41,9,1,4008,1799,33,283
New England,70,10,7,—,—,1843,155,—,19
Connecticut,27,3,3,—,—,102,—,N,N
Maine,—,—,3,—,—,476,19,—,9
Massachusetts,33,2,—,—,—,658,20,—,—
New Hampshire,6,3,1,—,—,214,20,—,—
Rhode Island,3,1,—,—,—,149,79,—,—
Vermont,1,1,—,—,—,244,17,—,10
Middle Atlantic,209,59,2,2,—,1141,221,—,26
New Jersey,62,20,—,—,—,118,94,—,7
New York (excluding New York City),60,9,—,—,—,850,101,—,10
New York City,87,19,2,—,—,65,17,—,—
Pennsylvania,N,11,—,2,—,108,9,—,9
East North Central,1777,26,12,2,—,397,128,1,151
Illinois,1256,5,7,1,—,15,39,1,1
Indiana,79,2,—,—,—,—,—,—,67
Michigan,30,5,5,—,—,14,7,—,—
Ohio,92,7,—,—,—,2,15,—,—
Wisconsin,320,7,—,1,—,366,67,—,83
West North Central,554,23,1,1,—,531,423,16,63
Iowa,212,5,—,—,—,8,12,1,6
Kansas,23,2,1,—,—,7,58,2,1
Minnesota,156,12,—,1,—,496,11,—,40
Missouri,111,1,—,—,—,16,334,13,13
Nebraska,22,2,—,—,—,—,3,—,—
North Dakota,N,—,—,—,—,3,2,—,3
South Dakota,30,1,—,—,—,1,3,—,—
South Atlantic,233,116,6,2,—,56,376,5,15
Delaware,6,—,—,—,—,15,25,1,—
District of Columbia,8,1,3,—,—,—,3,—,1
Florida,76,84,—,2,—,19,40,—,1
Georgia,35,6,—,—,—,—,—,—,—
Maryland,39,3,1,—,—,9,76,1,2
North Carolina,37,10,2,—,—,5,100,—,—
South Carolina,6,3,—,—,—,—,—,—,2
Virginia,21,8,—,—,—,8,128,3,8
West Virginia,5,1,—,—,—,—,4,—,1
East South Central,18,6,6,1,—,14,225,4,5
Alabama,N,1,1,1,—,5,16,—,3
Kentucky,N,1,2,—,—,1,75,—,2
Mississippi,N,—,—,—,—,4,13,1,—
Tennessee,18,4,3,—,—,4,121,3,—
West South Central,368,22,2,—,1,17,269,7,—
Arkansas,5,—,2,—,—,8,169,5,—
Louisiana,10,2,—,—,—,—,1,—,—
Oklahoma,N,—,—,—,1,5,90,2,—
Texas,353,20,—,—,—,4,9,—,—
Mountain,91,23,3,—,—,4,2,—,1
Arizona,10,9,1,—,—,1,1,—,—
Colorado,45,9,—,—,—,N,N,N,N
Idaho,N,—,—,—,—,N,N,N,N
Montana,10,—,—,—,—,1,—,—,—
Nevada,N,—,2,—,—,1,1,—,1
New Mexico,2,1,—,—,—,N,N,N,N
Utah,21,4,—,—,—,1,—,—,—
Wyoming,3,—,—,—,—,—,—,—,—
Pacific,199,139,2,1,—,5,—,—,3
Alaska,3,1,1,—,—,N,N,N,N
California,170,107,—,—,—,5,—,—,3
Hawaii,1,13,—,—,—,N,N,N,N
Oregon,2,9,1,1,—,—,—,—,—
Washington,23,9,—,—,—,—,—,—,—
Territories,—,157,—,—,1,—,—,—,—
American Samoa,N,150,—,—,—,N,N,N,N
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—,—
Guam,—,3,—,—,1,N,N,N,N
Puerto Rico,—,4,—,—,—,N,N,N,N
U.S. Virgin Islands,—,—,—,—,—,—,—,—,—
