Disease,American Indian or  Alaska Native,American Indian or  Alaska Native,Asian or Pacific  Islander,Asian or Pacific  Islander,Black,Black,White,White,Other Race,Race not stated,Total
Disease,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,No.,No.
Anthrax,S,S,S,S,S,S,S,S,S,S,1
Arboviral diseases,,,,,,,,,,,
Chikungunya virus disease,—,—,33,0.15,6,0.01,31,0.01,7,40,117
Eastern equine encephalitis virus disease,,,,,,,,,,,
Neuroinvasive,S,S,S,S,S,S,S,S,S,S,6
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,,,,,,
Neuroinvasive,—,—,—,—,1,0.00,17,0.01,4,3,25
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,16
La Crosse virus disease,,,,,,,,,,,
Neuroinvasive,3,0.06,—,—,1,0.00,72,0.03,1,6,83
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,3
Powassan virus disease,,,,,,,,,,,
Neuroinvasive,S,S,S,S,S,S,S,S,S,S,21
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
St. Louis encephalitis virus disease,,,,,,,,,,,
Neuroinvasive,S,S,S,S,S,S,S,S,S,S,5
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,3
West Nile virus disease,,,,,,,,,,,
Neuroinvasive,18,0.38,21,0.10,125,0.27,1132,0.44,76,285,1657
Non-neuroinvasive,21,0.44,9,0.04,29,0.06,661,0.26,33,236,989
Western equine encephalitis virus disease,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Babesiosis,,,,,,,,,,,
Total,6,0.18,57,0.31,38,0.10,1294,0.61,97,668,2160
Confirmed,5,0.15,49,0.27,35,0.10,1123,0.53,92,557,1861
Probable,1,0.03,8,0.04,3,0.01,171,0.08,5,111,299
Botulism,,,,,,,,,,,
Total,4,0.08,8,0.04,7,0.02,153,0.06,17,36,225
Foodborne,S,S,S,S,S,S,S,S,S,S,17
Infant,2,2.68,6,2.51,3,0.45,108,3.76,5,33,157
Other (wound & unspecified),—,—,—,—,3,0.01,35,0.01,10,3,51
Brucellosis,3,0.06,6,0.03,12,0.03,76,0.03,20,21,138
Campylobacteriosis,523,11.04,1988,9.20,3631,7.85,43146,16.95,6820,14092,70200
Chancroid,S,S,S,S,S,S,S,S,S,S,3
Chlamydia trachomatis  infection,20089,423.88,29331,135.78,487967,1054.77,543911,213.66,126988,550382,1758668
Cholera,S,S,S,S,S,S,S,S,S,S,14
Coccidioidomycosis  §,192,7.78,478,4.68,575,3.98,4828,4.48,3732,5806,15611
Cryptosporidiosis,,,,,,,,,,,
Total,68,1.43,192,0.89,941,2.03,8837,3.47,665,1830,12533
Confirmed,48,1.01,134,0.62,704,1.52,6158,2.42,505,1431,8980
Probable,20,0.42,58,0.27,237,0.51,2679,1.05,160,399,3553
Cyclosporiasis,13,0.32,67,0.33,136,0.33,2468,1.09,300,535,3519
Dengue virus infections  ¶,,,,,,,,,,,
Dengue,1,0.02,70,0.32,18,0.04,175,0.07,37,123,424
Dengue-like illness,—,—,8,0.04,3,0.01,19,0.01,2,9,41
Severe dengue,S,S,S,S,S,S,S,S,S,S,9
Diphtheria,S,S,S,S,S,S,S,S,S,S,1
Ehrlichiosis and Anaplasmosis,,,,,,,,,,,
Anaplasma phagocytophilum  infection,21,0.50,28,0.14,15,0.03,2684,1.09,145,1115,4008
Ehrlichia chaffeensis  infection,6,0.14,9,0.04,52,0.11,1161,0.47,54,517,1799
Ehrlichia ewingii  infection,—,—,—,—,1,0.00,24,0.01,2,6,33
Undetermined ehrlichiosis/anaplasmosis,1,0.02,2,0.01,2,0.00,206,0.09,26,46,283
