Reporting Area,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease,Meningococcal disease,Mumps,Novel Influenza A virus infections
Reporting Area,All serogroups,Serogroups ACWY,Serogroup B,Other serogroups,Unknown serogroup,Mumps,Novel Influenza A virus infections
United States,353,107,90,25,131,6109,66
New England,17,6,6,2,3,239,—
Connecticut,—,—,—,—,—,13,—
Maine,1,—,—,1,—,1,—
Massachusetts,11,5,3,1,2,191,—
New Hampshire,—,—,—,—,—,4,—
Rhode Island,2,1,1,—,—,29,—
Vermont,3,—,2,—,1,1,—
Middle Atlantic,43,7,17,3,16,702,1
New Jersey,9,—,—,—,9,41,—
New York (excluding New York City),11,1,9,—,1,298,—
New York City,10,5,4,1,—,247,—
Pennsylvania,13,1,4,2,6,116,1
East North Central,44,11,23,6,4,461,20
Illinois,10,4,3,3,—,281,—
Indiana,14,1,9,—,4,42,—
Michigan,5,2,3,—,—,31,2
Ohio,11,3,7,1,—,58,18
Wisconsin,4,1,1,2,—,49,—
West North Central,21,4,1,—,16,805,4
Iowa,2,1,—,—,1,119,2
Kansas,3,3,—,—,—,161,—
Minnesota,5,—,—,—,5,72,—
Missouri,9,—,—,—,9,437,—
Nebraska,2,—,1,—,1,6,1
North Dakota,—,—,—,—,—,10,1
South Dakota,—,—,—,—,—,—,—
South Atlantic,69,33,15,4,17,284,39
Delaware,1,—,—,—,1,3,—
District of Columbia,1,—,1,—,—,49,—
Florida,21,14,6,1,—,74,—
Georgia,12,8,—,1,3,66,—
Maryland,7,6,—,1,—,8,39
North Carolina,9,3,2,—,4,37,—
South Carolina,3,—,—,—,3,—,—
Virginia,12,2,5,—,5,45,—
West Virginia,3,—,1,1,1,2,—
East South Central,15,4,7,1,3,152,—
Alabama,5,—,2,1,2,37,—
Kentucky,2,—,1,—,1,19,—
Mississippi,2,—,2,—,—,26,—
Tennessee,6,4,2,—,—,70,—
West South Central,24,13,3,3,5,1259,1
Arkansas,1,—,—,1,—,542,—
Louisiana,5,1,2,—,2,70,—
Oklahoma,1,—,—,—,1,177,—
Texas,17,12,1,2,2,470,1
Mountain,19,8,5,4,2,174,1
Arizona,4,2,2,—,—,34,—
Colorado,6,4,2,—,—,83,1
Idaho,2,—,—,1,1,5,—
Montana,1,—,—,—,1,6,—
Nevada,2,—,—,2,—,5,—
New Mexico,2,1,1,—,—,1,—
Utah,2,1,—,1,—,40,—
Wyoming,—,—,—,—,—,—,—
Pacific,101,21,13,2,65,2033,—
Alaska,2,2,—,—,—,165,—
California,62,—,—,—,62,190,—
Hawaii,1,—,—,—,1,832,—
Oregon,25,13,10,—,2,67,—
Washington,11,6,3,2,—,779,—
Territories,2,—,—,—,2,2,—
American Samoa,—,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—
Guam,1,—,—,—,1,0,—
Puerto Rico,1,—,—,—,1,1,—
U.S. Virgin Islands,—,—,—,—,—,1,—
