Reporting Area,Human immunodeficiency virus diagnoses,Influenza-associated pediatric mortality,Invasive pneumococcal disease,Invasive pneumococcal disease,Invasive pneumococcal disease,Invasive pneumococcal disease,Legionellosis,Leptospirosis
Reporting Area,Human immunodeficiency virus diagnoses,Influenza-associated pediatric mortality,All ages,All ages,Age <5 years,Age <5 years,Legionellosis,Leptospirosis
Reporting Area,Human immunodeficiency virus diagnoses,Influenza-associated pediatric mortality,Confirmed,Probable,Confirmed,Probable,Legionellosis,Leptospirosis
United States,34775,82,17603,23,1137,5,6141,78
New England,966,4,1106,—,58,—,310,4
Connecticut,201,—,239,—,13,—,78,N
Maine,43,1,133,—,8,—,16,—
Massachusetts,607,2,513,—,31,—,141,2
New Hampshire,39,1,93,—,2,—,28,N
Rhode Island,70,—,65,—,2,—,37,1
Vermont,6,—,63,—,2,—,10,1
Middle Atlantic,4488,6,2724,—,133,—,1301,7
New Jersey,927,1,580,—,22,—,199,—
New York (excluding New York City),687,5,916,—,57,—,463,N
New York City,1856,—,659,—,28,—,268,7
Pennsylvania,1018,—,569,—,26,—,371,—
East North Central,3426,9,3000,11,145,2,1401,12
Illinois,1111,2,N,N,—,—,318,6
Indiana,433,2,688,—,20,—,172,—
Michigan,727,1,908,11,47,2,294,5
Ohio,945,1,987,—,60,—,503,1
Wisconsin,210,3,417,—,18,—,114,—
West North Central,1200,7,1313,6,93,1,370,3
Iowa,137,2,N,N,N,N,33,N
Kansas,132,—,235,1,14,—,32,N
Minnesota,271,3,482,—,32,—,115,1
Missouri,504,—,204,3,13,1,159,1
Nebraska,74,1,184,2,19,—,17,1
North Dakota,42,1,79,—,4,—,5,N
South Dakota,40,—,129,—,11,—,9,—
South Atlantic,11312,12,2940,—,232,—,1094,5
Delaware,103,—,69,—,1,—,26,—
District of Columbia,282,1,75,—,—,—,12,—
Florida,5062,6,619,—,69,—,328,2
Georgia,1857,—,1030,—,75,—,118,—
Maryland,977,2,450,—,28,—,142,3
North Carolina,1353,1,N,N,N,N,232,—
South Carolina,773,1,384,—,11,—,62,—
Virginia,849,1,36,—,36,—,144,N
West Virginia,56,—,277,—,12,—,30,—
East South Central,1699,6,1803,2,105,1,323,—
Alabama,433,—,396,—,28,—,63,—
Kentucky,262,3,255,1,15,1,102,N
Mississippi,390,1,276,—,19,—,32,N
Tennessee,614,2,876,1,43,—,126,N
West South Central,5470,8,2365,2,224,—,411,3
Arkansas,291,—,289,1,23,—,48,N
Louisiana,1239,—,339,1,29,—,33,3
Oklahoma,245,1,N,N,21,—,60,—
Texas,3695,7,1737,—,151,—,270,N
Mountain,1742,14,2134,2,136,1,234,1
Arizona,693,4,716,—,45,—,76,—
Colorado,408,1,513,—,23,—,57,N
Idaho,38,—,N,N,8,1,10,—
Montana,20,2,97,2,8,—,10,—
Nevada,439,3,228,—,12,—,26,—
New Mexico,82,3,301,—,16,—,22,—
Utah,44,1,242,—,22,—,30,1
Wyoming,18,—,37,—,2,—,3,—
Pacific,4472,16,218,—,11,—,697,43
Alaska,35,—,129,—,7,—,1,—
California,3723,14,N,N,N,N,586,6
Hawaii,80,—,89,—,4,—,7,33
Oregon,202,1,N,N,N,N,36,2
Washington,432,1,N,N,N,N,67,2
Territories,417,1,—,—,—,—,13,77
American Samoa,—,—,N,N,N,N,N,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,5,—,—,—,—,—,—,4
Puerto Rico,399,1,—,—,—,—,13,73
U.S. Virgin Islands,13,—,—,—,—,—,—,—
