Disease,Hispanic,Hispanic,Non-Hispanic,Non-Hispanic,Ethnicity not stated,Total
Disease,No.,Rate,No.,Rate,No.,No.
Anthrax,S,S,S,S,S,1
Arboviral diseases,,,,,,
Chikungunya virus disease,11,0.02,67,0.03,39,117
Eastern equine encephalitis virus disease,,,,,,
Neuroinvasive,S,S,S,S,S,6
Non-neuroinvasive,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,
Neuroinvasive,1,0.00,16,0.01,8,25
Non-neuroinvasive,S,S,S,S,S,16
La Crosse virus disease,,,,,,
Neuroinvasive,3,0.01,51,0.02,29,83
Non-neuroinvasive,S,S,S,S,S,3
Powassan virus disease,,,,,,
Neuroinvasive,S,S,S,S,S,21
Non-neuroinvasive,—,—,—,—,—,—
St. Louis encephalitis virus disease,,,,,,
Neuroinvasive,S,S,S,S,S,5
Non-neuroinvasive,S,S,S,S,S,3
West Nile virus disease,,,,,,
Neuroinvasive,150,0.25,1038,0.39,469,1657
Non-neuroinvasive,46,0.08,616,0.23,327,989
Western equine encephalitis virus disease,,,,,,
Neuroinvasive,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—
Babesiosis,,,,,,
Total,240,0.45,1225,0.56,695,2160
Confirmed,221,0.42,1046,0.48,594,1861
Probable,19,0.04,179,0.08,101,299
Botulism,,,,,,
Total,52,0.09,117,0.04,56,225
Foodborne,S,S,S,S,S,17
Infant,34,3.37,83,2.92,40,157
Other (wound & unspecified),15,0.03,25,0.01,11,51
Brucellosis,56,0.09,56,0.02,26,138
Campylobacteriosis,8626,14.41,39542,14.79,22032,70200
Chancroid,S,S,S,S,S,3
Chlamydia trachomatis  infection,231398,386.49,862464,322.66,664806,1758668
Cholera,S,S,S,S,S,14
Coccidioidomycosis  †,2531,9.93,4089,3.74,8991,15611
Cryptosporidiosis,,,,,,
Total,1149,1.92,8187,3.06,3197,12533
Confirmed,887,1.48,5785,2.16,2308,8980
Probable,262,0.44,2402,0.90,889,3553
Cyclosporiasis,500,0.88,2201,0.93,818,3519
Dengue virus infections  §,,,,,,
Dengue,104,0.17,200,0.07,120,424
Dengue-like illness,4,0.01,26,0.01,11,41
Severe dengue,S,S,S,S,S,9
Diphtheria,S,S,S,S,S,1
Ehrlichiosis and Anaplasmosis,,,,,,
Anaplasma phagocytophilum  infection,115,0.20,2511,0.97,1382,4008
Ehrlichia chaffeensis  infection,56,0.10,1246,0.48,497,1799
Ehrlichia ewingii  infection,1,0.00,27,0.01,5,33
Undetermined ehrlichiosis/anaplasmosis,7,0.01,227,0.09,49,283
Giardiasis,1268,2.87,7726,3.64,6554,15548
Gonorrhea,68326,114.12,346760,129.73,168319,583405
"Haemophilus influenzae,  invasive disease",,,,,,
"All ages, all serotypes",324,0.54,3793,1.42,1456,5573
Age <5 years,,,,,,
Serotype b,6,0.12,21,0.14,11,38
Non-b serotype,24,0.46,129,0.88,38,191
Nontypeable,32,0.62,141,0.96,49,222
Unknown serotype,34,0.66,106,0.72,35,175
Hansen's disease,14,0.02,41,0.02,35,90
"Hantavirus infection, non-hantavirus pulmonary syndrome",S,S,S,S,S,2
Hantavirus pulmonary syndrome,S,S,S,S,S,18
Hemolytic uremic syndrome post-diarrheal,48,0.08,258,0.10,70,376
Hepatitis  ¶,,,,,,
"A, acute",417,0.70,8450,3.16,3607,12474
"B, acute",227,0.38,2383,0.90,712,3322
"B, perinatal infection",S,S,S,S,S,23
"C, acute",341,0.60,3298,1.30,1129,4768
Confirmed,292,0.51,2456,0.97,873,3621
Probable,49,0.09,842,0.33,256,1147
"C, perinatal infection",13,0.03,84,0.03,117,214
Human immunodeficiency virus diagnoses,8216,13.72,24783,9.27,—,32999
Influenza-associated pediatric mortality,35,0.19,100,0.18,24,159
Invasive pneumococcal disease  **,,,,,,
All ages,1383,3.57,12904,6.29,5570,19857
Confirmed,1355,3.50,12763,6.22,5501,19619
Probable,28,0.07,141,0.07,69,238
Age <5 years,154,0.37,684,0.31,278,1116
Confirmed,145,3.99,667,5.45,266,1078
Probable,9,0.25,17,0.14,12,38
Legionellosis,646,1.08,7110,2.66,2177,9933
Leptospirosis,6,0.01,52,0.02,33,91
Listeriosis,114,0.19,601,0.22,149,864
Lyme disease,,,,,,
Total,499,0.84,13752,5.17,19415,33666
Confirmed,351,0.59,9200,3.46,14007,23558
Probable,148,0.25,4552,1.71,5408,10108
Malaria,28,0.05,1232,0.46,488,1748
Measles,,,,,,
Total,8,0.01,319,0.12,48,375
Indigenous,5,0.01,257,0.10,34,296
Imported,3,0.01,62,0.02,14,79
Meningococcal disease,,,,,,
All serogroups,44,0.07,227,0.08,56,327
Serogroups ACWY,15,0.03,72,0.03,13,100
Serogroup B,6,0.01,59,0.02,16,81
Other serogroups,—,—,20,0.01,3,23
Unknown serogroup,23,0.04,76,0.03,24,123
Mumps,514,0.86,1282,0.48,719,2515
Novel Influenza A virus infections,S,S,S,S,S,14
Paratyphoid fever  ††,6,0.01,86,0.03,41,133
Pertussis,2335,3.90,10014,3.75,3260,15609
Plague,S,S,S,S,S,1
"Poliomyelitis, paralytic",—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—
Psittacosis,S,S,S,S,S,22
Q fever,,,,,,
Total,36,0.06,129,0.05,50,215
Acute,34,0.06,105,0.04,39,178
Chronic,2,0.00,24,0.01,11,37
Rabies,,,,,,
Human,S,S,S,S,S,3
Rubella,S,S,S,S,S,4
"Rubella, congenital syndrome",—,—,—,—,—,—
Salmonellosis (excluding paratyphoid fever and typhoid fever)  §§,9141,15.27,36641,13.71,15217,60999
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  (STEC),2957,4.94,9454,3.54,3585,15996
Shigellosis,3657,6.11,8915,3.34,3761,16333
Smallpox,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,
Total,137,0.23,3887,1.46,1520,5544
Confirmed,7,0.01,79,0.03,38,124
Probable,130,0.22,3808,1.44,1482,5420
Streptococcal toxic shock syndrome,30,0.12,288,0.16,53,371
Syphilis,,,,,,
"Total, all stages  ¶¶",30124,50.31,75851,28.38,9070,115045
Congenital,411,46.38,846,29.46,49,1306
Primary and secondary,7663,12.80,24965,9.34,2435,35063
Tetanus,S,S,S,S,S,23
Toxic shock syndrome (other than Streptococcal),2,0.01,22,0.01,9,33
Trichinellosis,S,S,S,S,S,1
Tuberculosis,2617,4.37,6373,2.38,35,9025
Tularemia,11,0.02,177,0.07,41,229
Typhoid fever,50,0.08,268,0.10,83,401
Vancomycin-intermediate  Staphylococcus aureus,3,0.01,41,0.02,41,85
Vancomycin-resistant  Staphylococcus aureus,—,—,—,—,—,—
Varicella morbidity,1392,2.61,4824,2.25,1985,8201
Varicella mortality,U,U,U,U,U,U
Vibriosis,,,,,,
Total,330,0.56,1896,0.72,738,2964
Confirmed,182,0.31,1231,0.47,409,1822
Probable,148,0.25,665,0.25,329,1142
Viral hemorrhagic fevers,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—
Yellow fever,—,—,—,—,—,—
Zika virus,,,,,,
"Zika virus disease, congenital  ***",S,S,S,S,S,2
"Zika virus disease, non-congenital",42,0.07,12,0.00,25,79
"Zika virus infection, congenital  ***",S,S,S,S,S,8
"Zika virus infection, non-congenital",137,0.23,58,0.02,50,245
